Row,members,decision,decided_by,note,criterion_version,n_members,fronted_by,publishes_under,rule,comid,types,nitrate_days_by_member,channels,station_names
1,IWQIS:WQP0010+USGS:05451500,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,IWQIS:WQP0010,,complementary,17539323,stream,IWQIS:WQP0010:427; USGS:05451500:0,discharge+nitrate+turbidity_unknown+water_temp,"Iowa River at Marshalltown (WQP10  | Iowa River at Marshalltown, IA"
2,IWQIS:WQP0011+USGS:05455100,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:05455100,,sequential,11915787,stream,IWQIS:WQP0011:272; USGS:05455100:747,discharge+gage_height+nitrate+water_temp,"Old Mans Creek at Iowa City (WQP11 | Old Mans Creek near Iowa City, IA"
3,IWQIS:WQS0002+USGS:05454300,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,IWQIS:WQS0002,,complementary,11915507,stream,IWQIS:WQS0002:3362; USGS:05454300:0,discharge+diss_oxy+fchl+nitrate+ph+spec_cond+turbidity_unknown+water_temp,"Clear Creek at Coralville (2CCC) | Clear Creek near Coralville, IA"
4,IWQIS:WQS0003+USGS:05454220,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,IWQIS:WQS0003,,complementary,11915379,stream,IWQIS:WQS0003:3031; USGS:05454220:0,discharge+diss_oxy+fchl+nitrate+ph+spec_cond+turbidity_unknown+water_temp,"Clear Creek at Oxford (3CCO) | Clear Creek near Oxford, IA"
5,IWQIS:WQS0005+USGS:05455500,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,IWQIS:WQS0005,,complementary+distinct,11918423,stream,IWQIS:WQS0005:3043; USGS:05455500:0,discharge+diss_oxy+nitrate+orthophosphate+ph+spec_cond+turbidity_unknown+water_temp,"English River at Kalona (5ENGK) | English River at Kalona, IA"
6,IWQIS:WQS0006+USGS:05455700,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,IWQIS:WQS0006,,complementary,11919685,stream,IWQIS:WQS0006:1366; USGS:05455700:0,discharge+diss_oxy+fchl+nitrate+ph+spec_cond+turbidity_unknown+water_temp,"Iowa River at Lone Tree (6IALT) | Iowa River near Lone Tree, IA"
7,IWQIS:WQS0007+USGS:05465000,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,IWQIS:WQS0007,,complementary+distinct,17557695,stream,IWQIS:WQS0007:3326; USGS:05465000:0,discharge+diss_oxy+fchl+nitrate+ph+spec_cond+turbidity_unknown+water_temp,"Cedar River at Conesville (7CRC) | Cedar River near Conesville, IA"
8,IWQIS:WQS0009+USGS:05411900,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,IWQIS:WQS0009,,complementary,13311203,stream,IWQIS:WQS0009:995; USGS:05411900:0,discharge+diss_oxy+fchl+nitrate+ph+spec_cond+turbidity_unknown+water_temp,"Otter Creek at Elgin (9OCE) | Otter Creek at Elgin, IA"
9,IWQIS:WQS0023+USGS:05422000,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,IWQIS:WQS0023,,complementary,14796117,stream,IWQIS:WQS0023:2806; USGS:05422000:0,discharge+diss_oxy+fchl+nitrate+ph+spec_cond+turbidity_unknown+water_temp,"Wapsipinicon River at De Witt (23W | Wapsipinicon River near De Witt, I"
10,IWQIS:WQS0024+USGS:05451210,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,IWQIS:WQS0024,,sequential,6572160,stream,IWQIS:WQS0024:2666; USGS:05451210:364,discharge+diss_oxy+fchl+fdom+gage_height+nitrate+ph+precip+spec_cond+turbidity_fnu+turbidity_ntu+turbidity_unknown+water_temp,South Fork Iowa River at New Provi | South Fork Iowa River NE of New Pr
11,IWQIS:WQS0032+USGS:05483600,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,IWQIS:WQS0032,,sequential,6621656,stream,IWQIS:WQS0032:2600; USGS:05483600:1485,discharge+diss_oxy+gage_height+nitrate+ph+spec_cond+turbidity_unknown+water_temp,"Middle Raccoon River at Panora (32 | Middle Raccoon River at Panora, IA"
12,IWQIS:WQS0036+USGS:06898000,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,IWQIS:WQS0036,,complementary,5138325,stream,IWQIS:WQS0036:649; USGS:06898000:0,discharge+gage_height+nitrate+turbidity_unknown+water_temp,"Thompson River at Davis City (36TR | Thompson River at Davis City, IA"
13,IWQIS:WQS0039+USGS:05480820,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,IWQIS:WQS0039,,complementary,6603048,stream,IWQIS:WQS0039:1330; USGS:05480820:0,discharge+gage_height+nitrate+turbidity_unknown+water_temp,"Boone River at Goldfield (39BRG) | Boone River near Goldfield, IA"
14,IWQIS:WQS0040+USGS:06609500,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,IWQIS:WQS0040,,complementary,17208706,stream,IWQIS:WQS0040:1708; USGS:06609500:0,discharge+nitrate+turbidity_unknown+water_temp,"Boyer River at Logan (40) | Boyer River at Logan, IA"
15,IWQIS:WQS0042+USGS:06607200,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,IWQIS:WQS0042,,complementary,17227027,stream,IWQIS:WQS0042:616; USGS:06607200:0,discharge+nitrate+turbidity_unknown+water_temp,"Maple River at Mapleton (42MRM) | Maple River at Mapleton, IA"
16,IWQIS:WQS0043+USGS:06600500,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,IWQIS:WQS0043,,complementary,17240094,stream,IWQIS:WQS0043:1710; USGS:06600500:0,discharge+gage_height+nitrate+spec_cond+turbidity_unknown+water_temp,"Floyd River at James (43FRJ) | Floyd River at James, IA"
17,IWQIS:WQS0044+USGS:06809900,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,IWQIS:WQS0044,,complementary,19167379,stream,IWQIS:WQS0044:1264; USGS:06809900:0,discharge+diss_oxy+fchl+nitrate+ph+spec_cond+turbidity_unknown+water_temp,East Nishnabotna River at Riverton | East Nishnabotna River at Riverton
18,IWQIS:WQS0061+USGS:06608500,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,IWQIS:WQS0061,,complementary,17246982,stream,IWQIS:WQS0061:1123; USGS:06608500:0,discharge+nitrate+spec_cond+turbidity_unknown+water_temp,"Soldier River at Pisgah (61SRP) | Soldier River at Pisgah, IA"
19,IWQIS:WQS0063+USGS:05389000,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,IWQIS:WQS0063,,complementary,13211090,stream,IWQIS:WQS0063:1949; USGS:05389000:0,discharge+diss_oxy+nitrate+ph+spec_cond+turbidity_unknown+water_temp,"Yellow River at Ion (63YRI) | Yellow River near Ion, IA"
20,IWQIS:WQS0064+USGS:05388250,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,IWQIS:WQS0064,,complementary,13336508,stream,IWQIS:WQS0064:1443; USGS:05388250:0,discharge+diss_oxy+fchl+gage_height+nitrate+ph+spec_cond+turbidity_unknown+water_temp,"Upper Iowa River at Dorchester (64 | Upper Iowa River near Dorchester, "
21,IWQIS:WQS0067+USGS:06483500,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,IWQIS:WQS0067,,complementary,7242913,stream,IWQIS:WQS0067:1560; USGS:06483500:0,discharge+nitrate+spec_cond+turbidity_unknown+water_temp,"Rock River at Rock Valley (67RRRV) | Rock River near Rock Valley, IA"
22,IWQIS:WQS0079+USGS:06810000,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:06810000,,complementary,659674,stream,IWQIS:WQS0079:0; USGS:06810000:0,discharge+gage_height+turbidity_unknown+water_temp,"Nishnabotna River at Hamburg (79NR | Nishnabotna River above Hamburg, I"
23,IWQIS:WQS0081+USGS:05481000,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,IWQIS:WQS0081,,sequential,6603910,stream,IWQIS:WQS0081:1559; USGS:05481000:1249,discharge+gage_height+nitrate+turbidity_unknown+water_temp,"Boone River at Webster City (81BRW | Boone River near Webster City, IA"
24,IWQIS:WQS0087+USGS:05465500,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:05465500,,complementary,11919825,stream,IWQIS:WQS0087:0; USGS:05465500:3441,discharge+gage_height+nitrate+turbidity_fnu+turbidity_unknown+water_temp,"Iowa River at Wapello (87IRW) | Iowa River at Wapello, IA"
25,IWQIS:WQS0093+USGS:05481950,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:05481950,,complementary,6597304,stream,IWQIS:WQS0093:0; USGS:05481950:0,discharge+turbidity_unknown+water_temp,"Beaver Creek at Johnston (93BCJ) | Beaver Creek near Grimes, IA"
26,IWQIS:WQS0096+USGS:05485605,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:05485605,,complementary,22248777,stream,IWQIS:WQS0096:0; USGS:05485605:0,discharge+turbidity_unknown+water_temp,"Fourmile Creek at Ankeny (96FCA) | Fourmile Creek near Ankeny, IA DS1"
27,IWQIS:WQS0111+USGS:05389400,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,IWQIS:WQS0111,,complementary,13211298,stream,IWQIS:WQS0111:1479; USGS:05389400:0,discharge+diss_oxy+fchl+nitrate+ph+spec_cond+turbidity_unknown+water_temp,"Bloody Run Creek at Marquette (111 | Bloody Run Creek near Marquette, I"
28,IWQIS:WQS0120+USGS:06809210,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,IWQIS:WQS0120,,complementary,19166273,stream,IWQIS:WQS0120:260; USGS:06809210:0,discharge+nitrate+water_temp,East Nishnabotna at Atlantic (WQS  | East Nishnabotna River near Atlant
29,IWQIS:WQS0121+USGS:06809500,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,IWQIS:WQS0121,,complementary,19166807,stream,IWQIS:WQS0121:187; USGS:06809500:0,discharge+gage_height+nitrate,"East Nishnabotna River at Red Oak  | East Nishnabotna River at Red Oak,"
30,IWQIS:WQS0126+USGS:05420680,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,IWQIS:WQS0126,,complementary,6949292,stream,IWQIS:WQS0126:180; USGS:05420680:0,discharge+nitrate,"Wapsipinicon River at Tripoli (WQS | Wapsipinicon River near Tripoli, I"
31,MPCA:41043001+USGS:05374900,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,MPCA:41043001,,complementary,2442556,stream,MPCA:41043001:1251; USGS:05374900:0,discharge+gage_height+nitrate+turbidity_fnu+turbidity_unknown+water_temp,"Zumbro River at Kellogg, US61 | ZUMBRO RIVER AT KELLOGG, MN"
32,USGS:01460378+USGS:01460380,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:01460380,,complementary,2590249,stream,USGS:01460378:0; USGS:01460380:0,discharge+water_temp,D&R Ca feeder US of gate at Washin | Del and Rar Ca feeder at Washingto
33,USGS:03063000+USGS:394337079544201,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:394337079544201,,complementary,3768822,stream,USGS:03063000:0; USGS:394337079544201:0,gage_height+ph+spec_cond+water_temp,"Monongahela R L&D8 (Lower Pool) @  | Monongahela R at Lock & Dam 8, at "
34,USGS:05551000+USGS:05551001,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:05551000,,complementary,14762931,stream,USGS:05551000:0; USGS:05551001:0,discharge+gage_height,"FOX RIVER AT SOUTH ELGIN, IL | FOX RIVER AT SOUTH ELGIN, IL (TAIL"
35,USGS:05551580+USGS:05551581+USGS:05551582,confirm,isaac,,prox100-v1,3,USGS:05551580,,complementary,14763017,stream,USGS:05551580:0; USGS:05551581:0; USGS:05551582:0,discharge+gage_height+spec_cond,"FOX RIVER AT YORKVILLE, IL | FOX RIVER TAILWATER AT YORKVILLE,  | FOX RIVER BYPASS AT YORKVILLE, IL"
36,USGS:07311782+USGS:07311783,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:07311782,,complementary,13520211,stream,USGS:07311782:0; USGS:07311783:0,discharge+spec_cond+water_temp,S Wichita Rv at Low Flow Dam nr Gu | S Wichita Rv bl Low Flow Dam nr Gu
37,USGS:370033100534202+USGS:370033100534204,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:370033100534204,,complementary,13853131,well,USGS:370033100534202:0; USGS:370033100534204:0,water_temp,LIBERAL-436 | LIBERAL-160/CAL-112
38,USGS:370130101180902+USGS:370130101180903,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:370130101180903,,complementary,13852231,well,USGS:370130101180902:0; USGS:370130101180903:0,water_temp,HUGOTON-495 | HUGOTON-313
39,USGS:393810105453901+USGS:393812105453803,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:393810105453901,,distinct+sequential,2885578,stream,USGS:393810105453901:0; USGS:393812105453803:0,diss_oxy+ph+spec_cond+water_temp,LC-1137-S T2 LEAVENWORTH CK 1137M  | LEAVENWORTH CR DIEL SAMPLING SITE 
40,USGS:401934089541701+USGS:401934089541704,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:401934089541701,,complementary,13606720,well,USGS:401934089541701:1287; USGS:401934089541704:0,diss_oxy+gw_level+nitrate+spec_cond+turbidity_fnu+water_temp,22N7W-29.1d1 (DP-1) | 22N7W-29.1d4 (SH-2)
41,USGS:412354086421002+USGS:412354086421006,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:412354086421006,,complementary+distinct,13433691,well,USGS:412354086421002:0; USGS:412354086421006:812,diss_oxy+gw_level+nitrate+spec_cond+water_temp,KANKAKEE WELL FIELD DP-1 NEAR HANN | KANKAKEE WELL FIELD WT-3 NEAR HANN
42,USGS:450814094315001+USGS:450814094315003,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:450814094315001,,distinct,4252894,well,USGS:450814094315001:0; USGS:450814094315003:0,water_temp,LFO1-B    Litchfield Far Nest      | LFO1-D    Litchfield Far Nest     
,USGS:01408753+USGS:01408754,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:01408753,,sequential,"DISAGREE:9443781,9455857",estuary,USGS:01408753:0; USGS:01408754:0,gage_height+spec_cond+water_temp,Barnegat B Tdl Chanl1 at Bayview A | Barnegat B Tdl Chanl2 at Bayview A
,USGS:04057811+USGS:04057812,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:04057812,,complementary,11959926,lake+stream,USGS:04057811:0; USGS:04057812:0,gage_height,"GREENWOOD RESERVOIR NEAR GREENWOOD | GREENWOOD AFTERBAY NEAR GREENWOOD,"
,USGS:04073468+USGS:434928088553601,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:04073468,,complementary,6866237,lake+stream,USGS:04073468:0; USGS:434928088553601:0,discharge+gage_height,GREEN LAKE INLET AT CT HIGHWAY A N | GREEN LAKE AT COUNTY TRUNK HWY A N
,IWQIS:WQS0100+USGS:05484800,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:05484800,,complementary,6609844,stream,IWQIS:WQS0100:0; USGS:05484800:0,discharge+turbidity_unknown+water_temp,"Walnut Creek at Des Moines (100WCD | Walnut Creek at Des Moines, IA"
,USGS:02074556+USGS:02074557,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:02074557,,dual_registration,8672141,stream,USGS:02074556:0; USGS:02074557:0,diss_oxy+gage_height+ph+spec_cond+turbidity_fnu+water_temp,SANDY CREEK ABOVE NEAR MOUNT HERMA | SANDY CREEK BELOW NEAR MOUNT HERMA
,USGS:02076295+USGS:02076296,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:02076296,,dual_registration,8712619,stream,USGS:02076295:0; USGS:02076296:0,diss_oxy+gage_height+ph+spec_cond+turbidity_fnu+water_temp,WHITE OAK CREEK ABOVE NEAR CHATHAM | WHITE OAK CREEK BELOW NEAR CHATHAM
,USGS:0546494140+USGS:0546494150,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:0546494140,,complementary,"DISAGREE:17556227,17556229",stream,USGS:0546494140:0; USGS:0546494150:0,gage_height,WB Wapsinonoc Cr abv Baker Ave at  | Unnamed Trb to WB Wapsinonoc Cr at
,USGS:05549500+USGS:05549501,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:05549500,,complementary,14771660,stream,USGS:05549500:0; USGS:05549501:0,diss_oxy+fchl+fpc+gage_height+ph+spec_cond+turbidity_fnu+water_temp,"FOX RIVER NEAR MCHENRY, IL | FOX RIVER (TAILWATER) NEAR MCHENRY"
,USGS:07099969+USGS:07099970,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:07099970,,dual_registration,951131,stream,USGS:07099969:0; USGS:07099970:0,discharge+gage_height+spec_cond+water_temp,ARKANSAS R. AT ST CHARLES MESA DIV | ARKANSAS RIVER AT MOFFAT STREET AT
,USGS:07378745+USGS:07378746,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:07378746,,complementary,"DISAGREE:18991248,18991258",stream,USGS:07378745:0; USGS:07378746:0,gage_height,"Alligator Bayou near Kleinpeter, L | Bayou Manchac at Alligator B. near"
,USGS:07385700+USGS:07385702,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:07385700,,complementary,15150946,stream,USGS:07385700:0; USGS:07385702:0,discharge+gage_height,Bayou Teche at Keystone L&D nr St. | Bayou Teche below Keystone L&D nr 
,USGS:300127090045800+USGS:300128090045800,confirm,auto (composed rule 1),two-member bundle: the pair decision was the whole-bundle review,prox100-v1,2,USGS:300127090045800,,dual_registration,18910456,stream,USGS:300127090045800:0; USGS:300128090045800:0,diss_oxy+gage_height+spec_cond+water_temp,Bayou Saint John inside gate at Ne | Bayou Saint John outside gate at N
