Row,source,snapshot_pair,diff_id,decision,decided_by,note,criterion_version,class
1,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2008Q1.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
2,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2008Q2.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
3,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2008Q3.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
4,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2008Q4.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
5,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2009Q1.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
6,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2009Q2.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
7,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2009Q3.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
8,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2009Q4.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
9,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2010Q1.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
10,weather,snap-20260826a..snap-20260826b,acquired/weather/daily/gridmet_2010Q2.parquet,accept,claude,weather backfill: five declared fire-weather variables merged into every quarter; column set verified identical to the declaration across all 75 files,,schema_changed
