Row,uid_a,uid_b,decision,decided_by,note,criterion_version,name_a,name_b,type_a,type_b,cross_type,proposed,sep_m,min_sep_m,max_sep_m,hesitate,comid_a,comid_b,same_comid,on_channel,shared_days,r,median_diff,channels_a,channels_b,agree_a,agree_b,seam
1,USGS:393812105453801,USGS:393812105453803,distinct,isaac,"incredibly short records, merge would obfuscate the situation",prox100-v1,LC-1203-L LEAV CK LFT BK INF 1203M DS FR INJ WCX T,LEAVENWORTH CR DIEL SAMPLING SITE LV1 JUNE2012,wetland_outflow,stream,True,sequential,0.93,0.93,0.93,False,2885578,2885578,True,spec_cond,0.0,,,water_temp+spec_cond+ph,water_temp+spec_cond+diss_oxy+ph,True,True,2012-06-22..2012-08-27
2,IWQIS:WQS0032,USGS:05483600,merge,isaac,,prox100-v1,Middle Raccoon River at Panora (32),"Middle Raccoon River at Panora, IA",stream,stream,False,sequential,4.12,0.0,10.81,False,6621656,6621656,True,nitrate,0.0,,,nitrate+water_temp+spec_cond+turbidity_unknown+diss_oxy+ph,nitrate+discharge+gage_height,True,True,2015-11-10..2016-03-31
3,IWQIS:WQS0081,USGS:05481000,merge,isaac,,prox100-v1,Boone River at Webster City (81BRWC),"Boone River near Webster City, IA",stream,stream,False,sequential,22.4,16.86,28.55,False,6603910,6603910,True,nitrate,0.0,,,nitrate+water_temp+turbidity_unknown,nitrate+discharge+gage_height+water_temp,True,True,2017-09-30..2018-04-06
4,IWQIS:WQP0011,USGS:05455100,merge,isaac,,prox100-v1,Old Mans Creek at Iowa City (WQP11 OMCIC),"Old Mans Creek near Iowa City, IA",stream,stream,False,sequential,45.29,39.19,51.6,False,11915787,11915787,True,nitrate,0.0,,,nitrate,nitrate+discharge+gage_height+water_temp,True,True,2015-10-30..2025-05-06
5,IWQIS:WQS0024,USGS:05451210,merge,isaac,,prox100-v1,South Fork Iowa River at New Providence (24SFINP),"South Fork Iowa River NE of New Providence, IA",stream,stream,False,sequential,51.79,44.98,58.64,True,6572160,6572160,True,nitrate,0.0,,,nitrate+water_temp+spec_cond+turbidity_unknown+diss_oxy+ph+fchl,nitrate+discharge+gage_height+water_temp+spec_cond+turbidity_fnu+turbidity_ntu+diss_oxy+ph+fdom+precip,True,True,2011-11-27..2015-04-17
6,USGS:393810105453901,USGS:393812105453803,merge,isaac,"this is for testing a view, these should be distinct",prox100-v1,LC-1137-S T2 LEAVENWORTH CK 1137M DS FR INJ,LEAVENWORTH CR DIEL SAMPLING SITE LV1 JUNE2012,stream,stream,False,sequential,67.44,67.44,67.44,True,2885578,2885578,True,spec_cond,0.0,,,water_temp+spec_cond+ph,water_temp+spec_cond+diss_oxy+ph,True,True,2012-06-22..2012-08-27
7,USGS:01408753,USGS:01408754,distinct,isaac,moved to different reach,prox100-v1,Barnegat B Tdl Chanl1 at Bayview A nr Ocean Gt NJ,Barnegat B Tdl Chanl2 at Bayview A nr Ocean Gt NJ,estuary,estuary,False,sequential,99.9,57.26,151.25,True,9443781,9455857,False,spec_cond,0.0,,,gage_height+water_temp+spec_cond,gage_height+water_temp+spec_cond,False,True,2021-01-12..2021-11-23
8,USGS:04057811,USGS:04057812,distinct,isaac,either side of a dam it looks like,prox100-v1,"GREENWOOD RESERVOIR NEAR GREENWOOD, MI","GREENWOOD AFTERBAY NEAR GREENWOOD, MI",lake,stream,True,complementary,0.0,0.0,0.0,False,11959926,11959926,True,,,,,gage_height,gage_height,True,True,
9,USGS:04073468,USGS:434928088553601,distinct,isaac,"one is a river-side discharge, the other is gauge height of the lake",prox100-v1,"GREEN LAKE INLET AT CT HIGHWAY A NR GREEN LAKE, WI","GREEN LAKE AT COUNTY TRUNK HWY A NR GREEN LAKE, WI",stream,lake,True,complementary,0.0,0.0,0.0,False,6866237,6866237,True,,,,,discharge,gage_height,True,True,
10,USGS:04087440,USGS:05536121,distinct,isaac,,prox100-v1,"LAKE MICHIGAN AT CHICAGO LOCK AT CHICAGO, IL","CHICAGO RIVER AT CHICAGO LOCK AT CHICAGO, IL",lake,tidal_stream,True,complementary,0.0,0.0,0.0,False,12171405,12171405,True,,,,,gage_height,gage_height,,,
