Row,site_uid,decision,decided_by,note,criterion_version,question,station_name,site_type,site_type_source,site_type_conflict,ambiguity,snap_status,snap_dist_m,source
1,USGS:01073785,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?","WINNICUT RIVER AT GREENLAND, NR PORTSMOUTH, NH",tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,31.38,USGS
2,USGS:01100671,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?","MERRIMACK RIVER DS STANLEY ISLAND. HAVERHILL, MA",tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,13.8,USGS
3,USGS:01100693,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?","MERRIMACK R 0.3 MILES U.S.RT 125 AT HAVERHILL,MA",tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,79.53,USGS
4,USGS:01102500,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?","ABERJONA RIVER AT WINCHESTER, MA",tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,25.73,USGS
5,USGS:01103010,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?","MYSTIC RIVER AT ARLINGTON, MA",tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,1.07,USGS
6,USGS:01103038,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?","MALDEN RIVER AT MALDEN, MA",tidal_stream,human_review,nhd_tidal,conflict_tidal,far,2168.29,USGS
7,USGS:01103040,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?","MYSTIC RIVER RT 16 AT MEDFORD, MA",tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,28.39,USGS
8,USGS:0110587880,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?","MILL CREEK AT SANDWICH, MA",tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,16.09,USGS
9,USGS:01109220,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?","PALMER RIVER AT SOUTH REHOBOTH, MA",tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,46.64,USGS
10,USGS:01114000,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?","MOSHASSUCK RIVER AT PROVIDENCE, RI",tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,44.73,USGS
11,USGS:01118700,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?","WHITFORD BK AT OLD MYSTIC,CT.",tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,38.3,USGS
12,USGS:011277916,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?","Stony Brook at Rt 1 near Flanders, CT",tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,3.24,USGS
13,USGS:01302050,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",ALLEY CREEK NEAR OAKLAND GARDENS NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,154.94,USGS
14,USGS:01302125,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",GABBLERS CREEK AT LITTLE NECK NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,far,761.6,USGS
15,USGS:01303000,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",MILL NECK CREEK AT MILL NECK NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,74.7,USGS
16,USGS:01303500,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",COLD SPRING BROOK AT COLD SPRING HARBOR NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,5.77,USGS
17,USGS:01304000,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",NISSEQUOGUE RIVER NEAR SMITHTOWN NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,32.6,USGS
18,USGS:01304010,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?","NISSEQUOGUE RIVER AT LANDING AVE AT SMITHTOWN, NY",tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,20.55,USGS
19,USGS:01304500,tidal_stream,auto (type rule 1),"stream close to a tidal body of water, possibly influenced by tides",type-v1,"KEPT as tidal_stream (human review), but this reach is marked tidal. Tidally influenced?",PECONIC RIVER AT RIVERHEAD NY,tidal_stream,human_review,nhd_tidal,conflict_tidal,ok,25.89,USGS
