STCOFIPS,fips-int,CountyName,State,farmfertN-kg-1987,farmfertN-kg-1992,farmfertN-kg-1997,farmfertN-kg-2002,farmfertN-kg-2007,farmfertN-kg-2012,farmfertN-kg-2017,farmfertP-kg-1987,farmfertP-kg-1992,farmfertP-kg-1997,farmfertP-kg-2002,farmfertP-kg-2007,farmfertP-kg-2012,farmfertP-kg-2017
01001,1001,Autauga,AL,1580225,1590588,1276395,803015,869754,561945,1103100,317549,267522,223680,167574,186244,124882,185416
01003,1003,Baldwin,AL,6524369,6414174,4644684,4999446,5344970,3898698,5830690,1311085,1078805,813951,1043289,1144539,866411,906351
01005,1005,Barbour,AL,2412372,2984468,1574873,4160683,1405078,584051,1101166,484771,501960,275986,868256,300875,129794,174082
01007,1007,Bibb,AL,304592,445238,213441,167404,142399,137409,453085,61208,74885,37404,34934,30492,30537,75565
01009,1009,Blount,AL,1825118,1767203,1285749,1400263,1440530,615703,1678061,366761,297227,225319,292208,308466,136828,282517
01011,1011,Bullock,AL,767573,706458,607159,551038,714947,411222,679822,154245,118820,106401,114991,153094,91386,117067
01013,1013,Butler,AL,1077039,983542,616513,509187,569004,255224,576347,216433,165423,108040,106258,121843,56719,95341
01015,1015,Calhoun,AL,777320,724437,804444,1255529,957793,364498,913352,156204,121844,140974,262005,205096,81003,173700
01017,1017,Chambers,AL,438613,611277,494911,542319,719083,443125,756213,88140,102811,86730,113172,153980,98476,129507
01019,1019,Cherokee,AL,2377039,2613260,1816376,1456065,2172613,1850626,2835114,477671,439526,318308,303853,465230,411266,720560
01021,1021,Chilton,AL,1247610,1595876,1261089,1383697,1023970,306219,652308,250710,268412,220998,288751,219267,68051,113371
01023,1023,Choctaw,AL,436176,342653,317186,178738,209166,83651,185997,87650,57631,55585,37299,44790,18590,23954
01025,1025,Clarke,AL,430084,366977,280620,239771,319658,137158,405813,86426,61722,49177,50036,68450,30481,52919
01027,1027,Clay,AL,542174,411396,363105,604223,426605,180365,522752,108951,69193,63632,126090,91351,40083,71118
01029,1029,Cleburne,AL,376476,234781,242354,340039,382290,168558,382548,75654,39488,42471,70960,81861,37459,58168
01031,1031,Coffee,AL,2479382,3121953,2727965,2269543,2446183,1629314,2090271,498237,525084,478058,473610,523810,362084,401668
01033,1033,Colbert,AL,2491566,2104568,1838485,1787385,2055030,2834092,3479232,500685,353969,322183,372993,440051,629823,716043
01035,1035,Conecuh,AL,1139176,1233129,783185,985241,905797,400420,1096829,228920,207401,137248,205601,193962,88986,164197
01037,1037,Coosa,AL,181537,143830,147113,108987,129400,39942,145160,36480,24191,25781,22743,27709,8876,20234
01039,1039,Covington,AL,2383131,2948511,2423535,2962699,2497589,1484871,2238210,478895,495912,424709,618259,534818,329984,367386
01041,1041,Crenshaw,AL,1268323,1491177,1035742,905899,665905,436845,724205,254872,250802,181507,189044,142593,97080,106973
01043,1043,Cullman,AL,1840956,2326658,2111452,2698515,2844427,1131426,2151803,369944,391323,370018,563129,609088,251438,437771
01045,1045,Dale,AL,1987161,2239938,1426059,1711530,1424577,846309,1692276,399324,376737,249908,357164,305050,188076,314533
01047,1047,Dallas,AL,2196720,1984005,1517048,1299995,1436985,1146499,2217743,441435,333691,265853,271284,307707,254787,409488
01049,1049,DeKalb,AL,3326149,2800451,2859772,2727288,3357889,1446940,3567213,668396,471010,501157,569133,719037,321555,636822
01051,1051,Elmore,AL,1881163,1635006,1809573,1256401,1504344,634794,1301747,378023,274993,317116,262187,322131,141071,204553
01053,1053,Escambia,AL,2171135,1702691,1985598,1320921,2373507,1337163,2415815,436294,286377,347963,275651,508248,297159,382523
01055,1055,Etowah,AL,924743,928548,958359,994832,899297,482816,1112925,185829,156173,167946,207603,192570,107297,210410
01057,1057,Fayette,AL,521462,540419,606309,413278,717902,385599,985220,104789,90894,106252,86243,153727,85692,167630
01059,1059,Franklin,AL,810216,1021615,893732,845738,855573,606911,943983,162814,171826,156621,176489,183207,134874,166729
