config,searched,lofo_prauc_adj,delta_vs_default,cols,seed,lofo_prauc,loso_auc,lofo_auc,lofo_prauc_lift,lofo_between_rate_r2,best_k,fit_cost,ceiling,k_frac,ceiling_bound,ceiling_note,at_ceiling,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,random_state,early_stopping_rounds,ax_depth,ax_lr,ax_lam,ax_mcw,ax_subsample,ax_colsample
"depth=6, lr=0.02","depth,lr",0.5963,0.0011,full,42,0.6375465335454186,,0.847445803849288,2.7423181087626296,0.3136237315925689,440,13798.4,1500,0.293,False,,0.6312,440,0.02,6,3.721096,0.7,0.7,186.054786,42,,6.0,0.02,,,,
"lr=0.05, depth=5, lam=0.02(11)","depth,lam",0.6041,0.0009,full,42,0.6373848956129887,,0.8495756591106128,2.7416228455844265,0.2936256165993306,140,2195.2,1500,0.093,False,,0.6299,140,0.05,5,3.721096,0.7,0.7,10.989938903695457,42,,5.0,0.05,0.02,,,
"depth=6, lr=0.01","depth,lr",0.5933,0.0008,full,42,0.6372774803467285,,0.8491821468408509,2.7411608136944796,0.3162209561393097,830,26028.8,1500,0.553,False,,0.6357,830,0.01,6,3.721096,0.7,0.7,186.054786,42,,6.0,0.01,,,,
"lr=0.05, depth=6, lam=0.002(1)","depth,lam",0.5906,0.0005,full,42,0.636923376158868,,0.8462046175608372,2.7396376835766536,0.2347952823599139,1430,44844.8,1500,0.953,True,raise to 2250 rejected: +0.0000 for 1.0x trees,0.6365,1430,0.05,6,3.721096,0.7,0.7,0.5494969451847727,42,,6.0,0.05,0.002,,,
"depth=6, lr=0.05","depth,lr",0.5998,0.0,full,42,0.6364486590143691,,0.8479182640520951,2.737595753531705,0.322309774363742,150,4704.0,1500,0.1,False,,0.628,150,0.05,6,3.721096,0.7,0.7,186.054786,42,,6.0,0.05,,,,
DEFAULT (inherited),"depth,lr",0.5998,0.0,full,42,0.6364486590143691,,0.8479182640520951,2.737595753531705,0.322309774363742,150,4704.0,1500,0.1,False,,0.628,150,0.05,6,3.721096,0.7,0.7,186.054786,42,,,,,,,
DEFAULT (inherited),"depth,lam",0.5998,0.0,full,42,0.6364486590143691,,0.8479182640520951,2.737595753531705,0.322309774363742,150,4704.0,1500,0.1,False,,0.628,150,0.05,6,3.721096,0.7,0.7,186.054786,42,,,,,,,
DEFAULT (inherited),mcw,0.6044,0.0,full,42,0.6359742716951872,,0.8441016477257087,2.7355552421846734,0.286653923043477,190,1489.6,1500,0.127,False,,0.6152,190,0.05,4,3.721096,0.7,0.7,329.6981671108636,42,,,,,,,
"lr=0.05, depth=4, lam=0.3(330)","depth,lam",0.6044,-0.0005,full,42,0.6359742716951872,,0.8441016477257087,2.7355552421846734,0.286653923043477,190,1489.6,1500,0.127,False,,0.6152,190,0.05,4,3.721096,0.7,0.7,329.6981671108636,42,,4.0,0.05,0.3,,,
DEFAULT (inherited),subsample,0.6044,0.0,full,42,0.6357897525088168,,0.8449181111155799,2.734761558461881,0.2982579852962864,180,1411.2,1500,0.12,False,,0.6182,180,0.05,4,21.97987780739091,0.7,0.7,329.6981671108636,42,,,,,,,
"depth=4, lr=0.05, lam=0.3(330), mcw=0.02(22)",mcw,0.6044,-0.0002,full,42,0.6357897525088168,,0.8449181111155799,2.734761558461881,0.2982579852962864,180,1411.2,1500,0.12,False,,0.6182,180,0.05,4,21.97987780739091,0.7,0.7,329.6981671108636,42,,4.0,0.05,0.3,0.02,,
DEFAULT (inherited),none,0.6044,0.0,full,42,0.6357897525088168,,0.8449181111155799,2.734761558461881,0.29825798529628644,180,1411.2,1500,0.12,False,,0.6182,180,0.05,4,21.97987780739091,0.7,0.7,329.6981671108636,42,,,,,,,
DEFAULT (inherited),colsample,0.6044,0.0,full,42,0.6357897525088168,,0.8449181111155799,2.734761558461881,0.2982579852962864,180,1411.2,1500,0.12,False,,0.6182,180,0.05,4,21.97987780739091,0.7,0.7,329.6981671108636,42,,,,,,,
"depth=4, lr=0.05, lam=0.3(330), mcw=0.02(22), subsample=0.7, colsample=0.7",colsample,0.6044,0.0,full,42,0.6357897525088168,,0.8449181111155799,2.734761558461881,0.2982579852962864,180,1411.2,1500,0.12,False,,0.6182,180,0.05,4,21.97987780739091,0.7,0.7,329.6981671108636,42,,4.0,0.05,0.3,0.02,0.7,0.7
"depth=4, lr=0.05, lam=0.3(330), mcw=0.02(22), subsample=0.7",subsample,0.6044,0.0,full,42,0.6357897525088168,,0.8449181111155799,2.734761558461881,0.2982579852962864,180,1411.2,1500,0.12,False,,0.6182,180,0.05,4,21.97987780739091,0.7,0.7,329.6981671108636,42,,4.0,0.05,0.3,0.02,0.7,
"lr=0.05, depth=5, lam=0.3(165)","depth,lam",0.6032,-0.0007,full,42,0.6357837694283802,,0.8476030611331176,2.734735823070088,0.320003846147123,120,1881.6,1500,0.08,False,,0.6239,120,0.05,5,3.721096,0.7,0.7,164.8490835554318,42,,5.0,0.05,0.3,,,
"depth=5, lr=0.01","depth,lr",0.5959,-0.0009,full,42,0.6355766798647131,,0.8480308697133032,2.733845055995531,0.3286675785228932,610,9564.8,1500,0.407,False,,0.6322,610,0.01,5,3.721096,0.7,0.7,186.054786,42,,5.0,0.01,,,,
"lr=0.05, depth=6, lam=0.02(5)","depth,lam",0.5975,-0.002,full,42,0.6344175647048984,,0.8473251455544699,2.728859282682288,0.277061292795648,160,5017.6,1500,0.107,False,,0.6299,160,0.05,6,3.721096,0.7,0.7,5.4949694518477274,42,,6.0,0.05,0.02,,,
"depth=5, lr=0.05","depth,lr",0.6005,-0.0023,full,42,0.634120946182349,,0.8462654820423338,2.7275834191915744,0.3087515779692631,150,2352.0,1500,0.1,False,,0.6199,150,0.05,5,3.721096,0.7,0.7,186.054786,42,,5.0,0.05,,,,
"depth=4, lr=0.05, lam=0.3(424), mcw=0.02(28), subsample=0.9",subsample,0.6023,-0.0018,full,42,0.6339744598352902,,0.8425663624087236,2.726953328459229,0.3125178860134316,150,1512.0,1500,0.1,False,,0.6148,150,0.05,4,28.259842895216885,0.9,0.7,423.8976434282533,42,,4.0,0.05,0.3,0.02,0.9,
"depth=4, lr=0.05, lam=0.3(235), mcw=0.02(16), subsample=0.5",subsample,0.6033,-0.0023,full,42,0.6334796364105743,,0.8434578369991396,2.724824914034807,0.2947045509962223,190,1064.0,1500,0.127,False,,0.6178,190,0.05,4,15.699912719564937,0.5,0.7,235.498690793474,42,,4.0,0.05,0.3,0.02,0.5,
"lr=0.05, depth=4, lam=0.5(549)","depth,lam",0.6014,-0.0032,full,42,0.6332634357854493,,0.8432584343719687,2.723894956991344,0.3074663059121205,200,1568.0,1500,0.133,False,,0.6157,200,0.05,4,3.721096,0.7,0.7,549.4969451847727,42,,4.0,0.05,0.5,,,
"depth=5, lr=0.02","depth,lr",0.5941,-0.0033,full,42,0.6331007408615765,,0.846741901961897,2.7231951473108507,0.302322269999465,520,8153.6,1500,0.347,False,,0.627,520,0.02,5,3.721096,0.7,0.7,186.054786,42,,5.0,0.02,,,,
"lr=0.05, depth=6, lam=0.3(82)","depth,lam",0.5909,-0.0037,full,42,0.6327724060804364,,0.8454810076693501,2.721782860726764,0.2777975864447546,510,15993.6,1500,0.34,False,,0.6289,510,0.05,6,3.721096,0.7,0.7,82.4245417777159,42,,6.0,0.05,0.3,,,
"lr=0.05, depth=6, lam=0.1(27)","depth,lam",0.5876,-0.0044,full,42,0.6320562789496725,,0.8434250554778678,2.718702539063106,0.2526088309475568,920,28851.2,1500,0.613,False,,0.6305,920,0.05,6,3.721096,0.7,0.7,27.474847259238636,42,,6.0,0.05,0.1,,,
"depth=4, lr=0.05","depth,lr",0.602,-0.0045,full,42,0.6319613523801053,,0.8456031656416244,2.7182942255722,0.3297318580277801,130,1019.2,1500,0.087,False,,0.6157,130,0.05,4,3.721096,0.7,0.7,186.054786,42,,4.0,0.05,,,,
"depth=4, lr=0.05, lam=0.3(330), mcw=0.002(2)",mcw,0.5988,-0.0047,full,42,0.6312636815164157,,0.8430820148243884,2.715293290985022,0.2678948427373441,230,1803.2,1500,0.153,False,,0.6147,230,0.05,4,2.19798778073909,0.7,0.7,329.6981671108636,42,,4.0,0.05,0.3,0.002,,
