config,searched,delta_vs_default,cols,seed,lofo_r2,lofo_between_r2,lofo_within_r2,loso_r2,lofo_rmse,best_k,k_frac,at_ceiling,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,random_state,early_stopping_rounds,ax_depth,ax_lr,ax_lam,ax_mcw,ax_subsample,ax_colsample
DEFAULT (inherited),none,0.0,full,42,0.4295120174396104,0.4811603366806318,0.4083604202760407,,4.036024110828775,1340,0.893,0.4283,1340,0.05,6,10.0,0.7,0.7,186.05478645833333,42,,,,,,,
"depth=6, lr=0.05, lam=0.1(186), colsample=0.7",colsample,0.0,full,42,0.4295119120387805,0.481160222347916,0.4083603562416547,,4.036024483667718,1340,0.447,0.426,1340,0.05,6,10.0,0.7,0.7,186.05478645833333,42,,6.0,0.05,0.1,,,0.7
"depth=6, lr=0.05, lam=0.1(186), subsample=0.7",subsample,0.0,full,42,0.4295119120387805,0.481160222347916,0.4083603562416547,,4.036024483667718,1340,0.447,0.426,1340,0.05,6,10.0,0.7,0.7,186.05478645833333,42,,6.0,0.05,0.1,,0.7,
DEFAULT (inherited),mcw,0.0,full,42,0.4295119120387805,0.481160222347916,0.4083603562416547,,4.036024483667718,1340,0.447,0.426,1340,0.05,6,10.0,0.7,0.7,186.05478645833333,42,,,,,,,
DEFAULT (inherited),none,0.0,full,42,0.4295119120387805,0.481160222347916,0.4083603562416547,,4.036024483667718,1340,0.447,0.426,1340,0.05,6,10.0,0.7,0.7,186.05478645833333,42,,,,,,,
"lr=0.05, depth=6, lam=0.1(186)","depth,lam",0.0017,full,42,0.4295119120387805,0.481160222347916,0.4083603562416547,,4.036024483667718,1340,0.447,0.426,1340,0.05,6,10.0,0.7,0.7,186.05478645833333,42,,6.0,0.05,0.1,,,
DEFAULT (inherited),subsample,0.0,full,42,0.4295119120387805,0.481160222347916,0.4083603562416547,,4.036024483667718,1340,0.447,0.426,1340,0.05,6,10.0,0.7,0.7,186.05478645833333,42,,,,,,,
DEFAULT (inherited),colsample,0.0,full,42,0.4295119120387805,0.481160222347916,0.4083603562416547,,4.036024483667718,1340,0.447,0.426,1340,0.05,6,10.0,0.7,0.7,186.05478645833333,42,,,,,,,
"depth=6, lr=0.05, lam=0.1(186), mcw=0.002(4)",mcw,-0.0014,full,42,0.4280744119180005,0.5008803088878249,0.4046025360565646,,4.041106215966491,490,0.163,0.4251,490,0.05,6,3.721095729166666,0.7,0.7,186.05478645833333,42,,6.0,0.05,0.1,0.002,,
"depth=6, lr=0.05","depth,lr",0.0001,full,42,0.4279011880523709,0.4688229187932161,0.4120416048574075,,4.041718151380677,2560,0.853,0.4274,2560,0.05,6,10.0,0.7,0.7,384.940937,42,,6.0,0.05,,,,
"depth=6, lr=0.01","depth,lr",0.0001,full,42,0.427865983362058,0.479751022477058,0.4143194342461966,,4.04184250511468,2980,0.993,0.4278,2980,0.01,6,10.0,0.7,0.7,384.940937,42,,6.0,0.01,,,,
DEFAULT (inherited),"depth,lam",0.0,full,42,0.4277919794563166,0.4953142616447679,0.4063816429892262,,4.042103897071259,2880,0.96,0.4276,2880,0.05,8,10.0,0.7,0.7,384.940937,42,,,,,,,
DEFAULT (inherited),"depth,lr",0.0,full,42,0.4277919794563166,0.4953142616447679,0.4063816429892262,,4.042103897071259,2880,0.96,0.4276,2880,0.05,8,10.0,0.7,0.7,384.940937,42,,,,,,,
"depth=6, lr=0.02","depth,lr",-0.0008,full,42,0.4269943974916828,0.4727115309481893,0.4164088889056396,,4.044919994022693,2980,0.993,0.4268,2980,0.02,6,10.0,0.7,0.7,384.940937,42,,6.0,0.02,,,,
"depth=6, lr=0.05","depth,lr",0.0017,full,42,0.4269185181798685,0.473781385214418,0.4112660220197747,,4.045187806050872,1330,0.887,0.4253,1330,0.05,6,10.0,0.7,0.7,384.940937,42,,6.0,0.05,,,,
"lr=0.05, depth=6, lam=0.3(558)","depth,lam",-0.0013,full,42,0.4264989220725018,0.4801070636821011,0.4111125339433261,,4.046668428384672,2390,0.797,0.4255,2390,0.05,6,10.0,0.7,0.7,558.1643593749999,42,,6.0,0.05,0.3,,,
"depth=6, lr=0.05, lam=0.1(186), colsample=0.5",colsample,-0.0031,full,42,0.4263632140557492,0.5200771791551986,0.3943876933249828,,4.047147183250609,90,0.03,0.4241,90,0.05,6,10.0,0.7,0.5,186.05478645833333,42,,6.0,0.05,0.1,,,0.5
"depth=6, lr=0.01","depth,lr",0.0006,full,42,0.4258715468020131,0.5209104604740092,0.3936627943954308,,4.048881227853947,440,0.293,0.425,440,0.01,6,10.0,0.7,0.7,384.940937,42,,6.0,0.01,,,,
"depth=6, lr=0.05, lam=0.1(186), mcw=0.02(37)",mcw,-0.0039,full,42,0.4256603955394578,0.4611793566976911,0.4111946446110928,,4.049625702184834,2050,0.683,0.424,2050,0.05,6,37.210957291666666,0.7,0.7,186.05478645833333,42,,6.0,0.05,0.1,0.02,,
"depth=6, lr=0.05, lam=0.1(133), subsample=0.5",subsample,-0.0039,full,42,0.4255636395991652,0.4812725306104536,0.4043296293245828,,4.04996679727806,970,0.323,0.4221,970,0.05,6,10.0,0.5,0.7,132.89627604166668,42,,6.0,0.05,0.1,,0.5,
DEFAULT (inherited),"depth,lr",0.0,full,42,0.4252533463841282,0.4962086176476962,0.406691758885395,,4.051060484626185,900,0.6,0.4251,900,0.05,8,10.0,0.7,0.7,384.940937,42,,,,,,,
"depth=6, lr=0.02","depth,lr",-0.0002,full,42,0.4250837442197782,0.475038122207659,0.4129218013018985,,4.051658154871361,1470,0.98,0.425,1470,0.02,6,10.0,0.7,0.7,384.940937,42,,6.0,0.02,,,,
"depth=6, lr=0.05, lam=0.1(186), mcw=0.3(558)",mcw,-0.0058,full,42,0.423683314962749,0.5278921944420693,0.3853147705546809,,4.0565898379002485,70,0.023,0.4144,70,0.05,6,558.1643593749999,0.7,0.7,186.05478645833333,42,,6.0,0.05,0.1,0.3,,
