config,searched,delta_vs_default,cols,seed,lofo_r2,lofo_between_r2,lofo_within_r2,loso_r2,lofo_rmse,best_k,k_frac,at_ceiling,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,random_state,early_stopping_rounds,ax_depth,ax_lr,ax_lam,ax_mcw,ax_subsample,ax_colsample
DEFAULT (inherited),"depth,lam",0.0,full,42,0.4395134199576169,0.46469258951518,0.4126020925247066,,4.067238379367863,1070,0.549,0.4394,1070,0.01,8,10.0,0.7,0.7,384.940937,42,,,,,,,
"lr=0.01, depth=6, lam=0.3(462)","depth,lam",-0.0056,full,42,0.4338805279415841,0.4179408326152034,0.4170794237593599,,4.087625165304759,1950,1.0,0.4339,1950,0.01,6,10.0,0.7,0.7,461.92912499999994,42,,6.0,0.01,0.3,,,
"depth=6, lr=0.01, mcw=0.002(3), subsample=0.7",subsample,0.0,full,42,0.4335341286372696,0.466199568108635,0.4017270762369304,,4.088875549764578,470,0.241,0.433,470,0.01,6,3.0795275,0.7,0.7,384.940937,42,,6.0,0.01,,0.002,0.7,
"depth=6, lr=0.01, mcw=0.002(3)",mcw,0.0006,full,42,0.4335341286372696,0.466199568108635,0.4017270762369304,,4.088875549764578,470,0.241,0.433,470,0.01,6,3.0795275,0.7,0.7,384.940937,42,,6.0,0.01,,0.002,,
DEFAULT (inherited),none,0.0,full,42,0.4335341286372696,0.46619956810863505,0.4017270762369304,,4.088875549764578,470,0.241,0.433,470,0.01,6,3.0795274999999998,0.7,0.7,384.940937,42,,,,,,,
DEFAULT (inherited),colsample,0.0,full,42,0.4335341286372696,0.466199568108635,0.4017270762369304,,4.088875549764578,470,0.241,0.433,470,0.01,6,3.0795275,0.7,0.7,384.940937,42,,,,,,,
"depth=6, lr=0.01, mcw=0.002(3), colsample=0.7",colsample,0.0,full,42,0.4335341286372696,0.466199568108635,0.4017270762369304,,4.088875549764578,470,0.241,0.433,470,0.01,6,3.0795275,0.7,0.7,384.940937,42,,6.0,0.01,,0.002,,0.7
DEFAULT (inherited),subsample,0.0,full,42,0.4335341286372696,0.466199568108635,0.4017270762369304,,4.088875549764578,470,0.241,0.433,470,0.01,6,3.0795275,0.7,0.7,384.940937,42,,,,,,,
"depth=6, lr=0.01, mcw=0.02(31)",mcw,0.0003,full,42,0.4332485620489619,0.4154472488998789,0.4154033888273355,,4.089906061202693,1940,0.995,0.4332,1940,0.01,6,30.795274999999997,0.7,0.7,384.940937,42,,6.0,0.01,,0.02,,
"depth=6, lr=0.01","depth,lr",0.0009,full,42,0.432904610603872,0.4170362914207893,0.4146630288237077,,4.091146918870466,1910,0.637,0.4324,1910,0.01,6,10.0,0.7,0.7,384.940937,42,,6.0,0.01,,,,
DEFAULT (inherited),mcw,0.0,full,42,0.432904610603872,0.4170362914207893,0.4146630288237077,,4.091146918870466,1910,0.979,0.4329,1910,0.01,6,10.0,0.7,0.7,384.940937,42,,,,,,,
"depth=6, lr=0.01, mcw=0.002(3), colsample=0.5",colsample,-0.0011,full,42,0.4324654261362382,0.4505598924126859,0.4047691421024317,,4.092730797416343,540,0.277,0.4315,540,0.01,6,3.0795275,0.7,0.5,384.940937,42,,6.0,0.01,,0.002,,0.5
"depth=6, lr=0.01","depth,lr",0.0002,full,42,0.4322164187342824,0.4221670629476689,0.4126738770208392,,4.093628547570023,1490,0.993,0.4322,1490,0.01,6,10.0,0.7,0.7,384.940937,42,,6.0,0.01,,,,
"depth=6, lr=0.01, mcw=0.002(2), subsample=0.5",subsample,-0.0014,full,42,0.4321098061227265,0.4579525157735034,0.4022000522690041,,4.094012859444574,480,0.246,0.4297,480,0.01,6,2.1996625,0.5,0.7,384.940937,42,,6.0,0.01,,0.002,0.5,
DEFAULT (inherited),"depth,lr",0.0,full,42,0.4319914337267555,0.4655602210476219,0.4073292233333976,,4.094439520148901,200,0.067,0.4252,200,0.05,8,10.0,0.7,0.7,384.940937,42,,,,,,,
DEFAULT (inherited),"depth,lr",0.0,full,42,0.4319914337267555,0.4655602210476219,0.4073292233333976,,4.094439520148901,200,0.133,0.4288,200,0.05,8,10.0,0.7,0.7,384.940937,42,,,,,,,
"depth=6, lr=0.01, mcw=0.1(154)",mcw,-0.0028,full,42,0.4301182503510414,0.4668497908246105,0.3987084138662737,,4.101185301510871,420,0.215,0.4272,420,0.01,6,153.976375,0.7,0.7,384.940937,42,,6.0,0.01,,0.1,,
