features,recipe_CLF1.1
rest_of_state_nitrate_lag1,0.0399449080941356
doy_sin,0.019605866468337785
lat,0.015369038439743151
fuel_moisture_1000h_b1,0.013647161873341524
lon,0.0123761213437194
mean_dist_to_sensor,0.009110444578915598
Nonag_b0,0.00809011040620236
roll_n_avg_except_this7d,0.007974643233089801
doy_cos,0.007773745370233764
Other_b0,0.004199806989816065
fuel_moisture_1000h_b0,0.004141039379101685
roll_n_avg_except_this30d,0.003972203686820608
max_dist_to_sensor,0.003442309225462128
roll_n_avg_except_this60d,0.003204604399398194
total_kg_N_b0,0.0025749053079357734
Fallow_b0,0.001532370966579748
total_kg_N_b1,0.0014357570910951138
Corn_b0,0.0013678028869805916
surplus_kgha_b1,0.0013655743554812226
Hay_Pasture_b1,0.0013519208178980335
roll_n_avg_except_this14d,0.0007331105054868158
log_basin_area,0.000728526586504783
Fallow_b1,0.0006082550356997674
Alfalfa_b1,0.0005188266501812454
rest_of_state_nitrate_lag2,0.0003864267859750292
Soybeans_b1,0.00037589021834047106
min_rel_humidity_b1,0.00014195359355562598
min_rel_humidity_b0,9.918420815166584e-05
min_temp_b0,9.900931644019283e-05
Small_Grains_b1,9.555752971231791e-05
precip_in_1d_b1,8.051894381962742e-05
evapotranspiration_b0,7.857581077126418e-05
Small_Grains_b0,3.260346052318397e-05
precip_in_1d_b0,1.3291487276654304e-05
max_temp_b0,-2.3413475709919144e-05
max_rel_humidity_b0,-2.7535137002585583e-05
rest_of_state_nitrate_lag3,-3.082298968755115e-05
vpd_b0,-3.5975473688600883e-05
min_temp_b1,-7.784766835038594e-05
evapotranspiration_b1,-0.00010242950206524881
vpd_b1,-0.00013058927329267166
max_rel_humidity_b1,-0.00015434777182860238
solar_rad_b0,-0.00018096307759483122
Soybeans_b0,-0.0001904267104824076
max_temp_b1,-0.0002268597499764713
solar_rad_b1,-0.00022992225607264329
Other_b1,-0.00030553090499956697
Corn_b1,-0.00031930612460803856
rest_of_state_nitrate_lag5,-0.0003723722189600665
Nonag_b1,-0.00046394079390875913
surplus_kgha_b0,-0.0007609772020178917
Alfalfa_b0,-0.0020583498246343843
Hay_Pasture_b0,-0.0022056089998016316
