features,recipe_CLF1
rest_of_state_nitrate_lag1,0.11197402
max_dist_to_sensor,0.07463344
mean_dist_to_sensor,0.06829254
lat,0.06392017
rest_of_state_nitrate_lag2,0.0525944
lon,0.044951625
rest_of_state_nitrate_lag3,0.040149074
log_basin_area,0.039124332
total_kg_N_b1,0.026312914
surplus_kgha_b0,0.025599644
Corn_b0,0.024177978
total_kg_N_b0,0.02391933
surplus_kgha_b1,0.023761196
Alfalfa_b1,0.022838643
Hay_Pasture_b1,0.019434685
Nonag_b1,0.019411225
Soybeans_b0,0.016756007
Soybeans_b1,0.016033368
Nonag_b0,0.015539947
Hay_Pasture_b0,0.0152190495
rest_of_state_nitrate_lag5,0.014675046
Other_b0,0.0132319955
Corn_b1,0.012992826
Alfalfa_b0,0.012731247
Fallow_b0,0.012231425
precip_roll14d,0.012123292
precip_roll30d,0.012066577
doy_sin,0.011828552
wbal_roll60d,0.010815134
Fallow_b1,0.010478074
Small_Grains_b1,0.010121924
Small_Grains_b0,0.009388187
Other_b1,0.008849541
precip_roll60d,0.008625815
doy_cos,0.008244936
fuel_moisture_1000h_b1,0.007160113
wbal_roll30d,0.0060969903
fuel_moisture_1000h_b0,0.005907516
min_temp_b1,0.0057518156
solar_rad_b0,0.0056496123
solar_rad_b1,0.0051106894
min_temp_b0,0.004768759
max_temp_b1,0.0047177346
max_temp_b0,0.004316552
precip_in_1d_b0,0.004121541
min_rel_humidity_b1,0.004083141
evapotranspiration_b1,0.0040476965
evapotranspiration_b0,0.004005233
precip_in_1d_b1,0.003847124
min_rel_humidity_b0,0.003716229
vpd_b0,0.003499986
vpd_b1,0.0034728772
max_rel_humidity_b1,0.0033674971
max_rel_humidity_b0,0.0033107172
