features,recipe_REG1
rest_of_state_nitrate_lag1,0.11943444
lat,0.11920109
rest_of_state_nitrate_lag2,0.081969105
log_basin_area,0.07125277
max_dist_to_sensor,0.06431921
mean_dist_to_sensor,0.059197336
lon,0.049699448
rest_of_state_nitrate_lag3,0.032135047
total_kg_N_b0,0.025927627
surplus_kgha_b0,0.023251582
Alfalfa_b1,0.022484068
total_kg_N_b1,0.02243711
Corn_b0,0.020392466
Hay_Pasture_b1,0.01906341
surplus_kgha_b1,0.018209292
Nonag_b1,0.016768148
Soybeans_b1,0.016290266
Other_b0,0.01588609
Soybeans_b0,0.014062917
Nonag_b0,0.013897395
Small_Grains_b1,0.013056619
fuel_moisture_1000h_b1,0.012368662
Hay_Pasture_b0,0.011416653
Alfalfa_b0,0.011068003
Corn_b1,0.010955321
rest_of_state_nitrate_lag5,0.010471163
Fallow_b0,0.009956849
doy_sin,0.009922235
Fallow_b1,0.009662188
Small_Grains_b0,0.0077543324
doy_cos,0.0075748814
fuel_moisture_1000h_b0,0.007535279
Other_b1,0.0074636377
min_temp_b1,0.004557631
max_temp_b1,0.004321856
min_temp_b0,0.00417329
solar_rad_b1,0.0037124678
solar_rad_b0,0.0035316988
evapotranspiration_b0,0.003129155
max_temp_b0,0.0029440336
evapotranspiration_b1,0.002377175
min_rel_humidity_b0,0.002165318
vpd_b0,0.0021559834
max_rel_humidity_b0,0.0020991985
min_rel_humidity_b1,0.0020774284
vpd_b1,0.0020281712
max_rel_humidity_b1,0.0019636916
precip_in_1d_b1,0.0018590487
precip_in_1d_b0,0.0018191764
