max_depth,learning_rate,reg_lambda,min_child_weight,lofo,loso,gap
3,0.01,5.0,10,0.819346524988254,0.8393897301475408,0.020043205159286814
6,0.02,5.0,10,0.8192300324579211,0.8439540229563124,0.024723990498391246
3,0.02,5.0,10,0.8174058250768642,0.8407043026314872,0.023298477554623
4,0.02,5.0,10,0.8170238979771478,0.8413091062515001,0.02428520827435232
6,0.01,5.0,10,0.8166646927773802,0.8421428853273626,0.025478192549982404
4,0.05,5.0,10,0.8166176480774245,0.8410497494604002,0.02443210138297569
4,0.01,5.0,10,0.8165934257240731,0.8401589310912215,0.02356550536714841
3,0.05,5.0,10,0.8156660309696384,0.8391351334398307,0.023469102470192293
5,0.01,5.0,10,0.8156448918349457,0.8420257257385473,0.026380833903601575
5,0.02,5.0,10,0.8147918968201879,0.8433928101623847,0.02860091334219672
6,0.05,5.0,10,0.814653362847993,0.8409444030833818,0.026291040235388863
5,0.05,5.0,10,0.8127872575246572,0.8412867230693613,0.02849946554470406
