STCOFIPS,fips-int,CountyName,State,nonffertN-kg-1987,nonffertN-kg-1992,nonffertN-kg-1997,nonffertN-kg-2002,nonffertN-kg-2007,nonffertN-kg-2012,nonffertN-kg-2017,nonffertP-kg-1987,nonffertP-kg-1992,nonffertP-kg-1997,nonffertP-kg-2002,nonffertP-kg-2007,nonffertP-kg-2012,nonffertP-kg-2017
01001,1001,Autauga,AL,23849,31006,44744,37022,63744,39926,55674,4558,7812,11095,9804,13213,15569,13885
01003,1003,Baldwin,AL,67580,94448,148024,128636,222404,147447,222073,12914,23796,36704,34065,46101,57495,55414
01005,1005,Barbour,AL,14654,18858,24431,18283,24723,13995,19799,2800,4751,6058,4842,5125,5457,4919
01007,1007,Bibb,AL,9237,11936,16603,13532,20937,12280,17765,1765,3007,4117,3584,4340,4788,4423
01009,1009,Blount,AL,27748,35732,51957,44318,68346,41181,58915,5302,9003,12883,11736,14167,16058,14672
01011,1011,Bullock,AL,5527,6670,8536,6021,8303,4522,6752,1056,1680,2116,1594,1721,1763,1678
01013,1013,Butler,AL,13226,14978,18155,12378,17881,10014,14734,2527,3774,4502,3278,3707,3905,3662
01015,1015,Calhoun,AL,123344,141161,173419,118492,178807,105175,150802,23571,35565,43001,31379,37064,41012,37523
01017,1017,Chambers,AL,28130,32220,38474,27514,37527,21174,31405,5376,8118,9540,7286,7779,8256,7802
01019,1019,Cherokee,AL,11721,14652,20887,16435,25112,14942,21506,2240,3691,5179,4352,5205,5827,5353
01021,1021,Chilton,AL,21686,27029,37569,30691,46980,28081,40610,4144,6810,9316,8127,9738,10950,10111
01023,1023,Choctaw,AL,8485,9688,11669,8014,10304,5671,8270,1622,2441,2893,2122,2136,2211,2052
01025,1025,Clarke,AL,14983,17585,21672,15433,21046,11469,16744,2863,4431,5374,4087,4362,4472,4159
01027,1027,Clay,AL,7258,8599,10939,8199,11542,6308,9390,1387,2166,2712,2171,2393,2460,2334
01029,1029,Cleburne,AL,6996,8313,10992,8550,12597,7342,10791,1337,2095,2726,2264,2611,2863,2685
01031,1031,Coffee,AL,29622,35982,45872,34295,54076,34730,49439,5661,9066,11374,9082,11209,13543,12316
01033,1033,Colbert,AL,42126,50598,64301,46924,66475,38594,56947,8050,12748,15944,12426,13779,15049,14158
01035,1035,Conecuh,AL,7484,8375,10242,7083,9803,5445,7868,1430,2110,2540,1876,2032,2123,1955
01037,1037,Coosa,AL,5615,6586,8675,6116,8559,4709,7044,1073,1659,2151,1620,1774,1836,1750
01039,1039,Covington,AL,23032,27240,33868,23964,35178,20673,29881,4401,6863,8398,6346,7292,8061,7430
01041,1041,Crenshaw,AL,7619,8650,10636,7741,11377,6690,9626,1456,2179,2637,2050,2358,2609,2394
01043,1043,Cullman,AL,54778,68774,91324,70256,102630,60486,90446,10468,17328,22644,18605,21274,23586,22500
01045,1045,Dale,AL,40940,48371,57484,42121,60453,36016,51481,7824,12187,14254,11154,12531,14044,12804
01047,1047,Dallas,AL,35593,38785,45824,31709,43998,24573,34390,6802,9772,11362,8397,9120,9582,8544
01049,1049,DeKalb,AL,41419,52116,69201,55646,85195,51026,73816,7915,13131,17159,14736,17660,19897,18379
01051,1051,Elmore,AL,37019,49424,72293,62433,102735,63255,90002,7074,12452,17926,16533,21295,24665,22435
01053,1053,Escambia,AL,23997,27375,34950,26089,36410,21272,30865,4586,6897,8666,6909,7547,8295,7674
01055,1055,Etowah,AL,104425,122016,153560,110984,159744,93414,135358,19955,30742,38077,29390,33112,36426,33660
01057,1057,Fayette,AL,11074,12620,15500,11260,15159,8458,12385,2116,3180,3843,2982,3142,3298,3077
01059,1059,Franklin,AL,18991,22622,29848,21990,31573,18933,27581,3629,5700,7401,5823,6545,7383,6859
01061,1061,Geneva,AL,15640,18761,24009,17801,26380,15793,22659,2989,4727,5953,4714,5468,6158,5637
01063,1063,Greene,AL,5104,5917,7026,4977,6637,3587,5140,975,1491,1742,1318,1376,1399,1276
