STCOFIPS,fips-int,CountyName,State,tot-fertN-kg-1950,tot-fertN-kg-1954,tot-fertN-kg-1959,tot-fertN-kg-1964,tot-fertN-kg-1969,tot-fertN-kg-1974,tot-fertN-kg-1978,tot-fertN-kg-1982,tot-fertP-kg-1950,tot-fertP-kg-1954,tot-fertP-kg-1959,tot-fertP-kg-1964,tot-fertP-kg-1969,tot-fertP-kg-1974,tot-fertP-kg-1978,tot-fertP-kg-1982
01001,1001,Autauga,AL,962208,1309789,1365294,1680112,2235628,2833962,2500111,2345498,767891,721978,545901,722844,748172,816409,736223,605070
01003,1003,Baldwin,AL,2944313,4007896,4177737,5141065,6840920,8671794,6472689,5843222,2349712,2209221,1670431,2211870,2289371,2498175,1906053,1507381
01005,1005,Barbour,AL,1013780,1379991,1438471,1770162,2355453,2985856,2625201,2125210,809048,760675,575160,761587,788272,860167,773059,548242
01007,1007,Bibb,AL,219586,298908,311574,383419,510194,646740,419063,293873,175241,164763,124580,164961,170741,186313,123404,75811
01009,1009,Blount,AL,717605,976828,1018223,1253011,1667310,2113542,2173042,1836101,572686,538444,407127,539090,557979,608870,639909,473661
01011,1011,Bullock,AL,562566,765783,798234,982296,1307085,1656907,1554847,1693524,448956,422113,319167,422619,437427,477323,457866,436880
01013,1013,Butler,AL,488788,665354,693549,853472,1135667,1439612,1376828,1121814,390078,366754,277310,367194,380060,414724,405443,289395
01015,1015,Calhoun,AL,319064,434321,452726,557119,741326,939731,957685,841552,254630,239405,181019,239692,248091,270718,282016,217096
01017,1017,Chambers,AL,337775,459790,479275,589789,784798,994838,1015703,728069,269562,253444,191634,253748,262639,286593,299100,187820
01019,1019,Cherokee,AL,832812,1133651,1181691,1454173,1934984,2452856,2302620,2467063,664626,624888,472489,625637,647559,706620,678067,636430
01021,1021,Chilton,AL,458186,623698,650128,800039,1064566,1349482,1468020,1447120,365656,343793,259948,344205,356266,388759,432297,373315
01023,1023,Choctaw,AL,184844,251615,262278,322755,429472,544414,714838,614628,147515,138695,104869,138861,143726,156835,210503,158556
01025,1025,Clarke,AL,205662,279954,291818,359107,477843,605731,764321,753079,164129,154316,116681,154501,159914,174499,225074,194272
01027,1027,Clay,AL,139540,189946,197995,243650,324211,410982,627492,422754,111360,104701,79167,104827,108500,118396,184781,109058
01029,1029,Cleburne,AL,78109,106324,110830,136386,181481,230051,400832,311568,62335,58608,44314,58678,60734,66273,118036,80375
01031,1031,Coffee,AL,1296811,1765262,1840068,2264362,3013056,3819458,3848571,3145110,1034921,973042,735735,974209,1008344,1100311,1133313,811347
01033,1033,Colbert,AL,1124675,1530945,1595821,1963795,2613109,3312471,2821369,2934946,897548,843883,638075,844895,874499,954258,830826,757130
01035,1035,Conecuh,AL,560153,762499,794811,978084,1301479,1649802,1966216,1539335,447031,420302,317798,420807,435551,475276,579004,397104
01037,1037,Coosa,AL,62533,85122,88729,109188,145291,184175,214039,270522,49904,46920,35477,46977,48623,53057,63029,69787
