features,recipe_CLF1.1
rest_of_state_nitrate_lag1,0.119836226
mean_dist_to_sensor,0.07492041
roll_n_avg_except_this7d,0.06961107
lat,0.06737202
max_dist_to_sensor,0.06611635
lon,0.045235403
rest_of_state_nitrate_lag2,0.04076364
log_basin_area,0.03452522
total_kg_N_b0,0.025472026
total_kg_N_b1,0.025345493
Corn_b0,0.023593118
Alfalfa_b1,0.022421261
surplus_kgha_b0,0.021693148
surplus_kgha_b1,0.020534562
Nonag_b1,0.019525493
Hay_Pasture_b1,0.018974014
Soybeans_b0,0.017824495
Hay_Pasture_b0,0.015415709
Soybeans_b1,0.01526773
Nonag_b0,0.014638068
Other_b0,0.012976083
Corn_b1,0.012275005
rest_of_state_nitrate_lag3,0.01224809
roll_n_avg_except_this14d,0.012223845
Alfalfa_b0,0.012056913
fuel_moisture_1000h_b1,0.011845009
Fallow_b0,0.011443379
doy_sin,0.0105072465
Small_Grains_b1,0.01043595
doy_cos,0.010385834
Fallow_b1,0.0102309305
Small_Grains_b0,0.009596432
Other_b1,0.008959677
roll_n_avg_except_this30d,0.008490424
roll_n_avg_except_this60d,0.008061806
fuel_moisture_1000h_b0,0.007257507
min_temp_b0,0.0065401853
min_temp_b1,0.005786428
rest_of_state_nitrate_lag5,0.005338161
solar_rad_b1,0.0048915194
solar_rad_b0,0.004815721
max_temp_b0,0.004585702
max_temp_b1,0.0044767433
evapotranspiration_b0,0.0043175546
min_rel_humidity_b1,0.004044193
evapotranspiration_b1,0.0039611487
max_rel_humidity_b1,0.003592554
vpd_b0,0.0034341533
vpd_b1,0.003394486
precip_in_1d_b1,0.0033857417
min_rel_humidity_b0,0.0032358419
precip_in_1d_b0,0.0030785126
max_rel_humidity_b0,0.0030418297
