features,recipe_CLF1
rest_of_state_nitrate_lag1,0.04088990481967027
doy_sin,0.022921881462287044
lat,0.015196876415976963
lon,0.013660813011300265
Nonag_b0,0.008910232214957929
mean_dist_to_sensor,0.007245557037106444
wbal_roll60d,0.006928817578031513
Other_b0,0.005278849311949267
precip_roll14d,0.00508881093528379
fuel_moisture_1000h_b1,0.004581928220242783
max_dist_to_sensor,0.003527727906315894
precip_roll30d,0.0027945830735630573
total_kg_N_b0,0.002382867513551994
rest_of_state_nitrate_lag2,0.0020637610043058043
precip_roll60d,0.0017951810555065738
Alfalfa_b1,0.0015466500695491977
Fallow_b0,0.0015046430905257236
log_basin_area,0.0013825848961929576
rest_of_state_nitrate_lag5,0.0013630475806215303
surplus_kgha_b1,0.0013185747656763616
Hay_Pasture_b1,0.001240577695237981
total_kg_N_b1,0.0010428215933984484
Small_Grains_b0,0.0008878902664412802
rest_of_state_nitrate_lag3,0.0008733416699568243
wbal_roll30d,0.0008531067491918166
Soybeans_b1,0.0008496259450145071
doy_cos,0.0006774931015495822
Fallow_b1,0.000610828012759539
precip_in_1d_b1,0.00026289620737216966
min_rel_humidity_b1,0.00021920305253509737
Small_Grains_b1,0.0002127365539314852
fuel_moisture_1000h_b0,0.0001976407698098637
precip_in_1d_b0,0.0001943960525686528
Corn_b0,0.0001310347840562321
min_temp_b1,0.00010021124391565106
max_temp_b1,9.876318658085027e-05
min_rel_humidity_b0,8.902233937377435e-05
solar_rad_b1,4.71165493988135e-05
vpd_b0,3.130990013931799e-05
max_rel_humidity_b0,-9.755799476667276e-06
vpd_b1,-4.807005082927862e-05
evapotranspiration_b0,-5.3017292655535e-05
Nonag_b1,-7.664210127166886e-05
max_rel_humidity_b1,-9.093691104096191e-05
surplus_kgha_b0,-0.00013277113913655385
Other_b1,-0.00017015705808280047
max_temp_b0,-0.0002144492248797025
min_temp_b0,-0.00021757088337557296
evapotranspiration_b1,-0.00025064419462402567
solar_rad_b0,-0.0003006263988989266
Corn_b1,-0.0005510290449629185
Soybeans_b0,-0.0008614076287268936
Alfalfa_b0,-0.002180691147245466
Hay_Pasture_b0,-0.003157663027943154
