features,recipe_CLF2
rest_of_state_nitrate_lag1,0.1293749
rest_of_state_nitrate_lag2,0.11507163
lat,0.059538163
mean_dist_to_sensor,0.05834031
max_dist_to_sensor,0.05677966
rest_of_state_nitrate_lag3,0.04626668
lon,0.046058834
Nonag_b0,0.04163878
Corn_b0,0.029939244
log_basin_area,0.024431776
Soybeans_b0,0.023122203
Hay_Pasture_b1,0.022986775
Corn_b1,0.02071518
Nonag_b1,0.018336993
Alfalfa_b1,0.018336052
rest_of_state_nitrate_lag5,0.016589958
Hay_Pasture_b0,0.015191299
surplus_kgha_b0,0.013214752
Soybeans_b1,0.013025927
Alfalfa_b0,0.012604602
Other_b0,0.012500612
doy_sin,0.011976127
total_kg_N_b1,0.011800541
Other_b1,0.011800079
doy_cos,0.01106614
total_kg_N_b0,0.010785574
solar_rad_b0,0.010747727
Fallow_b1,0.010664373
surplus_kgha_b1,0.010509991
evapotranspiration_b0,0.010364981
Small_Grains_b1,0.010358697
Fallow_b0,0.010328141
fuel_moisture_1000h_b1,0.0101606175
Small_Grains_b0,0.009167452
min_temp_b0,0.008408773
fuel_moisture_1000h_b0,0.008177863
solar_rad_b1,0.0060553574
min_temp_b1,0.0057704626
max_temp_b0,0.0053530303
max_temp_b1,0.004368156
evapotranspiration_b1,0.0043530017
min_rel_humidity_b0,0.0035246275
min_rel_humidity_b1,0.0034438006
vpd_b0,0.0032927531
max_rel_humidity_b1,0.0031132728
precip_in_1d_b1,0.0027891044
vpd_b1,0.0026845501
max_rel_humidity_b0,0.0025316607
precip_in_1d_b0,0.002338803
