features,recipe_REG1.1
rest_of_state_nitrate_lag1,0.12950365
roll_n_avg_except_this7d,0.11042913
lat,0.10176523
mean_dist_to_sensor,0.06049273
log_basin_area,0.05506606
max_dist_to_sensor,0.053457867
lon,0.04423625
rest_of_state_nitrate_lag2,0.043809585
Alfalfa_b1,0.02158942
total_kg_N_b0,0.020852327
Corn_b0,0.019975243
Hay_Pasture_b1,0.019273426
total_kg_N_b1,0.0191055
surplus_kgha_b0,0.018968914
surplus_kgha_b1,0.017623857
Soybeans_b1,0.014411425
roll_n_avg_except_this14d,0.014327044
Nonag_b1,0.013933413
Other_b0,0.013867699
Nonag_b0,0.013508636
Soybeans_b0,0.012587664
rest_of_state_nitrate_lag3,0.012506614
Small_Grains_b1,0.012333272
fuel_moisture_1000h_b1,0.011836016
Hay_Pasture_b0,0.010573769
Corn_b1,0.010178113
Alfalfa_b0,0.009858085
Fallow_b0,0.009482413
Fallow_b1,0.009201426
doy_sin,0.008975557
Small_Grains_b0,0.0076407506
roll_n_avg_except_this30d,0.0072885067
fuel_moisture_1000h_b0,0.0070356377
Other_b1,0.006961475
doy_cos,0.006891596
roll_n_avg_except_this60d,0.0065015457
min_temp_b1,0.0044715116
min_temp_b0,0.003963216
rest_of_state_nitrate_lag5,0.0037578873
max_temp_b1,0.0032078126
evapotranspiration_b0,0.0031847488
solar_rad_b1,0.0030323472
solar_rad_b0,0.0028854688
max_temp_b0,0.0026896584
evapotranspiration_b1,0.0020949089
vpd_b1,0.001961846
vpd_b0,0.0019587844
max_rel_humidity_b1,0.0019349854
min_rel_humidity_b1,0.0018982496
min_rel_humidity_b0,0.0018639739
max_rel_humidity_b0,0.0018292058
precip_in_1d_b0,0.0016204925
precip_in_1d_b1,0.001595079
