features,recipe_REG1.1
lat,0.10424913006548837
rest_of_state_nitrate_lag1,0.07899714292703194
Nonag_b0,0.05507467623148553
roll_n_avg_except_this7d,0.05423064970696584
fuel_moisture_1000h_b1,0.02818934633252195
lon,0.027467112151865085
doy_cos,0.023840100044804306
Soybeans_b0,0.022197031567012016
doy_sin,0.0221495410455979
roll_n_avg_except_this30d,0.020611349373719567
Other_b0,0.019185700053445477
mean_dist_to_sensor,0.018412238497181994
roll_n_avg_except_this60d,0.018277637290838186
Hay_Pasture_b0,0.01711746678553095
log_basin_area,0.0160156618579005
fuel_moisture_1000h_b0,0.011349608540743307
max_dist_to_sensor,0.009655790792027647
Soybeans_b1,0.009383284379084509
Fallow_b1,0.007977698184342578
roll_n_avg_except_this14d,0.00784602568705782
total_kg_N_b0,0.006190332000195307
Corn_b0,0.005634308185383356
Fallow_b0,0.004756031822511737
Hay_Pasture_b1,0.004155593172544077
rest_of_state_nitrate_lag2,0.0030220973879281133
Nonag_b1,0.0025145244121824555
Small_Grains_b1,0.0023963151360845278
Small_Grains_b0,0.00208630726350949
surplus_kgha_b0,0.0020724813785816783
rest_of_state_nitrate_lag3,0.0017327510145181701
max_temp_b0,0.0016217733619846044
surplus_kgha_b1,0.0011039149765455745
evapotranspiration_b0,0.0005976765579114263
solar_rad_b1,0.00044749853090621185
precip_in_1d_b1,0.00044593724206729143
evapotranspiration_b1,0.0004241508656276416
solar_rad_b0,0.0004136209571814887
min_temp_b1,0.00038539370382852046
vpd_b0,0.00037539480746462406
min_rel_humidity_b0,0.00034719310627961074
max_rel_humidity_b0,0.0002277425731175908
rest_of_state_nitrate_lag5,0.0001787896825179746
vpd_b1,0.0001724648895196479
precip_in_1d_b0,0.0001241349313168616
Alfalfa_b1,8.574259691484666e-05
min_temp_b0,5.406997800158743e-05
min_rel_humidity_b1,5.3417705406242364e-05
max_rel_humidity_b1,-0.00044092323391429654
max_temp_b1,-0.0006447058944620965
Other_b1,-0.0021495940607578266
total_kg_N_b1,-0.002168539743140863
Corn_b1,-0.004749141781084232
Alfalfa_b0,-0.013942795614958634
