features,recipe_REG2
rest_of_state_nitrate_lag1,0.16798893
roll_n_avg_except_this7d,0.11101796
lat,0.08015234
log_basin_area,0.064227454
mean_dist_to_sensor,0.060584772
max_dist_to_sensor,0.055836756
fuel_moisture_1000h_b1,0.0472362
lon,0.043262575
rest_of_state_nitrate_lag2,0.032949626
Nonag_b0,0.020214802
Corn_b0,0.01890884
rest_of_state_nitrate_lag3,0.017954273
Hay_Pasture_b1,0.01691177
Alfalfa_b0,0.016622117
total_kg_N_b1,0.015421716
surplus_kgha_b1,0.014865664
Other_b0,0.014420616
Alfalfa_b1,0.013594257
Hay_Pasture_b0,0.013270289
doy_sin,0.012059821
Corn_b1,0.011709573
Soybeans_b0,0.011112649
Soybeans_b1,0.010889781
fuel_moisture_1000h_b0,0.008986362
Other_b1,0.008460135
Fallow_b1,0.008323779
surplus_kgha_b0,0.008171243
Small_Grains_b0,0.0081286505
Fallow_b0,0.007988895
Nonag_b1,0.007656743
total_kg_N_b0,0.007615554
rest_of_state_nitrate_lag5,0.0072159707
doy_cos,0.0070060464
Small_Grains_b1,0.0065025836
min_temp_b1,0.004084117
evapotranspiration_b0,0.003880949
max_temp_b1,0.0038208172
min_temp_b0,0.0037351109
solar_rad_b1,0.003429064
vpd_b1,0.003256339
solar_rad_b0,0.0031163439
evapotranspiration_b1,0.003102344
max_temp_b0,0.0023535595
max_rel_humidity_b1,0.0023156502
min_rel_humidity_b1,0.0020204268
vpd_b0,0.0018099106
min_rel_humidity_b0,0.0017204214
precip_in_1d_b1,0.0015118255
max_rel_humidity_b0,0.0013236741
precip_in_1d_b0,0.0012507424
