max_depth,learning_rate,reg_lambda,min_child_weight,lofo,loso,gap
3,0.01,5.0,10,0.34312248944542734,0.39735109240866706,0.054228602963239725
3,0.02,5.0,10,0.3323466379112805,0.38954548646519827,0.05719884855391777
4,0.01,5.0,10,0.32505750701284053,0.39691053860262937,0.07185303158978884
3,0.05,5.0,10,0.31645288583540054,0.36423571220921713,0.04778282637381659
5,0.01,5.0,10,0.3157721842685969,0.39449997839307016,0.07872779412447328
6,0.01,5.0,10,0.3118733951177488,0.39903719929695713,0.08716380417920833
6,0.02,5.0,10,0.3034650261901446,0.39431795844721784,0.09085293225707325
5,0.05,5.0,10,0.3010362070505751,0.37872088184689956,0.07768467479632446
5,0.02,5.0,10,0.3008151521997926,0.3783487059346131,0.07753355373482052
4,0.02,5.0,10,0.3007417421106281,0.38624540962826137,0.08550366751763327
6,0.05,5.0,10,0.28742537534021484,0.3839898218120972,0.09656444647188234
4,0.05,5.0,10,0.27138710235541375,0.37340249431485417,0.10201539195944043
