dist_km,cluster,n_sensors,n_reaches,bbox,box_area_km2,km2_per_sensor
25.0,0,16,947,"[-92.237, 41.32, -91.378, 41.807]",3854,241
25.0,1,13,516,"[-121.88, 38.066, -121.312, 38.653]",3216,247
25.0,2,13,1311,"[-92.496, 41.875, -91.455, 42.52]",6122,471
25.0,3,11,997,"[-94.537, 41.475, -93.413, 41.845]",3829,348
25.0,4,11,1133,"[-76.898, 39.546, -76.06, 40.46]",7219,656
25.0,5,6,171,"[-93.524, 42.182, -92.977, 42.452]",1350,225
25.0,6,6,385,"[-77.425, 38.789, -76.963, 39.114]",1440,240
25.0,7,6,581,"[-96.228, 41.628, -95.632, 42.309]",3714,619
25.0,8,5,660,"[-91.859, 42.601, -91.081, 43.063]",3250,650
25.0,9,5,151,"[-93.909, 42.333, -93.686, 42.759]",860,172
25.0,10,5,993,"[-92.226, 43.945, -91.391, 44.397]",3338,668
25.0,11,4,89,"[-88.974, 40.332, -88.751, 40.501]",354,89
25.0,12,4,770,"[-90.893, 41.97, -90.149, 42.304]",2264,566
25.0,13,4,396,"[-94.241, 41.951, -93.862, 42.499]",1899,475
25.0,14,4,231,"[-93.251, 43.478, -92.77, 43.793]",1350,338
25.0,15,4,862,"[-96.613, 40.926, -95.948, 41.449]",3219,805
25.0,16,4,498,"[-120.296, 46.18, -119.171, 46.421]",2310,577
25.0,17,4,478,"[-93.821, 41.636, -93.196, 42.203]",3242,811
25.0,18,4,309,"[-92.753, 42.534, -92.327, 42.857]",1243,311
25.0,19,3,255,"[-121.897, 37.885, -121.389, 38.161]",1357,452
25.0,20,3,197,"[-80.708, 27.75, -80.471, 28.174]",1095,365
25.0,21,3,710,"[-90.721, 41.589, -89.984, 42.083]",3342,1114
25.0,22,3,469,"[-89.243, 41.222, -88.258, 41.446]",2038,679
25.0,23,3,92,"[-86.371, 39.714, -86.16, 40.128]",823,274
25.0,24,3,273,"[-87.586, 41.086, -86.493, 41.583]",5023,1674
25.0,25,3,333,"[-86.092, 37.872, -85.56, 38.375]",2589,863
25.0,26,3,425,"[-91.387, 41.089, -91.0, 41.542]",1620,540
25.0,27,3,169,"[-95.08, 42.191, -94.761, 42.825]",1835,612
25.0,28,3,127,"[-95.273, 43.121, -95.033, 43.61]",1051,350
25.0,29,3,406,"[-95.705, 40.458, -95.379, 41.046]",1787,596
25.0,30,3,293,"[-97.667, 37.75, -97.301, 38.183]",1538,513
25.0,31,3,814,"[-75.522, 39.7, -74.91, 40.125]",2455,818
25.0,32,3,366,"[-92.367, 40.673, -91.758, 40.853]",1022,341
25.0,33,3,433,"[-91.409, 42.868, -90.996, 43.174]",1139,380
25.0,34,2,62,"[-80.871, 28.552, -80.759, 28.833]",339,170
25.0,35,2,27,"[-82.64, 28.973, -82.32, 29.098]",430,215
25.0,36,2,27,"[-82.962, 29.817, -82.662, 30.112]",943,471
25.0,37,2,63,"[-84.016, 30.104, -83.902, 30.398]",357,178
25.0,38,2,22,"[-85.358, 29.879, -85.218, 30.026]",220,110
25.0,39,2,167,"[-87.737, 39.965, -87.497, 40.379]",934,467
25.0,40,2,209,"[-88.256, 37.948, -88.076, 38.21]",457,229
25.0,41,2,467,"[-90.408, 41.368, -89.897, 41.726]",1683,842
25.0,42,2,101,"[-89.843, 39.552, -89.574, 39.802]",638,319
25.0,43,2,525,"[-85.141, 39.307, -84.722, 39.998]",2740,1370
25.0,44,2,120,"[-94.547, 41.885, -94.258, 42.088]",537,268
25.0,45,2,184,"[-95.079, 40.555, -94.949, 40.95]",476,238
