source,column,sites_offering,sites_ge_1yr,median_overlap_yr,max_overlap_yr,total_overlap_days
IWQIS,m_exc,110,84,2.85,11.09,126071
IWQIS,r_exc,110,84,2.85,11.09,125852
IWQIS,turbi_mean,94,28,0.01,7.23,35057
IWQIS,dts_temp_water,96,28,0.01,6.76,33852
IWQIS,turbi_max,95,28,0.01,6.83,33804
IWQIS,turbi_bes,94,28,0.01,6.8,33742
IWQIS,turbi_var,88,28,0.01,6.8,33654
IWQIS,turbi_min,92,28,0.01,6.76,33646
IWQIS,turbi_med,90,28,0.01,6.54,33259
IWQIS,ph,50,19,0.63,7.01,23334
IWQIS,spec_cond,55,19,0.43,7.01,23244
IWQIS,temp_water,66,18,0.14,6.52,22034
IWQIS,diss_oxy_con,49,18,0.63,6.09,21289
IWQIS,diss_oxy_sat,56,17,0.24,5.78,20224
IWQIS,ph_v2,27,8,0.01,2.93,6331
IWQIS,diss_oxy_sat_v2,24,8,0.19,2.86,6252
IWQIS,diss_oxy_con_v2,24,8,0.2,2.89,6247
IWQIS,spec_cond_v2,22,8,0.29,2.93,6183
IWQIS,chloro_con,36,5,0.12,3.12,5776
IWQIS,turbi_mean_v2,21,7,0.32,2.65,5477
IWQIS,chloro_v,30,6,0.12,2.11,4950
IWQIS,phosphate_con,4,0,0.07,0.39,197
USGS,stage,32,30,3.39,16.23,62244
USGS,discharge,34,31,3.27,15.23,62046
USGS,temp_water,29,25,3.39,9.28,40741
USGS,diss_oxy_con,13,11,2.66,4.85,12462
USGS,spec_cond,13,10,2.81,4.76,12126
USGS,ph,12,10,2.68,4.65,11859
USGS,diss_oxy_sat,6,2,0.3,4.83,3195
