family,n_pcodes,sites_union,sites_best_single,undercount,per_pcode
discharge,1,33481,33481,0,00060=33481
stage,3,33064,32995,69,00065=32995; 63160=3035; 63158=80
groundwater,3,8782,7662,1120,72019=7662; 62611=1856; 62610=764
water_temp,2,7843,7549,294,00010=7549; 00011=362
precip_site,2,4734,4704,30,00045=4704; 99772=30
spec_cond,1,4366,4366,0,00095=4366
diss_oxy,2,2350,2343,7,00300=2343; 00301=426
ph,1,1998,1998,0,00400=1998
turbidity,5,1820,1718,102,63680=1718; 63675=104; 72213=12; 63682=7; 00070=34
velocity,2,579,456,123,72255=456; 72254=142
nitrate,3,324,311,13,99133=311; 99137=7; 00630=6
soil_moisture,2,254,163,91,74207=163; 72181=93
soil_temp,2,237,186,51,72253=186; 62846=51
fdom,3,132,122,10,32295=122; 32322=26; 32330=2
