cluster,n_sites,area_km2,km2_per_site,bbox,noise_pts
3,270,1221562.085436123,4524.304020133789,"[np.float64(-98.7), np.float64(36.68), np.float64(-82.68), np.float64(44.86)]",10
1,49,286884.93056573195,5854.794501341468,"[np.float64(-79.22), np.float64(36.73), np.float64(-73.72), np.float64(42.22)]",10
2,20,316983.25368471054,15849.162684235527,"[np.float64(-85.75), np.float64(25.83), np.float64(-79.91), np.float64(30.84)]",10
0,17,18915.540591351513,1112.678858314795,"[np.float64(-122.27), np.float64(37.44), np.float64(-121.0), np.float64(38.98)]",10
5,10,104935.17188375775,10493.517188375776,"[np.float64(-91.92), np.float64(29.19), np.float64(-89.86), np.float64(34.05)]",10
10,6,24735.160239441448,4122.526706573574,"[np.float64(-120.97), np.float64(45.71), np.float64(-118.78), np.float64(47.04)]",10
11,4,39720.398443547274,9930.099610886818,"[np.float64(-89.84), np.float64(43.83), np.float64(-87.63), np.float64(45.89)]",10
4,3,12500.425343543453,4166.808447847818,"[np.float64(-98.04), np.float64(37.38), np.float64(-96.92), np.float64(38.53)]",10
6,3,15698.140403741709,5232.713467913903,"[np.float64(-83.75), np.float64(41.81), np.float64(-82.41), np.float64(43.1)]",10
7,3,14954.199016884246,4984.733005628082,"[np.float64(-87.43), np.float64(35.33), np.float64(-86.2), np.float64(36.55)]",10
8,3,65719.0289135078,21906.34297116927,"[np.float64(-100.2), np.float64(28.15), np.float64(-96.88), np.float64(29.99)]",10
9,3,10784.22244731375,3594.7408157712503,"[np.float64(-123.09), np.float64(48.34), np.float64(-121.9), np.float64(49.46)]",10
