family,sites,span_median_yr,ge_3yr,first,last,box
nitrate,140,5.03,98,2008-03-27,2026-08-12,"[-98.7, 36.68, -82.68, 44.86]"
discharge,4860,22.69,4167,1773-01-01,2026-08-12,"[-98.7, 36.68, -82.68, 44.86]"
stage,4993,23.82,4329,1773-01-01,2026-08-12,"[-98.7, 36.68, -82.68, 44.86]"
water_temp,1100,3.61,503,1953-06-12,2026-08-12,"[-98.7, 36.68, -82.68, 44.86]"
spec_cond,573,4.05,284,1966-01-29,2026-08-12,"[-98.7, 36.68, -82.68, 44.86]"
turbidity,311,4.67,184,1998-11-16,2026-08-12,"[-98.7, 36.68, -82.68, 44.86]"
diss_oxy,454,5.31,272,1966-01-29,2026-08-12,"[-98.7, 36.68, -82.68, 44.86]"
ph,322,5.29,204,1968-08-07,2026-08-12,"[-98.7, 36.68, -82.68, 44.86]"
groundwater,1719,7.76,1108,1937-02-21,2026-08-12,"[-98.7, 36.68, -82.68, 44.86]"
precip_site,915,1.41,281,1871-10-01,2026-08-12,"[-98.7, 36.68, -82.68, 44.86]"
soil_moisture,89,0.36,6,2002-05-22,2026-08-12,"[-98.7, 36.68, -82.68, 44.86]"
soil_temp,96,1.57,6,2002-05-22,2026-08-12,"[-98.7, 36.68, -82.68, 44.86]"
