ID,description,units,themeLabel
CAT_BFI,"Base Flow Index (BFI), The BFI is a ratio of base flow to total streamflow, expressed as a percentage and ranging from 0 to 100. Base flow is the sustained, slowly varying component of streamflow, usually attributed to ground-water discharge to a stream.",percent,Hydrologic
CAT_PET,"Mean-annual potential evapotranspiration (PET), estimated using the Hamon (1961) equation. ",mm/year,Climate
CAT_CONTACT,Subsurface flow contact time index. The subsurface contact time index estimates the number of days that infiltrated water resides in the saturated subsurface zone of the basin before discharging into the stream.,days,Hydrologic
CAT_EWT,Average depth to water table relatice to the land surface(meters),meters,Hydrologic
CAT_IEOF,Percentage of Horton overland flow as a percent,percent,Hydrologic
CAT_RECHG,Mean annual natural ground-water recharge in millimeters per year,mm/yr,Hydrologic
CAT_SATOF,Percentage of Dunne overland flow as a percent,percent,Hydrologic
CAT_TWI,"Topographic wetness index, ln(a/S); where ln is the natural log, a is the upslope area per unit contour length and S is the slope at that point.  See http://ks.water.usgs.gov/Kansas/pubs/reports/wrir.99-4242.html and Wolock and McCabe, 1995 for more detail",ln(m),Hydrologic
CAT_WB5100_ANN,Average annual runoff (mm) from McCabe and Wolock's Runoff Model 1951-2000 per NHDPlus version 2 catchment,millimeters per year,Hydrologic
CAT_FUNGICIDE,"Average kilograms per square kilometer of fungicide use on agricultural land, 2009",kg/sqkm,Chemical
CAT_OLSON_K,Rock potassium oxide concentration as a percent.,percent,Geology
CAT_OLSON_CAO,Rock calcium oxide concentration as a percent.,percent,Geology
CAT_OLSON_FE,Rock iron oxide concentration as a percent.,percent,Geology
CAT_OLSON_MGO,Rock magnesium oxide concentration as a percent.,percent,Geology
CAT_OLSON_P,Rock phosphorus concentration as a percent.,percent,Geology
CAT_OLSON_S,Rock sulfur concentration as a percent.,percent,Geology
CAT_OLSON_SI,Rock silicon dioxide concentration as a percent.,percent,Geology
CAT_OLSON_UCS,"Estimated mean lithological compressive strength, measured as uniaxial compressive strength (in megaPascals, MPa) of surface or near surface geology per NHDPlusV2 catchment.",megaPascals,Geology
CAT_OLSON_PERM,Rock hydraulic conductivity (10^-6 m/s).,10^-6 m/s,Geology
CAT_BUSHREED_1,unknown,unknown,Geology
CAT_BUSHREED_2,unknown,unknown,Geology
CAT_BUSHREED_3,unknown,unknown,Geology
CAT_BUSHREED_4,unknown,unknown,Geology
CAT_BUSHREED_5,unknown,unknown,Geology
CAT_BUSHREED_6,unknown,unknown,Geology
CAT_BUSHREED_8,unknown,unknown,Geology
CAT_BUSHREED_9,unknown,unknown,Geology
CAT_BUSHREED_10,unknown,unknown,Geology
CAT_HUNT1,unknown,unknown,Geology
CAT_HUNT2,unknown,unknown,Geology
CAT_HUNT3,unknown,unknown,Geology
CAT_HUNT4,unknown,unknown,Geology
CAT_HUNT5,unknown,unknown,Geology
CAT_HUNT6,unknown,unknown,Geology
CAT_HUNT7,unknown,unknown,Geology
CAT_HUNT8,unknown,unknown,Geology
CAT_HUNT9,unknown,unknown,Geology
CAT_HUNT10,unknown,unknown,Geology
CAT_HUNT11,unknown,unknown,Geology
CAT_HUNT12,unknown,unknown,Geology
CAT_HUNT13,unknown,unknown,Geology
CAT_HUNT14,unknown,unknown,Geology
CAT_HUNT15,unknown,unknown,Geology
CAT_HUNT16,unknown,unknown,Geology
CAT_HUNT17,unknown,unknown,Geology
CAT_HUNT18,unknown,unknown,Geology
CAT_HUNT19,unknown,unknown,Geology
CAT_HUNT20,unknown,unknown,Geology
CAT_HUNT21,unknown,unknown,Geology
CAT_HUNT22,unknown,unknown,Geology
CAT_HUNT23,unknown,unknown,Geology
CAT_HUNT24,unknown,unknown,Geology
CAT_HUNT25,unknown,unknown,Geology
CAT_HUNT26,unknown,unknown,Geology
CAT_HUNT27,unknown,unknown,Geology
CAT_HUNT28,unknown,unknown,Geology
CAT_HUNT29,unknown,unknown,Geology
CAT_HUNT30,unknown,unknown,Geology
CAT_HUNT31,unknown,unknown,Geology
CAT_HUNT32,unknown,unknown,Geology
CAT_HUNT33,unknown,unknown,Geology
CAT_HUNT34,unknown,unknown,Geology
CAT_HUNT35,unknown,unknown,Geology
CAT_HUNT36,unknown,unknown,Geology
CAT_HUNT37,unknown,unknown,Geology
CAT_HUNT38,unknown,unknown,Geology
CAT_HUNT39,unknown,unknown,Geology
CAT_HUNT40,unknown,unknown,Geology
CAT_HUNT41,unknown,unknown,Geology
CAT_HUNT42,unknown,unknown,Geology
CAT_HUNT43,unknown,unknown,Geology
CAT_HUNT44,unknown,unknown,Geology
CAT_HUNT45,unknown,unknown,Geology
CAT_FSTFZ6190,"Watershed average of mean day of the year of first freeze, derived from 30 years of record (1961-1990), 2km PRISM. For example, value of 300 is the 300th day of the year (Oct 27th).  ",day of year,Climate
CAT_LSTFZ6190,"Watershed average of mean day of the year of last freeze, derived from 30 years of record (1961-1990), 2km PRISM.  For example, value of 100 is the 100th day of the year (April 10th).  ",day of year,Climate
CAT_MAXP6190,Watershed maximum average annual precipitation in mm,mm/year,Climate
CAT_MAXWD6190,"Watershed average of maximum monthly number of days of measurable precipitation, derived from 30 years of record (1961-1990), 2.3km PRISM.  This is simply the maximum value of the values WD_JAN_BASIN thru WD_DEC_BASIN.",days,Climate
CAT_MINWD6190,"Watershed average of minimum monthly number of days of measurable precipitation, derived from 30 years of record (1961-1990), 2.3km PRISM. This is simply the minimum value of the values WD_JAN_BASIN thru WD_DEC_BASIN.",days,Climate
CAT_HERBICIDE,"Average kilograms per square kilometer of herbicide use on agricultural land, 2009",kg/sqkm,Chemical
CAT_INSECTICIDE,"Average kilograms per square kilometer of insecticide use on agricultural land, 2009",kg/sqkm,Chemical
CAT_N97,"Estimate of nitrogen from fertilizer and manure, from Census of Ag 1997 and AAPFCO",kg/sqkm,Chemical
CAT_NEMATICIDE,"Average kilograms per square kilometer of nematicide use on agricultural land, 2009",kg/sqkm,Chemical
CAT_P97,"Estimate of phosphorous from fertilizer and manure, from Census of Ag 1997 and AAPFCO",kg/sqkm,Chemical
CAT_PRSNOW,"Snow percent of total precipitation estimate, mean for period 1901-2000.  From McCabe and Wolock (submitted, 2008), 1km grid.",percent,Climate
CAT_CWD,Average number of consecutive days with measurable precipitation. It is also sometimes refered to as average storm duration.,days,Climate
CAT_ET,"Mean-annual actual evapotranspiration (ET), estimated using regression equation of Sanford and Selnick (2013)",mm/year,Climate
CAT_RH,unknown,unknown,Climate
CAT_TMAX7100,"Watershed average of maximum monthly air temperature (degrees C) from 800m PRISM, derived from 30 years of record (1971-2000).",degrees C,Climate
CAT_TAV7100_ANN,30 year (1971 - 2000) mean annual temperature (Celsius) per NHDPlus version 2 catchment. -9999 denotes NODATA.,degrees Celsius,Climate
CAT_TMIN7100,"Watershed average of minimum monthly air temperature (degrees C) from 800m PRISM, derived from 30 years of record (1971-2000).",degrees C,Climate
CAT_CNPY11_BUFF100,NLCD 2011 percent tree canopy in 100 meter riparian buffer,percent,Land Cover
CAT_IMPV01_BUFF100,NLCD 2001 percent imperviousness in 100 meter riparian buffer per NHDPlus version 2 catchment,percent,Land Cover
CAT_IMPV06,NLCD 2006 percent imperviousness per NHDPlus version 2 catchment.,percent,Land Cover
CAT_IMPV06_BUFF100,NLCD 2006 percent imperviousness in 100 meter riparian buffer per NHDPlus version 2 catchment,percent,Land Cover
CAT_IMPV01,NLCD 2001 percent imperviousness per NHDPlus version 2 catchment.,percent,Land Cover
CAT_IMPV11_BUFF100,NLCD 2011 percent imperviousness in the 100 meter riparian buffer zones,percent,Land Cover
CAT_IMPV11,NLCD 2011 percent imperviousness,percent,Land Cover
CAT_DITCHES92,Percent of watershed subjected to ditches for the year 1992,percent,Hydrologic Modifications
CAT_TILES92,Percent of watershed subjected to tile drains for the year 1992,percent,Hydrologic Modifications
CAT_WDJAN,NHDPlusV2 catchment value for the 30 year average (1961-1990) number of days of measurable precipitation for January. -9999 denotes NODATA or source data does not cover catchment.,number of days per month,Climate
CAT_WDFEB,NHDPlusV2 catchment value for the 30 year average (1961-1990) number of days of measurable precipitation for February. -9999 denotes NODATA or source data does not cover catchment.,number of days per month,Climate
CAT_WDMAR,NHDPlusV2 catchment value for the 30 year average (1961-1990) number of days of measurable precipitation for March. -9999 denotes NODATA or source data does not cover catchment.,number of days per month,Climate
CAT_WDAPR,NHDPlusV2 catchment value for the 30 year average (1961-1990) number of days of measurable precipitation for April. -9999 denotes NODATA or source data does not cover catchment.,number of days per month,Climate
CAT_WDMAY,NHDPlusV2 catchment value for the 30 year average (1961-1990) number of days of measurable precipitation for May. -9999 denotes NODATA or source data does not cover catchment.,number of days per month,Climate
CAT_WDJUN,NHDPlusV2 catchment value for the 30 year average (1961-1990) number of days of measurable precipitation for June. -9999 denotes NODATA or source data does not cover catchment.,number of days per month,Climate
CAT_WDJUL,NHDPlusV2 catchment value for the 30 year average (1961-1990) number of days of measurable precipitation for July. -9999 denotes NODATA or source data does not cover catchment.,number of days per month,Climate
CAT_WDAUG,NHDPlusV2 catchment value for the 30 year average (1961-1990) number of days of measurable precipitation for August. -9999 denotes NODATA or source data does not cover catchment.,number of days per month,Climate
CAT_WDSEP,NHDPlusV2 catchment value for the 30 year average (1961-1990) number of days of measurable precipitation for September. -9999 denotes NODATA or source data does not cover catchment.,number of days per month,Climate
CAT_WDOCT,NHDPlusV2 catchment value for the 30 year average (1961-1990) number of days of measurable precipitation for October. -9999 denotes NODATA or source data does not cover catchment.,number of days per month,Climate
CAT_WDNOV,NHDPlusV2 catchment value for the 30 year average (1961-1990) number of days of measurable precipitation for November. -9999 denotes NODATA or source data does not cover catchment.,number of days per month,Climate
CAT_WDDEC,NHDPlusV2 catchment value for the 30 year average (1961-1990) number of days of measurable precipitation for Decemeber. -9999 denotes NODATA or source data does not cover catchment.,number of days per month,Climate
CAT_WBM_DT_AET_2012,Average value of actual evapotranspiration (AET) from the water balance model for 2000-2014 detrended to 2012.,mm/yr,Climate
CAT_WBM_DT_PET_2012,Average value of potential evapotranspiration (PET) from the water balance model for 2000-2014 detrended to 2012.,mm/yr,Climate
CAT_WBM_DT_PPT_2012,Average value of Precipitation (PPT) from the water balance model for 2000-2014 detrended to 2012.,mm/yr,Climate
CAT_WBM_DT_RUN_2012,Average value of runoff (RUN) from the water balance model for 2000-2014 detrended to 2012.,mm/yr,Climate
CAT_WBM_DT_SNW_2012,Average value of snowfall (SNW) from the water balance model for 2000-2014 detrended to 2012.,mm/yr,Climate
CAT_WBM_DT_STO_2012,Average value of soil moisture storage (STO) from the water balance model for 2000-2014 detrended to 2012.,millimeters,Climate
CAT_WBM_DT_TAV_2012,Average value of temperature (TAV) from the water balance model for 2000-2014 detrended to 2012.,Celsius degrees,Climate
CAT_TAV7100_JAN,"30 year (1971 - 2000) Average January air temperature for the watershed, degrees C, from 800m PRISM data. 30 years period of record 1971-2000.",degrees C,Climate
CAT_TAV7100_FEB,"30 year (1971 - 2000) Average February air temperature for the watershed, degrees C, from 800m PRISM data. 30 years period of record 1971-2000.",degrees C,Climate
CAT_TAV7100_MAR,"30 year (1971 - 2000) Average March air temperature for the watershed, degrees C, from 800m PRISM data. 30 years period of record 1971-2000.",degrees C,Climate
CAT_TAV7100_APR,"30 year (1971 - 2000) Average April air temperature for the watershed, degrees C, from 800m PRISM data. 30 years period of record 1971-2000.",degrees C,Climate
CAT_TAV7100_MAY,"30 year (1971 - 2000) Average May air temperature for the watershed, degrees C, from 800m PRISM data. 30 years period of record 1971-2000.",degrees C,Climate
CAT_TAV7100_JUN,"30 year (1971 - 2000) Average June air temperature for the watershed, degrees C, from 800m PRISM data. 30 years period of record 1971-2000.",degrees C,Climate
CAT_TAV7100_JUL,"30 year (1971 - 2000) Average July air temperature for the watershed, degrees C, from 800m PRISM data. 30 years period of record 1971-2000.",degrees C,Climate
CAT_TAV7100_AUG,"30 year (1971 - 2000) Average August air temperature for the watershed, degrees C, from 800m PRISM data. 30 years period of record 1971-2000.",degrees C,Climate
CAT_TAV7100_SEP,"30 year (1971 - 2000) Average September air temperature for the watershed, degrees C, from 800m PRISM data. 30 years period of record 1971-2000.",degrees C,Climate
CAT_TAV7100_OCT,"30 year (1971 - 2000) Average October air temperature for the watershed, degrees C, from 800m PRISM data. 30 years period of record 1971-2000.",degrees C,Climate
CAT_TAV7100_NOV,"30 year (1971 - 2000) Average November air temperature for the watershed, degrees C, from 800m PRISM data. 30 years period of record 1971-2000.",degrees C,Climate
CAT_TAV7100_DEC,"30 year (1971 - 2000) Average December air temperature for the watershed, degrees C, from 800m PRISM data. 30 years period of record 1971-2000.",degrees C,Climate
CAT_HGA,"Percentage of Hydrologic Group A soil. -9999 denotes NODATA, usually water. Hydrologic group A soils have high infiltration rates. Soils are deep and well drained and, typically, have high sand and gravel content.",percent,Soils
CAT_HGAC,"Percentage of Hydrologic Group AC soil. -9999 denotes NODATA, usually water. Hydrologic group AC soils have group A characteristics (high infiltration rates) when artificially drained and have group C characteristics (slow infiltration rates) when not drained.",percent,Soils
CAT_HGAD,"Percentage of Hydrologic Group AD soil. -9999 denotes NODATA, usually water. Hydrologic group AD soils have group A characteristics (high infiltration rates) when artificially drained and have group D characteristics (very slow infiltration rates) when not drained.",percent,Soils
CAT_HGB,"Percentage of Hydrologic Group B soil. -9999 denotes NODATA, usually water. Hydrologic group B soils have moderate infiltration rates. Soils are moderately deep, moderately well drained, and moderately coarse in texture.",percent,Soils
CAT_HGBC,"Percentage of Hydrologic Group BC soil. -9999 denotes NODATA, usually water. Hydrologic group BC soils have group B characteristics (moderate infiltration rates) when artificially drained and have group C characteristics (slow infiltration rates) when not drained.",percent,Soils
CAT_HGBD,"Percentage of Hydrologic Group BD soil. -9999 denotes NODATA, usually water. Hydrologic group BD soils have group B characteristics (moderate infiltration rates) when artificially drained and have group D characteristics (very slow infiltration rates) when not drained.",percent,Soils
CAT_HGC,"Percentage of Hydrologic Group C soil. -9999 denotes NODATA, usually water. Hydrologic group C soils have slow soil infiltration rates. The soil profiles include layers impeding downward movement of water and, typically, have moderately fine or fine texture.",percent,Soils
CAT_HGCD,"Percentage of Hydrologic Group CD soil. -9999 denotes NODATA, usually water. Hydrologic group CD soils have group C characteristics (slow infiltration rates) when artificially drained and have group D characteristics (very slow infiltration rates) when not drained.",percent,Soils
CAT_HGD,"Percentage of Hydrologic Group D soil. -9999 denotes NODATA, usually water. Hydrologic group D soils have very slow infiltration rates. Soils are clayey, have a high water table, or have a shallow impervious layer.",percent,Soils
CAT_HGVAR,"Percentage of Hydrologic Group VAR soil. -9999 denotes NODATA, usually water. Hydrologic group VAR soils have variable drainage characteristics.",percent,Soils
CAT_SILTAVE,Average percent of silt in soil per NHDPlus version 2 catchment. -9999 denotes NODATA usually water.,unknown,Soils
CAT_CLAYAVE,Average value of clay content (percentage),percent,Soils
CAT_SANDAVE,Average percent of sand in soil per NHDPlus version 2 catchment. -9999 denotes NODATA usually water.,unknown,Soils
CAT_KFACT,Average value for the K factor per NHDPlus version 2 catchment. -9999 denotes NODATA usually water.,unitless,Soils
CAT_KFACT_UP,Average value for the K factor in the upper soil horizon per NHDPlus version 2 catchment.CAT_NO200AVE,unitless,Soils
CAT_NO10AVE,Average percent by weight of soil material less than 3 inches in size that passes through a No. 10 sieve (2 millimeters) per NHDPlus version 2 catchment.CAT_NO200AVE,percent,Soils
CAT_NO200AVE,Average percent by weight of soil material less than 3 inches in size that passes through a No. 200 sieve (.074 millimeters) per NHDPlus version 2 catchment.CAT_NO200AVE,percent,Soils
