family,offered,usable,on_disk,gap,med_overlap_yr,in_core,pcodes
turbidity,22,20,0,20,5.1,False,63675+63680+72213
chlorophyll,5,3,0,3,2.9,False,32316+62361
phosphorus,3,2,0,2,1.4,False,51289
phycocyanin,2,2,0,2,3.5,False,32319
discharge,32,32,31,1,5.9,True,00060
stage,33,31,31,1,5.7,False,00065+63158+63160
sediment,1,1,0,1,3.0,False,99409
nitrate,35,35,35,0,5.9,True,99133
water_temp,32,26,28,0,4.1,True,00010
diss_oxy,15,12,13,0,3.3,True,00300+00301
ph,14,11,12,0,3.3,True,00400
spec_cond,18,11,13,0,3.3,True,00095
fdom,4,0,0,0,0.2,False,32295
precip_site,1,0,0,0,0.0,False,00045
