family,n_gauges_region,within_5km,within_10km,within_25km,within_50km
stage,3606,51%,76%,99%,100%
discharge,3474,49%,72%,98%,100%
groundwater,1045,12%,20%,50%,92%
water_temp,918,14%,28%,62%,95%
precip_site,774,14%,20%,60%,86%
spec_cond,408,9%,18%,44%,83%
diss_oxy,245,3%,6%,22%,52%
turbidity,150,2%,5%,21%,41%
ph,138,2%,5%,31%,55%
soil_temp,79,0%,0%,2%,10%
soil_moisture,69,0%,0%,1%,10%
velocity,62,0%,2%,5%,8%
nitrate,53,2%,6%,14%,30%
chlorophyll,32,2%,2%,9%,18%
phycocyanin,21,1%,2%,6%,11%
sediment,14,0%,0%,0%,1%
phosphorus,11,0%,0%,0%,0%
fdom,10,2%,2%,7%,13%
