family,n_pcodes_insitu,sites_union,sites_best_single,sites_union_active,all_in_core,union_gain
stage,3,3639,3636,1595,False,3
discharge,1,3506,3506,1335,True,0
groundwater,3,1045,982,476,False,63
water_temp,2,950,937,337,False,13
precip_site,2,775,752,326,False,23
spec_cond,1,426,426,141,True,0
diss_oxy,2,260,260,95,True,0
turbidity,5,172,159,95,False,13
ph,1,152,152,60,True,0
nitrate,3,88,82,55,False,6
soil_temp,2,79,52,12,False,27
soil_moisture,2,69,36,23,False,33
velocity,2,62,43,51,False,19
chlorophyll,4,37,21,19,False,16
phycocyanin,2,23,18,15,False,5
sediment,1,15,15,11,False,0
fdom,3,14,10,6,False,4
phosphorus,2,14,11,8,False,3
reduced_n,0,0,0,0,False,0
chloride,0,0,0,0,False,0
