parameter_code,n_sites,param,n_sites_active,family,in_core
00065,3636,Gage height,1592,stage,True
00060,3506,Discharge,1335,discharge,True
72019,982,"Water level, depth LSD",469,groundwater,False
00010,937,"Temperature, water",329,water_temp,True
00045,752,Precipitation,309,precip_site,False
63160,509,"Stream level, NAVD88",498,stage,False
00095,426,Specific cond at 25C,141,spec_cond,True
62611,399,"Elevation, GW, NAVD88",214,groundwater,False
80155,368,Suspnd sedmnt disch,27,sediment,False
80154,328,Suspnd sedmnt conc,29,sediment,False
00300,260,Dissolved oxygen,95,diss_oxy,True
91050,165,"Phosphorus, wu",36,phosphorus,False
63680,159,"Turbidity, FNU",88,turbidity,False
00400,152,pH,60,ph,True
00020,143,"Temperature, air",86,-,False
91055,83,Susp solids at 105C,19,sediment,False
99133,82,"NO3+NO2,water,insitu as N",50,nitrate,True
00665,71,"Phosphorus, wu as P",44,phosphorus,False
00530,68,Suspended solids,19,sediment,False
72253,52,"Temperature, soil",9,soil_temp,False
99234,49,Autosampler count,43,-,False
00052,49,Relative humidity,9,-,False
91057,48,"NH3+orgN, wu as N",24,reduced_n,False
62615,43,"Elevation, lake/res, NAVD88",35,-,False
72255,43,Mean water velocity,37,velocity,False
91060,43,"Orthophosphate, diss",19,-,False
70969,39,DCP battery voltage,24,-,False
00625,38,"NH3+orgN, wu, conc as N",24,reduced_n,False
74207,36,Soil moisture,6,soil_moisture,False
00036,35,Wind direction,8,-,False
72181,34,"Moisture content, soil fract",18,soil_moisture,False
62961,31,"Ammonia, dissolved as N",13,reduced_n,False
00671,30,"Orthophosphate, wf as P",18,phosphorus,False
00608,29,"Ammonia, wf as N",13,reduced_n,False
00035,29,Wind speed,5,-,False
62846,27,"Temperature, soil",3,soil_temp,False
00301,26,Diss oxygen saturtn,10,diss_oxy,True
91061,26,"NO3+NO2, dissolved as N",14,-,False
91049,26,"NO3+NO2, wu as N",6,-,False
00631,26,"NO3+NO2, wf as N",14,nitrate,False
75969,25,Air pressure,12,-,False
90095,25,"SpecCond,wu25degCLab",0,spec_cond,False
00021,23,"Temperature, air",6,-,False
99772,23,Precipitation,17,precip_site,False
70290,23,"Chloride, dissolved",4,chloride,False
72254,22,Sensor velocity,17,velocity,False
00011,22,"Temperature, water",9,water_temp,False
83554,21,"NO3+NO2, w, total as N",11,-,False
32316,21,"fChl, water, in situ",18,chlorophyll,False
62625,20,Wind speed,3,-,False
54152,19,"Oxygen, soil gas, uncor",16,-,False
54153,19,"Carbon dioxide,soil gas,uncor",15,-,False
