site_uid,nitrate_rows
USGS-05374900,0
WQS0095,0
WQS0093,0
WQS0092,0
WQS0089,0
WQS0087,0
WQS0086,0
USGS-05559900,0
USGS-06901500,0
USGS-05568705,0
USGS-06480000,0
USGS-06481000,0
WQS0079,0
WQS9907,0
USGS-06819550,0
USGS-06899900,0
USGS-06900050,0
USGS-06478513,0
WQS0097,0
WQS0096,0
WQS0098,0
WQS9906,0
WQS9905,0
WQS0117,0
USGS-05420400,0
USGS-05420500,0
USGS-05432927,0
USGS-05474500,0
USGS-05447500,0
USGS-05446500,0
WQS0106,0
USGS-05457000,0
WQS0105,0
WQS0100,0
WQS0099,0
USGS-0546494205,0
WQS0116,0
USGS-433600096442400,0
WQS0094,1
WQS9904,51
WQS0085,96
WQS0068,290
WQS9999,778
WQS9903,3280
WQS0077,3765
WQS0078,4398
WQS0082,5422
USGS-05464420,5661
USGS-05480986,9476
WQS0122,10103
WQS9902,17315
WQS9901,17715
WQS0124,23131
USGS-05480603,25048
WQS0126,26818
USGS-05451210,34107
USGS-06603750,35505
WQS0110,35619
WQS0123,38588
WQS0108,42127
WQS0060,49046
WQS0049,50337
WQS0120,52090
WQS0121,52729
USGS-05418110,55882
USGS-05418400,56684
WQS0052,57808
USGS-05464500,61198
WQS0028,63149
USGS-05455100,68623
WQS0004,68901
USGS-06604440,75439
WQS0107,77313
WQS0041,82712
WQS0119,85967
WQS0062,90781
WQS0019,98829
WQS0045,100297
USGS-05418720,101323
WQS0118,103962
WQS0112,106998
WQS0075,110956
USGS-05481000,115046
WQS0059,127139
WQS0103,137063
USGS-05483600,140702
WQS0017,144332
WQS0104,149322
WQS0018,159245
WQS0036,165037
WQS0042,166905
WQS0015,170586
WQS0090,184105
USGS-05464475,195673
WQS0058,201980
WQS0109,210016
WQS0016,211784
WQS0056,224113
WQS0034,225012
WQS0088,229517
WQS0074,237972
USGS-06808500,241448
WQS0076,242889
WQS0102,246363
WQS0009,247749
WQS0055,251918
WQS0026,257226
WQS0101,262511
WQS0037,274867
WQS0091,276035
WQS0069,283470
USGS-06817000,291164
WQS0072,295860
USGS-05412500,296095
WQS0022,297075
WQS0065,300209
WQS0021,301253
WQS0006,303452
WQS0061,306145
WQS0044,308938
WQS0027,319886
WQS0111,320989
WQS0011,323865
USGS-05482000,329148
WQS0020,330908
WQS0070,337211
WQS0073,340004
WQS0064,340901
USGS-05484000,342262
WQS0039,344388
WQS0080,374043
USGS-05465500,388351
WQS0066,390905
WQS0115,393326
WQS0067,393626
WQS0081,398360
WQS0114,413397
WQS0084,417625
WQS0014,418514
WQS0013,425608
WQS0008,439554
WQS0043,439906
WQS0035,439940
WQS0113,451953
WQS0040,453143
USGS-05484500,454559
WQS0071,460894
WQS0063,472511
WQS0083,476801
USGS-05482500,484861
WQS0033,511390
USGS-05482300,554143
WQS0038,556363
WQS0012,595624
WQS0050,596779
WQS0048,605214
WQS0047,639575
WQS0010,639827
WQS0054,640494
WQS0051,667324
WQS0046,676231
WQS0025,676435
WQS0032,677198
WQS0053,714639
WQS0024,715952
WQS0005,734817
WQS0023,741839
WQS0003,759021
WQS0007,767267
WQS0002,851348
WQS0001,1145420
