site_uid,n,lifespan_yr,sparsity,mean,med,std,vmin,vmax,pct_neg,pct_out,ac1,noise,roughness,spike_rate,flatline_frac,seg_noise,seg_flat,seasonal_coherence,z_mean,z_std,z_noise,z_ac1,z_seasonal_coherence,z_flatline_frac,z_seg_noise,z_seg_flat,known_bad,in_manifest
9903   ,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False
ARS0001,0.0,0.055,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False
SCN0001,0.0,0.73,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False
SCN0002,0.0,0.024,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False
SCNOOO1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False
UNKNOWN,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,False,False
WQP0001,16726.0,3.082,0.1111,5.17,7.775,4.625,0.11,26.8,0.0,0.0,0.9915,0.1303,0.0726,0.317,24.1,0.4101,0.055,0.5939033484193879,-0.44,0.76,1.75,-3.63,-0.01,5.69,-0.67,-0.42,False,False
WQP0002,18629.0,0.559,0.9997,2.026,2.33,1.066,0.5,4.12,0.0,0.0,1.0,0.0063,0.0077,0.0,6.34,0.1785,0.043,0.6015563841055842,-1.6,-1.29,-1.13,0.78,0.01,0.67,-1.17,-0.54,False,False
WQP0003,153618.0,2.275,0.6979,7.409,8.59,4.565,0.11,49.98,0.0,0.003,0.9997,0.0234,0.0154,0.019,1.05,0.7348,0.019,0.7116826425426468,0.39,0.72,-0.73,0.62,0.33,-0.82,0.03,-0.77,False,False
WQP0004,201199.0,2.294,0.8956,15.857,17.14,9.497,0.11,49.93,0.0,0.063,0.9997,0.0262,0.053,0.152,0.45,0.6945,0.1235,0.5363869035890532,3.5,3.56,-0.66,0.62,-0.18,-0.99,-0.06,0.24,False,False
WQP0005,237271.0,2.587,1.0,7.477,6.97,2.807,1.6,25.97,0.0,0.0,0.9996,0.0277,0.0323,0.003,3.96,0.4599,0.368,-0.14267537258993504,0.41,-0.29,-0.63,0.57,-2.16,-0.0,-0.56,2.58,False,False
WQP0006,230171.0,2.338,1.0,3.905,4.38,1.405,0.16,12.73,0.0,0.0,0.9999,0.0111,0.0049,0.0,22.81,0.5436,0.117,0.5320348025602671,-0.91,-1.09,-1.01,0.73,-0.19,5.33,-0.38,0.17,False,False
WQP0007,190998.0,2.338,0.8873,2.697,2.66,1.522,0.11,10.84,0.0,0.0,0.9999,0.0114,0.0039,0.001,34.1,1.293,0.095,0.15465186248757062,-1.35,-1.03,-1.01,0.73,-1.29,8.0,1.24,-0.04,False,False
WQP0008,99114.0,2.083,0.9873,15.058,14.1,5.403,0.45,49.88,0.0,0.565,0.9992,0.0394,0.0262,0.024,1.59,0.1273,0.023,0.795335316077728,3.2,1.21,-0.36,0.36,0.58,-0.67,-1.28,-0.73,False,False
WQP0009,94670.0,2.083,0.7708,14.347,14.39,5.222,0.11,24.77,0.0,0.0,0.9989,0.0465,0.0315,0.144,1.05,0.3081,0.0315,0.8298914583753267,2.94,1.1,-0.19,0.21,0.68,-0.82,-0.89,-0.65,False,False
WQP0010,94635.0,1.127,0.9974,11.107,11.21,4.425,0.11,25.97,0.0,0.0,0.9971,0.0768,0.0958,0.229,6.31,0.589,0.8615,0.6729615575276069,1.75,0.64,0.51,-0.73,0.22,0.66,-0.28,7.32,False,False
WQP0011,57269.0,1.089,0.873,7.902,8.97,4.435,0.11,19.6,0.0,0.0,0.9979,0.0644,0.0386,0.11,2.48,0.8193,0.0295,0.8102770399115482,0.57,0.65,0.22,-0.31,0.62,-0.42,0.21,-0.67,False,False
WQP0012,65576.0,0.985,0.9222,8.89,9.38,4.173,0.11,39.02,0.0,0.0,0.9933,0.1158,0.118,0.525,1.04,0.6869,0.157,0.6700472045988446,0.93,0.5,1.42,-2.7,0.21,-0.83,-0.07,0.56,False,False
