config,stage,searched,arm,seed,lofo_prauc,lofo_auc,lofo_prauc_lift,lofo_between_rate_r2,lofo_brier,best_k,fit_cost,ceiling,k_frac,ceiling_bound,ceiling_note,at_ceiling,n_feat,secs,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,random_state,n_estimators,ax_depth,ax_lr,ax_lam,ax_mcw,ax_subsample,ax_colsample
DEFAULT (inherited),STAGE 1/6 depth x lr,"depth,lr",nearest_4_nbr_rednt_area,42,0.7485082178972393,0.8887360061846195,3.2196044249231477,0.5053446963853958,0.1037995616664359,400,1120.0,1500,0.267,False,,0.7495,145,244.3,0.05,3,4.395976,0.7,0.5,659.396334,0.0,42,400,,,,,,
"depth=3, lr=0.01",STAGE 1/6 depth x lr,"depth,lr",nearest_4_nbr_rednt_area,42,0.7485525515401771,0.8882198088430127,3.219795119947681,0.5073617740278675,0.1039427123596842,1520,4256.0,2250,0.676,False,,0.7481,145,510.4,0.01,3,4.395976,0.7,0.5,659.396334,0.0,42,1520,3.0,0.01,,,,
"depth=3, lr=0.02",STAGE 1/6 depth x lr,"depth,lr",nearest_4_nbr_rednt_area,42,0.7484955745304693,0.8880590160557809,3.219550041232194,0.508126167580893,0.1039213112358873,600,1680.0,1500,0.4,False,,0.7486,145,335.7,0.02,3,4.395976,0.7,0.5,659.396334,0.0,42,600,3.0,0.02,,,,
"depth=3, lr=0.05",STAGE 1/6 depth x lr,"depth,lr",nearest_4_nbr_rednt_area,42,0.7472925083809105,0.8884132148416104,3.21437521882413,0.5028222324771894,0.1039956146425055,280,784.0,1500,0.187,False,,0.743,145,283.9,0.05,3,4.395976,0.7,0.5,659.396334,0.0,42,280,3.0,0.05,,,,
"depth=4, lr=0.01",STAGE 1/6 depth x lr,"depth,lr",nearest_4_nbr_rednt_area,42,0.750211629327721,0.8904803913130457,3.2269314132552873,0.5222109987338446,0.1035037222204856,1100,6160.0,1500,0.733,False,,0.7511,145,285.6,0.01,4,4.395976,0.7,0.5,659.396334,0.0,42,1100,4.0,0.01,,,,
"depth=4, lr=0.02",STAGE 1/6 depth x lr,"depth,lr",nearest_4_nbr_rednt_area,42,0.7485082178972393,0.8887360061846195,3.2196044249231477,0.5053446963853958,0.1037995616664359,400,2240.0,1500,0.267,False,,0.7495,145,331.6,0.02,4,4.395976,0.7,0.5,659.396334,0.0,42,400,4.0,0.02,,,,
"depth=4, lr=0.05",STAGE 1/6 depth x lr,"depth,lr",nearest_4_nbr_rednt_area,42,0.7544350115479649,0.890879942741303,3.2450977069035227,0.5344047514520371,0.1027942291220459,220,1232.0,1500,0.147,False,,0.7472,145,300.7,0.05,4,4.395976,0.7,0.5,659.396334,0.0,42,220,4.0,0.05,,,,
"depth=5, lr=0.01",STAGE 1/6 depth x lr,"depth,lr",nearest_4_nbr_rednt_area,42,0.7471360184494571,0.8889316126090123,3.213702099059087,0.5101890013908188,0.1041517836092696,750,8400.0,1500,0.5,False,,0.7498,145,395.6,0.01,5,4.395976,0.7,0.5,659.396334,0.0,42,750,5.0,0.01,,,,
"depth=5, lr=0.02",STAGE 1/6 depth x lr,"depth,lr",nearest_4_nbr_rednt_area,42,0.7458822975345483,0.88871378330477,3.2083093921939594,0.506578704840621,0.1045199759388054,350,3920.0,1500,0.233,False,,0.7462,145,405.4,0.02,5,4.395976,0.7,0.5,659.396334,0.0,42,350,5.0,0.02,,,,
"depth=5, lr=0.05",STAGE 1/6 depth x lr,"depth,lr",nearest_4_nbr_rednt_area,42,0.7535760861841633,0.8916529974681583,3.241403158419148,0.5428698763325989,0.104380174013954,350,3920.0,1500,0.233,False,,0.7491,145,279.2,0.05,5,4.395976,0.7,0.5,659.396334,0.0,42,350,5.0,0.05,,,,
