config,stage,seed,k,lofo_prauc
DEFAULT (inherited),STAGE 1/6 depth x lr,42,50,0.7006803828885381
DEFAULT (inherited),STAGE 1/6 depth x lr,42,100,0.7225744952028127
DEFAULT (inherited),STAGE 1/6 depth x lr,42,150,0.7295644604148163
DEFAULT (inherited),STAGE 1/6 depth x lr,42,200,0.7360355059571944
DEFAULT (inherited),STAGE 1/6 depth x lr,42,250,0.7396514027632095
DEFAULT (inherited),STAGE 1/6 depth x lr,42,300,0.7442048817714679
DEFAULT (inherited),STAGE 1/6 depth x lr,42,350,0.7471333464449884
DEFAULT (inherited),STAGE 1/6 depth x lr,42,400,0.7485082178972393
DEFAULT (inherited),STAGE 1/6 depth x lr,42,450,0.7490780078130274
DEFAULT (inherited),STAGE 1/6 depth x lr,42,500,0.7495874582614237
DEFAULT (inherited),STAGE 1/6 depth x lr,42,550,0.7504091505646399
DEFAULT (inherited),STAGE 1/6 depth x lr,42,600,0.7511244325146222
DEFAULT (inherited),STAGE 1/6 depth x lr,42,650,0.7511441257877882
DEFAULT (inherited),STAGE 1/6 depth x lr,42,700,0.7509371033212121
DEFAULT (inherited),STAGE 1/6 depth x lr,42,750,0.7511166927999879
DEFAULT (inherited),STAGE 1/6 depth x lr,42,800,0.7511164822276747
DEFAULT (inherited),STAGE 1/6 depth x lr,42,810,0.7510646554017543
DEFAULT (inherited),STAGE 1/6 depth x lr,42,820,0.7510212418414379
DEFAULT (inherited),STAGE 1/6 depth x lr,42,830,0.7510813360592246
DEFAULT (inherited),STAGE 1/6 depth x lr,42,840,0.7513268538300483
DEFAULT (inherited),STAGE 1/6 depth x lr,42,850,0.7512885743445132
DEFAULT (inherited),STAGE 1/6 depth x lr,42,860,0.7512363930451882
DEFAULT (inherited),STAGE 1/6 depth x lr,42,870,0.751143897811479
DEFAULT (inherited),STAGE 1/6 depth x lr,42,880,0.7512133893251561
DEFAULT (inherited),STAGE 1/6 depth x lr,42,890,0.7512093761897907
DEFAULT (inherited),STAGE 1/6 depth x lr,42,900,0.7511738307029483
DEFAULT (inherited),STAGE 1/6 depth x lr,42,910,0.7511543937915378
DEFAULT (inherited),STAGE 1/6 depth x lr,42,920,0.7508180232494527
DEFAULT (inherited),STAGE 1/6 depth x lr,42,930,0.7507968434316029
DEFAULT (inherited),STAGE 1/6 depth x lr,42,940,0.7506604375411579
DEFAULT (inherited),STAGE 1/6 depth x lr,42,950,0.7506505357101091
DEFAULT (inherited),STAGE 1/6 depth x lr,42,1000,0.7507403663889326
DEFAULT (inherited),STAGE 1/6 depth x lr,42,1050,0.7511297410264076
DEFAULT (inherited),STAGE 1/6 depth x lr,42,1100,0.7510448845238069
DEFAULT (inherited),STAGE 1/6 depth x lr,42,1150,0.7504919580363825
DEFAULT (inherited),STAGE 1/6 depth x lr,42,1200,0.7502019517396511
DEFAULT (inherited),STAGE 1/6 depth x lr,42,1250,0.7500766106219505
DEFAULT (inherited),STAGE 1/6 depth x lr,42,1300,0.7497452625508143
DEFAULT (inherited),STAGE 1/6 depth x lr,42,1350,0.7492438058818325
DEFAULT (inherited),STAGE 1/6 depth x lr,42,1400,0.7494004201756221
DEFAULT (inherited),STAGE 1/6 depth x lr,42,1450,0.7493287138595752
DEFAULT (inherited),STAGE 1/6 depth x lr,42,1500,0.7495038814405022
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,50,0.6550070228924314
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,100,0.6844784367521517
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,150,0.7033258707872289
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,200,0.711188624201306
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,250,0.7180672461231294
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,300,0.7233759924351391
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,350,0.7269913148136408
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,400,0.7300997885504413
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,450,0.7312404813482334
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,500,0.7332849986970092
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,550,0.7341861988223426
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,600,0.7365386255010268
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,650,0.7375167687812482
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,700,0.738893494944303
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,750,0.7402282936804638
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,800,0.7412725786339465
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,850,0.7429339085836357
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,900,0.7434885118372518
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,950,0.7445708445019726
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1000,0.745434607053123
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1050,0.7460199080079504
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1100,0.7465872972322355
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1150,0.7469128425750713
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1200,0.7471598800189037
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1250,0.7472855674147256
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1300,0.747405631381145
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1350,0.7477798483015166
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1400,0.7476436516564698
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1450,0.7480750670725945
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1460,0.7480344483229749
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1470,0.7481163517988131
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1480,0.748406564359018
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1490,0.7483006766785245
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1500,0.74835218834292
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1510,0.7484186756092293
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1520,0.7485525515401771
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1530,0.7485193097230802
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1540,0.7485348014160679
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1550,0.7485472632541375
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1560,0.7484973056826839
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1570,0.7485047898020111
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1580,0.7485258936700576
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1590,0.7483331356752652
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1600,0.7482427264980107
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1650,0.7483006086234915
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1700,0.7483216465632919
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1750,0.7477955102077267
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1800,0.7477031096404623
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1850,0.7477149061016631
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1900,0.7479976984514088
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1950,0.7481929066602253
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,2000,0.7481793328273632
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,2050,0.7479824051400387
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,2100,0.747890917611519
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,2150,0.7478167745882764
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,2200,0.7479253414827957
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,2250,0.7481009574411246
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,50,0.6788380164474108
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,100,0.7072650071304688
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,150,0.722854833168914
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,200,0.7296345196425011
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,250,0.7344323465448824
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,300,0.7390577965117596
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,350,0.7423715995212756
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,400,0.7454867511762975
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,450,0.7452013076308432
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,500,0.7458375620402573
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,550,0.7478689601137402
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,600,0.7484955745304693
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,650,0.7490038743543378
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,700,0.7493058853636047
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,750,0.7495419698164003
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,760,0.7494997552502907
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,770,0.7495608220812221
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,780,0.749594227101422
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,790,0.7496075447694506
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,800,0.7496247878574945
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,810,0.7494350338213369
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,820,0.7493731180500257
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,830,0.749554218230668
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,840,0.74994806530324
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,850,0.7498685312899515
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,860,0.749986688707083
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,870,0.7497937868930837
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,880,0.7496442372664245
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,890,0.7493114402710094
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,900,0.749207913180669
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,950,0.7492112982323419
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,1000,0.7486918560166241
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,1050,0.7492886453752113
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,1100,0.7491531386258281
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,1150,0.7487356646799949
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,1200,0.7486990312677977
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,1250,0.748518434803953
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,1300,0.7480110653241978
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,1350,0.7487197098188487
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,1400,0.7485475659890322
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,1450,0.7487754045454212
"depth=3, lr=0.02",STAGE 1/6 depth x lr,42,1500,0.7485918173639187
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,50,0.7143034601332948
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,100,0.7331858432597207
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,150,0.7380564090619366
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,200,0.7455669960321161
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,250,0.7461360344819945
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,260,0.7462844746552932
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,270,0.7469212091993674
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,280,0.7472925083809105
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,290,0.7473530290501047
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,300,0.7473612652872951
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,310,0.7477070305074729
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,320,0.7472683782680488
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,330,0.7473203510310539
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,340,0.7470486083155536
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,350,0.7467188191203018
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,360,0.7470363986184715
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,370,0.7459731266843826
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,380,0.7465066162338928
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,390,0.746721133536041
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,400,0.7460899108459358
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,450,0.7463590487061802
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,500,0.745954774064366
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,550,0.7459964907281968
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,600,0.7452004525713197
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,650,0.7445316268444973
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,700,0.7449290619805776
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,750,0.7445604803589285
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,800,0.7448938191495598
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,850,0.7457522499536432
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,900,0.745447936425501
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,950,0.7453036552905389
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,1000,0.7456872185398259
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,1050,0.74607695383733
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,1100,0.7455520449776951
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,1150,0.7450649188125763
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,1200,0.7438416401374066
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,1250,0.7436852461265983
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,1300,0.7429808900468551
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,1350,0.7427926562750705
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,1400,0.743193012038244
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,1450,0.7432333703957678
"depth=3, lr=0.05",STAGE 1/6 depth x lr,42,1500,0.7429566648963197
"depth=4, lr=0.01",STAGE 1/6 depth x lr,42,50,0.679596363310929
"depth=4, lr=0.01",STAGE 1/6 depth x lr,42,100,0.7031328574660052
"depth=4, lr=0.01",STAGE 1/6 depth x lr,42,150,0.716210504589468
"depth=4, lr=0.01",STAGE 1/6 depth x lr,42,200,0.7226247988696917
"depth=4, lr=0.01",STAGE 1/6 depth x lr,42,250,0.7276603293015594
"depth=4, lr=0.01",STAGE 1/6 depth x lr,42,300,0.7313544524567133
"depth=4, lr=0.01",STAGE 1/6 depth x lr,42,350,0.7333124443117662
"depth=4, lr=0.01",STAGE 1/6 depth x lr,42,400,0.7366575074266398
"depth=4, lr=0.01",STAGE 1/6 depth x lr,42,450,0.7387905884898235
"depth=4, lr=0.01",STAGE 1/6 depth x lr,42,500,0.7404883262240164
"depth=4, lr=0.01",STAGE 1/6 depth x lr,42,550,0.7421318635939218
"depth=4, lr=0.01",STAGE 1/6 depth x lr,42,600,0.7437086800052315
"depth=4, lr=0.01",STAGE 1/6 depth x lr,42,650,0.7448506254312811
"depth=4, lr=0.01",STAGE 1/6 depth x lr,42,700,0.7455382576752929
"depth=4, lr=0.01",STAGE 1/6 depth x lr,42,750,0.7465234312209054
"depth=4, lr=0.01",STAGE 1/6 depth x lr,42,800,0.7474645771908556
"depth=4, lr=0.01",STAGE 1/6 depth x lr,42,850,0.7483761870715976
"depth=4, lr=0.01",STAGE 1/6 depth x lr,42,900,0.7489622227223985
"depth=4, lr=0.01",STAGE 1/6 depth x lr,42,950,0.7488674666164336
"depth=4, lr=0.01",STAGE 1/6 depth x lr,42,1000,0.7494941614247892
"depth=4, lr=0.01",STAGE 1/6 depth x lr,42,1050,0.7497844642694356
"depth=4, lr=0.01",STAGE 1/6 depth x lr,42,1100,0.750211629327721
