config,stage,searched,arm,seed,lofo_r2,lofo_between_r2,lofo_within_r2,lofo_rmse,lofo_macro_r2,best_k,fit_cost,ceiling,k_frac,ceiling_bound,ceiling_note,at_ceiling,n_feat,secs,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,random_state,n_estimators,ax_depth,ax_lr,ax_lam,ax_mcw,ax_subsample,ax_colsample
DEFAULT (inherited),STAGE 1/6 depth x lr,"depth,lr",nearest_4_nbr_rednt_area,42,0.4921233949685395,0.4606242806979442,0.4444707996286315,3.8716502830672086,0.2614958419535215,620,6944.0,1500,0.413,False,,0.4839,110,103.9,0.05,5,10.0,0.7,0.5,307.95275,0.0,42,620,,,,,,
"depth=3, lr=0.01",STAGE 1/6 depth x lr,"depth,lr",nearest_4_nbr_rednt_area,42,0.4833652955273638,0.4333106925768764,0.4421647813602294,3.9048900125477912,0.2618874600411488,1680,4704.0,2250,0.747,False,,0.4833,110,211.9,0.01,3,10.0,0.7,0.5,307.95275,0.0,42,1680,3.0,0.01,,,,
"depth=3, lr=0.02",STAGE 1/6 depth x lr,"depth,lr",nearest_4_nbr_rednt_area,42,0.4897700932357441,0.4494371805668664,0.4430939670779914,3.880609773641595,0.2706389378143952,820,2296.0,1500,0.547,False,,0.4881,110,89.7,0.02,3,10.0,0.7,0.5,307.95275,0.0,42,820,3.0,0.02,,,,
"depth=3, lr=0.05",STAGE 1/6 depth x lr,"depth,lr",nearest_4_nbr_rednt_area,42,0.487707913010073,0.4401186088990704,0.4397790588292343,3.8884439353121927,0.2758893911915775,390,1092.0,1500,0.26,False,,0.4723,110,78.7,0.05,3,10.0,0.7,0.5,307.95275,0.0,42,390,3.0,0.05,,,,
"depth=4, lr=0.01",STAGE 1/6 depth x lr,"depth,lr",nearest_4_nbr_rednt_area,42,0.4902251233111983,0.4602287221708783,0.4449413102106309,3.878878996985579,0.2699806658564271,1100,6160.0,1500,0.733,False,,0.4913,110,112.0,0.01,4,10.0,0.7,0.5,307.95275,0.0,42,1100,4.0,0.01,,,,
"depth=4, lr=0.02",STAGE 1/6 depth x lr,"depth,lr",nearest_4_nbr_rednt_area,42,0.4921233949685395,0.4606242806979442,0.4444707996286315,3.8716502830672086,0.2614958419535215,620,3472.0,1500,0.413,False,,0.4839,110,103.3,0.02,4,10.0,0.7,0.5,307.95275,0.0,42,620,4.0,0.02,,,,
"depth=4, lr=0.05",STAGE 1/6 depth x lr,"depth,lr",nearest_4_nbr_rednt_area,42,0.4890750574486504,0.4311857797787352,0.4431108690678468,3.883251959779847,0.2879908031308591,170,952.0,1500,0.113,False,,0.4657,110,108.6,0.05,4,10.0,0.7,0.5,307.95275,0.0,42,170,4.0,0.05,,,,
"depth=5, lr=0.01",STAGE 1/6 depth x lr,"depth,lr",nearest_4_nbr_rednt_area,42,0.4890254433019098,0.4257789614971429,0.4492778224779898,3.883440499758528,0.2566585892172222,800,8960.0,1500,0.533,False,,0.4912,110,141.3,0.01,5,10.0,0.7,0.5,307.95275,0.0,42,800,5.0,0.01,,,,
"depth=5, lr=0.02",STAGE 1/6 depth x lr,"depth,lr",nearest_4_nbr_rednt_area,42,0.4986601835136901,0.4409930702137796,0.4562563758878261,3.846653934073348,0.2746574270428149,790,8848.0,1500,0.527,False,,0.4932,110,134.4,0.02,5,10.0,0.7,0.5,307.95275,0.0,42,790,5.0,0.02,,,,
"depth=5, lr=0.05",STAGE 1/6 depth x lr,"depth,lr",nearest_4_nbr_rednt_area,42,0.4916035891970723,0.4367459352186963,0.4489889974680445,3.8736310707836767,0.2725413327112553,190,2128.0,1500,0.127,False,,0.4514,110,123.4,0.05,5,10.0,0.7,0.5,307.95275,0.0,42,190,5.0,0.05,,,,
"depth=6, lr=0.01",STAGE 1/6 depth x lr,"depth,lr",nearest_4_nbr_rednt_area,42,0.490190814414126,0.4328925393889821,0.4516074407306134,3.879009523054324,0.2819697117303969,800,17920.0,1500,0.533,False,,0.4918,110,166.6,0.01,6,10.0,0.7,0.5,307.95275,0.0,42,800,6.0,0.01,,,,
"depth=6, lr=0.02",STAGE 1/6 depth x lr,"depth,lr",nearest_4_nbr_rednt_area,42,0.4924995684843418,0.4329544818575264,0.4529163482816164,3.870216192514587,0.2663974981457629,480,10752.0,1500,0.32,False,,0.4877,110,161.1,0.02,6,10.0,0.7,0.5,307.95275,0.0,42,480,6.0,0.02,,,,
"depth=6, lr=0.05",STAGE 1/6 depth x lr,"depth,lr",nearest_4_nbr_rednt_area,42,0.4947652166306359,0.4425809311394002,0.4531389563901326,3.861567572808145,0.2798851105885465,300,6720.0,1500,0.2,False,,0.4705,110,151.2,0.05,6,10.0,0.7,0.5,307.95275,0.0,42,300,6.0,0.05,,,,
DEFAULT (inherited),STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4890750574486504,0.4311857797787352,0.4431108690678468,3.883251959779847,0.2879908031308591,170,1904.0,1500,0.113,False,,0.4657,110,113.6,0.05,5,10.0,0.7,0.5,307.95275,0.0,42,170,,,,,,
DEFAULT (inherited),STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4890750574486504,0.4311857797787352,0.4431108690678468,3.883251959779847,0.2879908031308591,170,1904.0,1500,0.113,False,,0.4657,110,113.6,0.05,5,10.0,0.7,0.5,307.95275,0.0,42,170,,,,,,
"lr=0.05, depth=3, lam=0.002(25)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4867398722184382,0.4479048086165733,0.4416246604613801,3.8921160550841982,0.2529125644926678,440,1232.0,1500,0.293,False,,0.4784,110,84.9,0.05,3,10.0,0.7,0.5,24.63622,0.0,42,440,3.0,0.05,0.002,,,
DEFAULT (inherited),STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4890750574486504,0.4311857797787352,0.4431108690678468,3.883251959779847,0.2879908031308591,170,1904.0,1500,0.113,False,,0.4657,110,113.6,0.05,5,10.0,0.7,0.5,307.95275,0.0,42,170,,,,,,
"lr=0.05, depth=3, lam=0.002(25)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4867398722184382,0.4479048086165733,0.4416246604613801,3.8921160550841982,0.2529125644926678,440,1232.0,1500,0.293,False,,0.4784,110,84.9,0.05,3,10.0,0.7,0.5,24.63622,0.0,42,440,3.0,0.05,0.002,,,
"lr=0.05, depth=3, lam=0.02(246)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4789644933056868,0.4806337762516816,0.4374371440692763,3.921486079292821,0.2510385914554793,150,420.0,1500,0.1,False,,0.4769,110,84.5,0.05,3,10.0,0.7,0.5,246.36219999999997,0.0,42,150,3.0,0.05,0.02,,,
DEFAULT (inherited),STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4890750574486504,0.4311857797787352,0.4431108690678468,3.883251959779847,0.2879908031308591,170,1904.0,1500,0.113,False,,0.4657,110,113.6,0.05,5,10.0,0.7,0.5,307.95275,0.0,42,170,,,,,,
"lr=0.05, depth=3, lam=0.002(25)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4867398722184382,0.4479048086165733,0.4416246604613801,3.8921160550841982,0.2529125644926678,440,1232.0,1500,0.293,False,,0.4784,110,84.9,0.05,3,10.0,0.7,0.5,24.63622,0.0,42,440,3.0,0.05,0.002,,,
"lr=0.05, depth=3, lam=0.02(246)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4789644933056868,0.4806337762516816,0.4374371440692763,3.921486079292821,0.2510385914554793,150,420.0,1500,0.1,False,,0.4769,110,84.5,0.05,3,10.0,0.7,0.5,246.36219999999997,0.0,42,150,3.0,0.05,0.02,,,
"lr=0.05, depth=3, lam=0.1(1232)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4867066048238204,0.4787120474926088,0.43796486104088,3.892242188457574,0.2443384874018477,170,476.0,1500,0.113,False,,0.4814,110,98.8,0.05,3,10.0,0.7,0.5,1231.811,0.0,42,170,3.0,0.05,0.1,,,
DEFAULT (inherited),STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4890750574486504,0.4311857797787352,0.4431108690678468,3.883251959779847,0.2879908031308591,170,1904.0,1500,0.113,False,,0.4657,110,113.6,0.05,5,10.0,0.7,0.5,307.95275,0.0,42,170,,,,,,
"lr=0.05, depth=3, lam=0.002(25)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4867398722184382,0.4479048086165733,0.4416246604613801,3.8921160550841982,0.2529125644926678,440,1232.0,1500,0.293,False,,0.4784,110,84.9,0.05,3,10.0,0.7,0.5,24.63622,0.0,42,440,3.0,0.05,0.002,,,
"lr=0.05, depth=3, lam=0.02(246)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4789644933056868,0.4806337762516816,0.4374371440692763,3.921486079292821,0.2510385914554793,150,420.0,1500,0.1,False,,0.4769,110,84.5,0.05,3,10.0,0.7,0.5,246.36219999999997,0.0,42,150,3.0,0.05,0.02,,,
"lr=0.05, depth=3, lam=0.1(1232)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4867066048238204,0.4787120474926088,0.43796486104088,3.892242188457574,0.2443384874018477,170,476.0,1500,0.113,False,,0.4814,110,98.8,0.05,3,10.0,0.7,0.5,1231.811,0.0,42,170,3.0,0.05,0.1,,,
"lr=0.05, depth=3, lam=0.3(3695)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4829157462053968,0.4817949446869427,0.4384969647104707,3.906588561768832,0.2679235324009434,200,560.0,1500,0.133,False,,0.4892,110,84.4,0.05,3,10.0,0.7,0.5,3695.432999999999,0.0,42,200,3.0,0.05,0.3,,,
DEFAULT (inherited),STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4890750574486504,0.4311857797787352,0.4431108690678468,3.883251959779847,0.2879908031308591,170,1904.0,1500,0.113,False,,0.4657,110,113.6,0.05,5,10.0,0.7,0.5,307.95275,0.0,42,170,,,,,,
"lr=0.05, depth=3, lam=0.002(25)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4867398722184382,0.4479048086165733,0.4416246604613801,3.8921160550841982,0.2529125644926678,440,1232.0,1500,0.293,False,,0.4784,110,84.9,0.05,3,10.0,0.7,0.5,24.63622,0.0,42,440,3.0,0.05,0.002,,,
"lr=0.05, depth=3, lam=0.02(246)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4789644933056868,0.4806337762516816,0.4374371440692763,3.921486079292821,0.2510385914554793,150,420.0,1500,0.1,False,,0.4769,110,84.5,0.05,3,10.0,0.7,0.5,246.36219999999997,0.0,42,150,3.0,0.05,0.02,,,
"lr=0.05, depth=3, lam=0.1(1232)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4867066048238204,0.4787120474926088,0.43796486104088,3.892242188457574,0.2443384874018477,170,476.0,1500,0.113,False,,0.4814,110,98.8,0.05,3,10.0,0.7,0.5,1231.811,0.0,42,170,3.0,0.05,0.1,,,
"lr=0.05, depth=3, lam=0.3(3695)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4829157462053968,0.4817949446869427,0.4384969647104707,3.906588561768832,0.2679235324009434,200,560.0,1500,0.133,False,,0.4892,110,84.4,0.05,3,10.0,0.7,0.5,3695.432999999999,0.0,42,200,3.0,0.05,0.3,,,
"lr=0.05, depth=4, lam=0.002(12)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4876671009440327,0.440460114955391,0.4476653785739917,3.888598819873359,0.2512412128675376,240,1344.0,1500,0.16,False,,0.4665,110,111.3,0.05,4,10.0,0.7,0.5,12.31811,0.0,42,240,4.0,0.05,0.002,,,
DEFAULT (inherited),STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4890750574486504,0.4311857797787352,0.4431108690678468,3.883251959779847,0.2879908031308591,170,1904.0,1500,0.113,False,,0.4657,110,113.6,0.05,5,10.0,0.7,0.5,307.95275,0.0,42,170,,,,,,
"lr=0.05, depth=3, lam=0.002(25)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4867398722184382,0.4479048086165733,0.4416246604613801,3.8921160550841982,0.2529125644926678,440,1232.0,1500,0.293,False,,0.4784,110,84.9,0.05,3,10.0,0.7,0.5,24.63622,0.0,42,440,3.0,0.05,0.002,,,
"lr=0.05, depth=3, lam=0.02(246)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4789644933056868,0.4806337762516816,0.4374371440692763,3.921486079292821,0.2510385914554793,150,420.0,1500,0.1,False,,0.4769,110,84.5,0.05,3,10.0,0.7,0.5,246.36219999999997,0.0,42,150,3.0,0.05,0.02,,,
"lr=0.05, depth=3, lam=0.1(1232)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4867066048238204,0.4787120474926088,0.43796486104088,3.892242188457574,0.2443384874018477,170,476.0,1500,0.113,False,,0.4814,110,98.8,0.05,3,10.0,0.7,0.5,1231.811,0.0,42,170,3.0,0.05,0.1,,,
"lr=0.05, depth=3, lam=0.3(3695)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4829157462053968,0.4817949446869427,0.4384969647104707,3.906588561768832,0.2679235324009434,200,560.0,1500,0.133,False,,0.4892,110,84.4,0.05,3,10.0,0.7,0.5,3695.432999999999,0.0,42,200,3.0,0.05,0.3,,,
"lr=0.05, depth=4, lam=0.002(12)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4876671009440327,0.440460114955391,0.4476653785739917,3.888598819873359,0.2512412128675376,240,1344.0,1500,0.16,False,,0.4665,110,111.3,0.05,4,10.0,0.7,0.5,12.31811,0.0,42,240,4.0,0.05,0.002,,,
"lr=0.05, depth=4, lam=0.02(123)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4843299852326259,0.4650616199379226,0.4436814867027111,3.9012425927181913,0.2728943676935437,150,840.0,1500,0.1,False,,0.4866,110,96.5,0.05,4,10.0,0.7,0.5,123.1811,0.0,42,150,4.0,0.05,0.02,,,
DEFAULT (inherited),STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4890750574486504,0.4311857797787352,0.4431108690678468,3.883251959779847,0.2879908031308591,170,1904.0,1500,0.113,False,,0.4657,110,113.6,0.05,5,10.0,0.7,0.5,307.95275,0.0,42,170,,,,,,
"lr=0.05, depth=3, lam=0.002(25)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4867398722184382,0.4479048086165733,0.4416246604613801,3.8921160550841982,0.2529125644926678,440,1232.0,1500,0.293,False,,0.4784,110,84.9,0.05,3,10.0,0.7,0.5,24.63622,0.0,42,440,3.0,0.05,0.002,,,
"lr=0.05, depth=3, lam=0.02(246)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4789644933056868,0.4806337762516816,0.4374371440692763,3.921486079292821,0.2510385914554793,150,420.0,1500,0.1,False,,0.4769,110,84.5,0.05,3,10.0,0.7,0.5,246.36219999999997,0.0,42,150,3.0,0.05,0.02,,,
"lr=0.05, depth=3, lam=0.1(1232)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4867066048238204,0.4787120474926088,0.43796486104088,3.892242188457574,0.2443384874018477,170,476.0,1500,0.113,False,,0.4814,110,98.8,0.05,3,10.0,0.7,0.5,1231.811,0.0,42,170,3.0,0.05,0.1,,,
"lr=0.05, depth=3, lam=0.3(3695)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4829157462053968,0.4817949446869427,0.4384969647104707,3.906588561768832,0.2679235324009434,200,560.0,1500,0.133,False,,0.4892,110,84.4,0.05,3,10.0,0.7,0.5,3695.432999999999,0.0,42,200,3.0,0.05,0.3,,,
"lr=0.05, depth=4, lam=0.002(12)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4876671009440327,0.440460114955391,0.4476653785739917,3.888598819873359,0.2512412128675376,240,1344.0,1500,0.16,False,,0.4665,110,111.3,0.05,4,10.0,0.7,0.5,12.31811,0.0,42,240,4.0,0.05,0.002,,,
"lr=0.05, depth=4, lam=0.02(123)",STAGE 2/6 depth+lam,"depth,lam",nearest_4_nbr_rednt_area,42,0.4843299852326259,0.4650616199379226,0.4436814867027111,3.9012425927181913,0.2728943676935437,150,840.0,1500,0.1,False,,0.4866,110,96.5,0.05,4,10.0,0.7,0.5,123.1811,0.0,42,150,4.0,0.05,0.02,,,
