config,stage,seed,k,lofo_r2
DEFAULT (inherited),STAGE 1/6 depth x lr,42,50,0.3573118987541889
DEFAULT (inherited),STAGE 1/6 depth x lr,42,100,0.4399764976578433
DEFAULT (inherited),STAGE 1/6 depth x lr,42,150,0.466799221777723
DEFAULT (inherited),STAGE 1/6 depth x lr,42,200,0.4784441055012763
DEFAULT (inherited),STAGE 1/6 depth x lr,42,250,0.4822741427540215
DEFAULT (inherited),STAGE 1/6 depth x lr,42,300,0.4832470142934655
DEFAULT (inherited),STAGE 1/6 depth x lr,42,350,0.4849766446705551
DEFAULT (inherited),STAGE 1/6 depth x lr,42,400,0.4856286442383232
DEFAULT (inherited),STAGE 1/6 depth x lr,42,450,0.4877356886701129
DEFAULT (inherited),STAGE 1/6 depth x lr,42,500,0.489214184475341
DEFAULT (inherited),STAGE 1/6 depth x lr,42,550,0.4901143845761551
DEFAULT (inherited),STAGE 1/6 depth x lr,42,560,0.4899916830557324
DEFAULT (inherited),STAGE 1/6 depth x lr,42,570,0.4902870593975852
DEFAULT (inherited),STAGE 1/6 depth x lr,42,580,0.490723986126384
DEFAULT (inherited),STAGE 1/6 depth x lr,42,590,0.4907240806246755
DEFAULT (inherited),STAGE 1/6 depth x lr,42,600,0.4914572253707584
DEFAULT (inherited),STAGE 1/6 depth x lr,42,610,0.4918687194877084
DEFAULT (inherited),STAGE 1/6 depth x lr,42,620,0.4921233949685395
DEFAULT (inherited),STAGE 1/6 depth x lr,42,630,0.4918121071463665
DEFAULT (inherited),STAGE 1/6 depth x lr,42,640,0.4914891090954388
DEFAULT (inherited),STAGE 1/6 depth x lr,42,650,0.4912359091024844
DEFAULT (inherited),STAGE 1/6 depth x lr,42,660,0.4912734301604288
DEFAULT (inherited),STAGE 1/6 depth x lr,42,670,0.4909878761363699
DEFAULT (inherited),STAGE 1/6 depth x lr,42,680,0.4911097782132867
DEFAULT (inherited),STAGE 1/6 depth x lr,42,690,0.4911842279654085
DEFAULT (inherited),STAGE 1/6 depth x lr,42,700,0.4912219761898008
DEFAULT (inherited),STAGE 1/6 depth x lr,42,750,0.4906044424845942
DEFAULT (inherited),STAGE 1/6 depth x lr,42,800,0.490164580575288
DEFAULT (inherited),STAGE 1/6 depth x lr,42,850,0.4897314287128241
DEFAULT (inherited),STAGE 1/6 depth x lr,42,900,0.4895419850126172
DEFAULT (inherited),STAGE 1/6 depth x lr,42,950,0.4894337118924013
DEFAULT (inherited),STAGE 1/6 depth x lr,42,1000,0.4894534488771001
DEFAULT (inherited),STAGE 1/6 depth x lr,42,1050,0.4888441194268959
DEFAULT (inherited),STAGE 1/6 depth x lr,42,1100,0.4877785496427163
DEFAULT (inherited),STAGE 1/6 depth x lr,42,1150,0.4873548664694076
DEFAULT (inherited),STAGE 1/6 depth x lr,42,1200,0.4869959767369753
DEFAULT (inherited),STAGE 1/6 depth x lr,42,1250,0.4868440961416845
DEFAULT (inherited),STAGE 1/6 depth x lr,42,1300,0.486575653068995
DEFAULT (inherited),STAGE 1/6 depth x lr,42,1350,0.4857243958261683
DEFAULT (inherited),STAGE 1/6 depth x lr,42,1400,0.4849679480177521
DEFAULT (inherited),STAGE 1/6 depth x lr,42,1450,0.4843801702979892
DEFAULT (inherited),STAGE 1/6 depth x lr,42,1500,0.4838688637384026
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,50,0.2193133963305852
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,100,0.3384633598390596
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,150,0.3974037842856174
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,200,0.4298755931144896
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,250,0.4498503587244341
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,300,0.4599084869396385
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,350,0.4666824779335443
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,400,0.4694181787833036
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,450,0.4717436433949948
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,500,0.4728135912245862
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,550,0.4749803897871857
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,600,0.4758857086143004
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,650,0.4767339702886971
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,700,0.4779985960084963
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,750,0.4777042835955587
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,800,0.4780806770356002
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,850,0.4780336087066178
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,900,0.477680183376711
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,950,0.4777073616707938
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1000,0.4787435313038716
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1050,0.4789713067220411
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1100,0.4790830032140319
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1150,0.479646742301403
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1200,0.4798149188117416
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1250,0.4797977350247741
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1300,0.4806070279910726
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1350,0.4808781298918819
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1400,0.4806911556786043
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1450,0.481196203285357
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1500,0.4817416042303771
"depth=3, lr=0.01",STAGE 1/6 depth x lr,42,1550,0.4822848394443558
