station,station_name,lat,lon,day,doy,high,low,precip,snow
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/1/00 12:00 AM,1,47,25,0,0
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/1/00 12:00 AM,1,50,24,0,0
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/1/00 12:00 AM,1,48,19,0,0
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/1/00 12:00 AM,1,43,22,0,0
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/1/00 12:00 AM,1,42,21,0,0
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/1/00 12:00 AM,1,49,22,0,0
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/1/00 12:00 AM,1,51,24,0,0
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/1/00 12:00 AM,1,46,22,0,0
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/1/00 12:00 AM,1,41,22,0,0
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/2/00 12:00 AM,2,34,24,0.05,0.3
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/2/00 12:00 AM,2,42,28,0,0
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/2/00 12:00 AM,2,35,26,0.07,0.1
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/2/00 12:00 AM,2,50,30,0,0
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/2/00 12:00 AM,2,45,29,0,0
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/2/00 12:00 AM,2,47,29,0,0
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/2/00 12:00 AM,2,38,28,0.03,0.1
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/2/00 12:00 AM,2,51,32,0,0
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/2/00 12:00 AM,2,40,27,0.03,0
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/3/00 12:00 AM,3,56,33,0.02,0.1
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/3/00 12:00 AM,3,31,24,0.04,0.3
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/3/00 12:00 AM,3,45,31,0,0
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/3/00 12:00 AM,3,42,28,0.01,0.2
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/3/00 12:00 AM,3,32,29,0.01,0.1
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/3/00 12:00 AM,3,36,30,0,0
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/3/00 12:00 AM,3,34,24,0.12,0.4
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/3/00 12:00 AM,3,39,30,0,0.1
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/3/00 12:00 AM,3,53,32,0.01,0.2
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/4/00 12:00 AM,4,32,14,0.08,0.8
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/4/00 12:00 AM,4,36,22,0.16,1.1
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/4/00 12:00 AM,4,31,17,0.07,1.1
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/4/00 12:00 AM,4,34,15,0.08,0.4
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/4/00 12:00 AM,4,33,9,0.01,0.1
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/4/00 12:00 AM,4,31,7,0.03,0.2
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/4/00 12:00 AM,4,29,10,0.11,0.7
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/4/00 12:00 AM,4,33,21,0.17,1.6
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/4/00 12:00 AM,4,27,4,0.04,0.2
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/5/00 12:00 AM,5,20,8,0,0
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/5/00 12:00 AM,5,17,4,0,0
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/5/00 12:00 AM,5,21,2,0,0
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/5/00 12:00 AM,5,19,3,0,0
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/5/00 12:00 AM,5,20,4,0,0
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/5/00 12:00 AM,5,21,7,0,0
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/5/00 12:00 AM,5,22,6,0,0
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/5/00 12:00 AM,5,19,1,0.01,0.2
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/5/00 12:00 AM,5,15,3,0.01,0
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/6/00 12:00 AM,6,33,14,0,0.1
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/6/00 12:00 AM,6,38,13,0,0
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/6/00 12:00 AM,6,31,14,0.04,0.4
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/6/00 12:00 AM,6,30,10,0,0.1
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/6/00 12:00 AM,6,43,20,0,0
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/6/00 12:00 AM,6,31,16,0.08,0.4
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/6/00 12:00 AM,6,31,9,0,0
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/6/00 12:00 AM,6,30,7,0,0
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/6/00 12:00 AM,6,36,19,0.01,0.2
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/7/00 12:00 AM,7,43,17,0,0
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/7/00 12:00 AM,7,29,1,0.02,0.1
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/7/00 12:00 AM,7,33,12,0,0
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/7/00 12:00 AM,7,31,1,0.01,0.1
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/7/00 12:00 AM,7,31,6,0.01,0
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/7/00 12:00 AM,7,36,20,0,0
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/7/00 12:00 AM,7,40,17,0,0
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/7/00 12:00 AM,7,38,12,0,0
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/7/00 12:00 AM,7,35,9,0,0
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/8/00 12:00 AM,8,39,9,0,0
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/8/00 12:00 AM,8,34,2,0,0
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/8/00 12:00 AM,8,45,16,0,0
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/8/00 12:00 AM,8,49,17,0,0
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/8/00 12:00 AM,8,38,3,0,0
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/8/00 12:00 AM,8,33,10,0,0
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/8/00 12:00 AM,8,37,16,0,0
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/8/00 12:00 AM,8,45,12,0,0
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/8/00 12:00 AM,8,33,5,0,0
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/9/00 12:00 AM,9,45,28,0.05,0
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/9/00 12:00 AM,9,50,26,0,0
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/9/00 12:00 AM,9,47,30,0.11,0
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/9/00 12:00 AM,9,50,29,0.02,0
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/9/00 12:00 AM,9,40,23,0,0
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/9/00 12:00 AM,9,46,27,0,0
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/9/00 12:00 AM,9,45,23,0,0
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/9/00 12:00 AM,9,41,15,0,0
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/9/00 12:00 AM,9,43,25,0.01,0
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/10/00 12:00 AM,10,44,29,0.07,0
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/10/00 12:00 AM,10,43,27,0,0
IAC007,Iowa - Southwest Climate Division,41.0809480993,-95.1379479497,1/10/00 12:00 AM,10,46,28,0,0
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/10/00 12:00 AM,10,39,19,0,0
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/10/00 12:00 AM,10,43,34,0.15,0
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/10/00 12:00 AM,10,39,25,0.02,0
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/10/00 12:00 AM,10,46,35,0.11,0
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/10/00 12:00 AM,10,46,31,0.02,0
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/10/00 12:00 AM,10,40,30,0.21,0
IAC001,Iowa - Northwest Climate Division,43.027020875,-95.4945087229,1/11/00 12:00 AM,11,40,12,0,0
IAC004,Iowa - West Central Climate Division,42.0398027871,-95.2599670554,1/11/00 12:00 AM,11,43,19,0,0
IAC003,Iowa - Northeast Climate Division,42.8585238672,-91.7665112736,1/11/00 12:00 AM,11,42,24,0,0
IAC002,Iowa - North Central Climate Division,43.0498599625,-93.4890263095,1/11/00 12:00 AM,11,39,18,0,0
IAC008,Iowa - South Central Climate Division,41.0467323739,-93.4940760185,1/11/00 12:00 AM,11,47,24,0,0
IAC005,Iowa - Central Climate Division,42.041100506,-93.3352885645,1/11/00 12:00 AM,11,45,21,0,0
IAC006,Iowa - East Central Climate Division,41.897557125,-91.253429866,1/11/00 12:00 AM,11,46,27,0,0
IAC009,Iowa - Southeast Climate Division,41.0387041389,-91.8205634896,1/11/00 12:00 AM,11,49,29,0,0
