publishes_under,comid,GenID,dist_m
SNR-09QQ,22248905,22248899,2282.316846910326
SNR-09VZ,11916299,11916299,469.15152878935464
SNR-097M,7002320,7004038,1034.6094123399728
SNR-09R4,14796931,14796653,3300.210281374005
SNR-0CLW,13336282,13335726,1292.2612563136142
SNR-0AXK,22475257,22476667,3110.990482106454
SNR-0AXN,22475257,22476667,2963.5070463935326
SNR-0A6X,22248727,22248729,1465.3561792638225
SNR-0A5M,22248727,22248729,857.2620990606752
SNR-0AKE,17539323,17539323,97.3061538458917
SNR-09OS,11915787,11915741,37.2253969005562
SNR-0A3E,6597652,6597616,171.18196608775386
SNR-09VB,6597718,6597778,84.114254273458
SNR-09R6,14796931,14796653,3124.527955759148
SNR-0A80,6597762,6597572,89.97274681778076
SNR-09WD,11916299,11916299,19.262810594211608
SNR-09UW,11915507,11915417,35.072694944586495
SNR-09Y5,11915379,11915381,41.83040275283866
SNR-09X1,11915457,11916703,537.8843773236122
SNR-09F8,11918423,11918347,42.897323987897906
SNR-09C7,11919685,11919685,87.47272953965891
SNR-09B3,17557695,17557695,109.29006345986673
SNR-0CCC,7016505,7016093,2341.1662846952945
SNR-0BVB,13311203,13311239,4.9972840787214325
SNR-0863,7006146,7006082,33.658697155444386
SNR-09Z6,11915285,11916703,1552.5792341209192
SNR-0CC2,7016067,7016117,3533.6968667626566
SNR-0C2N,7016345,7016151,30.533585737371016
SNR-0C8A,7016239,7016151,11.522938500679539
SNR-0BV6,13313181,13311239,33.220199984725916
SNR-0BV0,13311309,13311117,8.941942073913822
SNR-0C88,13308839,13308799,826.9680269181921
SNR-0BQY,13311697,13311425,6.296595803837442
SNR-087R,5000629,5001197,8.203411940186557
SNR-09D1,14806031,14806031,434.3713638203233
SNR-09YH,11915305,11915251,178.88832887056432
SNR-09ZT,11916213,11915251,118.14817291584451
SNR-0A15,14796117,14796105,38.891522216281665
SNR-0AYD,6572160,6572142,3.872219758920115
SNR-0B63,13358770,13358770,10.794291048582974
SNR-0B71,13358696,13358836,1475.9034427727042
SNR-0AXC,22475313,22472773,14.000123593554978
SNR-0ALE,6595222,6595188,52.80408341818528
SNR-0AL7,6595222,6595188,128.32562260839336
SNR-0B6M,13376243,13372765,36.836702983829625
SNR-0BSV,13311475,13311489,138.14178285265467
SNR-09VR,6621656,6620502,18.43229479799363
SNR-084A,4998271,4998275,94.56227767119434
SNR-08KP,7004728,7004728,4.704730103235683
SNR-0B1S,22474813,22474893,1.6047816543153988
SNR-07Y2,5138325,5138319,13.486084244314382
SNR-09HS,19164465,19164157,18.112365297530406
SNR-0AJ4,6978978,6978978,27.523885363982203
SNR-0BJY,6603048,6603264,18.773870214497745
SNR-09RV,17208706,17208322,3.7194961835642504
SNR-0ADL,14626246,14626276,23.128719056308224
SNR-0AQC,17227027,17227021,3.3384803467863233
SNR-0BBQ,17240094,17240000,25.4490115387928
SNR-081V,19167379,19167379,25.027941788336484
SNR-0AUC,6599836,6595152,53.28783263213494
SNR-09JC,22249135,22249109,7.823226263711319
SNR-09O6,22248959,22248899,4.195590434086222
SNR-0AYI,6572754,6572146,1.578010931161581
SNR-0878,5000697,5000729,34.50004047960784
SNR-092B,7002456,7002382,4.505104304582914
SNR-0AZK,6572136,6571990,20.835410262604945
SNR-0AHX,17554945,17554841,1993.408451749129
SNR-0ACO,6980594,6980580,11.942458262131527
SNR-0ADF,6980580,6980580,631.4670788209472
SNR-0B1N,6572042,6572044,325.1847636512291
SNR-0B1K,6572062,6572044,9.264099206320077
SNR-09VG,6993777,6993639,1012.9703571063854
SNR-09V8,6993785,6993639,539.4877638628359
SNR-0B90,6603228,6603208,18.84716077817696
SNR-0A58,17246982,17246982,4.747354914075676
SNR-0BME,14622550,14622550,5.4094385920804395
SNR-0C6J,13211090,13211024,19.31759369753057
SNR-0CK5,13336508,13336690,37.1216903155345
SNR-0A3U,14625774,14626252,37.38681051924579
SNR-0A4V,17235870,17235866,4.202599901702764
SNR-0CCU,7242913,7242845,19.272411695054885
SNR-08CZ,4999977,5000045,18.39829129593483
SNR-0ARR,6950888,6950854,71.03977112189234
SNR-0AV3,22475537,22475537,13.779791096683864
SNR-0AQ7,22476263,22476425,37.404657853346436
SNR-09IP,11916051,11917551,38.92800610945579
SNR-0BFN,6606266,6606220,3.1864725179952864
SNR-0BJ8,6605922,6605922,1.4609222733238987
SNR-09SC,19207897,19207459,4.5230358084937965
SNR-09VL,11915455,11915417,260.9773913253448
SNR-09P5,11916259,11915553,890.5712916082169
SNR-0AZF,6607090,6606896,13.123584558914699
SNR-09DX,22254681,22249633,89.49030473337277
SNR-0B45,6603910,6603910,38.421144673573004
SNR-0AFQ,6610484,6608294,7.988548905353703
SNR-0BIU,6561217,6561101,38.658702469137474
SNR-0BFI,7017505,7017481,2.982237864366798
SNR-0BIR,6561217,6561101,35.574204729288894
SNR-08W0,11919825,11919807,97.69152527928019
SNR-0BE7,2165301,2165307,49.664052745089656
SNR-0CGM,13210312,13210354,26.590712727143337
SNR-0CKR,13337282,13335332,29.85608596301726
SNR-09VX,22248781,22248769,13.667362498103822
SNR-0AM3,22476413,22476385,1310.5467615348582
SNR-0AL5,22476437,22476385,7.3877695679740985
SNR-0AMQ,22476399,22476425,39.382798065932235
SNR-0AVJ,6609088,6609044,8.734707455927225
SNR-0BE8,6603170,6603132,85.89368333349118
SNR-0BTF,6603368,6603358,40.7460464343094
SNR-09T5,11915593,11915417,2452.08603996542
SNR-0AQF,13375519,13375627,73.5119949956878
SNR-0C0E,13211298,13211286,0.8627510130669046
SNR-0AMP,22476413,22476385,674.5620663344366
SNR-0CF5,13337100,13337140,310.97922805131105
SNR-0BZ3,13211348,13211350,4.107646130727599
SNR-08LB,4995471,4995471,113.4761978790782
SNR-0ALM,13375649,13375649,47.223213061033135
SNR-0ALL,14794879,14794873,2.7061809034933577
SNR-096S,19166273,19166189,46.96975237566596
SNR-08KL,19166807,19166629,55.42242882988773
SNR-0CLZ,13337650,13337662,52.93622646039926
SNR-0CJP,13336562,13336524,52.86369708929646
SNR-0BWV,940230078,940230073,53.33917461242057
SNR-0BP3,6949292,6949364,31.667313966338742
SNR-0AFA,22477405,22477431,106.89954645627068
SNR-0ALF,6595222,6595188,75.59727148969152
SNR-09B7,17557695,17557695,129.26403613210286
SNR-09F5,11918423,11918347,53.8607858713148
SNR-0BSW,13311475,13311489,177.04464662799134
SNR-09TA,11916315,11916401,149.14526113624547
SNR-0EE0,4973323,4973323,15.409990207389653
SNR-0DX9,2349256,2353756,1.3197639228058207
SNR-0DPM,2355278,2355696,5.907316651208672
SNR-0DVR,1104206,1104206,124.21674105976858
SNR-0DNP,937020644,937020644,35.19326502426447
SNR-0DAM,4142312,4142280,30.92867456110878
SNR-0DBJ,4047160,4047128,7.27355242261179
SNR-0DA9,4047140,4047140,4.792387236914922
SNR-0CRO,2748822,2747868,7.002385804345889
SNR-0CRD,2749200,2749044,5.990398218320626
SNR-0D34,2423627,2423701,0.37409579366359563
SNR-0D08,10597374,10597374,4.241673939329619
SNR-0D2I,10595950,10595950,2.7725680972238704
SNR-0D5O,10595878,10595902,21.651596623706187
SNR-0DKB,2386438,2386438,20.579492681360257
SNR-0DK0,2028753,2028777,3.252486697446143
SNR-0DAF,2032979,2033617,22.33442934544068
SNR-0D43,2118562,2118546,20.47662868116912
SNR-0D7G,2119516,2119652,21.91344256059085
SNR-0D3E,2119804,2119824,17.808147571881957
SNR-0DCA,2442556,2442210,3.996018927415028
