uid_a,uid_b,name_a,name_b,comid,sep_m,on_channel,channels_a,channels_b,shared_days,r,median_diff,area_a_km2,area_b_km2,agree_a,agree_b,proposed,seam,evidence
USGS:01105608,USGS:011056081,"WHITMANS POND FISH LADDER AT EAST WEYMOUTH, MA",WHITMANS POND COMBINED BY-PASS & FISH LADDER FLOW,5863459,0.0,discharge,discharge,discharge,639.0,0.1134,-0.1872,32.37485,32.37485,True,True,distinct,,shared_comid+records+source_area
USGS:04057811,USGS:04057812,"GREENWOOD RESERVOIR NEAR GREENWOOD, MI","GREENWOOD AFTERBAY NEAR GREENWOOD, MI",11959926,0.0,gage_height,gage_height,gage_height,6665.0,0.4682,10.351,174.56519120000002,174.56519120000002,True,True,complementary,,shared_comid+records+source_area
USGS:04073468,USGS:434928088553601,"GREEN LAKE INLET AT CT HIGHWAY A NR GREEN LAKE, WI","GREEN LAKE AT COUNTY TRUNK HWY A NR GREEN LAKE, WI",6866237,0.0,,discharge,gage_height,,,,138.564358,266.768764,True,True,complementary,,shared_comid+records+source_area
USGS:04087440,USGS:05536121,"LAKE MICHIGAN AT CHICAGO LOCK AT CHICAGO, IL","CHICAGO RIVER AT CHICAGO LOCK AT CHICAGO, IL",12171405,0.0,gage_height,gage_height,gage_height,6403.0,0.033,0.7955,,,,,complementary,,shared_comid+records+source_area
USGS:0414826503,USGS:0414826504,"TRIB TILE TO KIMBALL DRAIN NEAR SWARTZ CREEK, MI","TRIB TO KIMBALL DRAIN NEAR SWARTZ CREEK, MI",13019761,0.0,discharge,discharge,discharge,2290.0,0.44,0.0,,,True,True,distinct,,shared_comid+records+source_area
USGS:05551000,USGS:05551001,"FOX RIVER AT SOUTH ELGIN, IL","FOX RIVER AT SOUTH ELGIN, IL (TAILWATER)",14762931,0.0,gage_height,discharge+gage_height,gage_height,5959.0,0.9844,1.8288,4030.021328,4030.021328,True,True,complementary,,shared_comid+records+source_area
USGS:05551580,USGS:05551581,"FOX RIVER AT YORKVILLE, IL","FOX RIVER TAILWATER AT YORKVILLE, IL",14763017,0.0,gage_height,discharge+gage_height+spec_cond,gage_height,4760.0,0.9076,1.6796,4672.338352,4672.338352,True,True,complementary,,shared_comid+records+source_area
USGS:05551580,USGS:05551582,"FOX RIVER AT YORKVILLE, IL","FOX RIVER BYPASS AT YORKVILLE, IL",14763017,0.0,gage_height,discharge+gage_height+spec_cond,gage_height,4901.0,0.9379,1.2014,4672.338352,4672.338352,True,True,complementary,,shared_comid+records+source_area
USGS:05551581,USGS:05551582,"FOX RIVER TAILWATER AT YORKVILLE, IL","FOX RIVER BYPASS AT YORKVILLE, IL",14763017,0.0,gage_height,gage_height,gage_height,4957.0,0.9018,-0.4785,4672.338352,4672.338352,True,True,complementary,,shared_comid+records+source_area
USGS:412354086421005,USGS:412354086421006,"KANKAKEE WELL FIELD SH-3 NEAR HANNA, IN","KANKAKEE WELL FIELD WT-3 NEAR HANNA, IN",13433691,0.0,nitrate,nitrate,nitrate,739.0,-0.3923,-6.36,,,True,True,distinct,,shared_comid+records+source_area
