Merge Pair,uid_a,uid_b,decision,decided_by,note,name_a,name_b,proposed,sep_m,on_channel,shared_days,r,channels_a,channels_b
1,IWQIS:WQS0032,USGS:05483600,merge,isaac,,Middle Raccoon River at Panora (32),"Middle Raccoon River at Panora, IA",sequential,4.12,nitrate,0.0,,nitrate+water_temp+turbidity_unknown,nitrate+discharge+gage_height
2,IWQIS:WQS0081,USGS:05481000,merge,isaac,,Boone River at Webster City (81BRWC),"Boone River near Webster City, IA",sequential,22.4,nitrate,0.0,,nitrate+water_temp+turbidity_unknown,nitrate+discharge+gage_height+water_temp
3,IWQIS:WQS0028,IWQIS:WQS9902,merge,isaac,,Des Moines River at Boone (28DMRB),WQS9902,sequential,24.65,nitrate,0.0,,nitrate+water_temp+spec_cond+diss_oxy+ph+fchl,nitrate+water_temp+spec_cond+turbidity_unknown+diss_oxy+ph+fchl+orthophosphate
4,IWQIS:WQP0011,USGS:05455100,merge,isaac,right on top of one another,Old Mans Creek at Iowa City (WQP11 OMCIC),"Old Mans Creek near Iowa City, IA",sequential,45.29,nitrate,0.0,,nitrate,nitrate+discharge+gage_height+water_temp
5,IWQIS:WQS0024,USGS:05451210,merge,isaac,,South Fork Iowa River at New Providence (24SFINP),"South Fork Iowa River NE of New Providence, IA",sequential,51.79,nitrate,0.0,,nitrate+water_temp+spec_cond+turbidity_unknown+diss_oxy+ph+fchl,nitrate+discharge+gage_height+water_temp+spec_cond+turbidity_fnu+turbidity_ntu+diss_oxy+ph+fdom
6,IWQIS:WQS0029,IWQIS:WQS9902,merge,isaac,,Water supply well at Boone (29gwDMRB),WQS9902,sequential,245.04,nitrate,0.0,,nitrate,nitrate+water_temp+spec_cond+turbidity_unknown+diss_oxy+ph+fchl+orthophosphate
7,IWQIS:WQP0004,IWQIS:WQP0014,distinct,isaac,"one is in river, one is a in-field research project NOT in the river",Blind Inlet at Walcott (4BISC),In-Field Research Project at Walcott (WQP 14),sequential,835.37,nitrate,0.0,,nitrate,nitrate+water_temp+turbidity_unknown
8,USGS:05536356,USGS:05536357,merge,isaac,,"GRAND CALUMET RIVER AT COLUMBIA AV AT HAMMOND, IN","GRAND CALUMET RIVER AT HOHMAN AV AT HAMMOND, IN",sequential,1644.18,discharge,0.0,,nitrate+discharge+gage_height+water_temp+spec_cond+turbidity_fnu+diss_oxy+ph+fchl+orthophosphate,discharge
9,USGS:300034090055300,USGS:300138090064700,distinct,isaac,,"City Park West Lagoon at New Orleans, LA","New Canal Lighthouse at New Orleans, LA",sequential,2447.11,spec_cond,0.0,,gage_height+water_temp+spec_cond+diss_oxy,nitrate+water_temp+spec_cond+turbidity_fnu+diss_oxy+ph+fchl+fpc
10,USGS:03123499,USGS:03292550,distinct,isaac,,"BRADLEY CREEK AT LOUISVILLE, KY","S FK BEARGRASS CREEK AT E OAK ST AT LOUISVILLE, KY",sequential,2626.18,spec_cond,0.0,,nitrate+water_temp+spec_cond+turbidity_fnu+diss_oxy+ph,discharge+gage_height+water_temp+spec_cond+diss_oxy+ph
11,IWQIS:WQS0087,USGS:05465500,merge,isaac,,Iowa River at Wapello (87IRW),"Iowa River at Wapello, IA",complementary,1.7,water_temp,0.0,,water_temp+turbidity_unknown,nitrate+discharge+gage_height+water_temp+turbidity_fnu
12,IWQIS:WQP0014,IWQIS:WQP0015,merge,isaac,,In-Field Research Project at Walcott (WQP 14),In-Field Research Project at Walcott (WQP 15),complementary,8.27,water_temp,315.0,0.9745,nitrate+water_temp+turbidity_unknown,water_temp+turbidity_unknown
13,IWQIS:WQS0003,USGS:05454220,merge,isaac,,Clear Creek at Oxford (3CCO),"Clear Creek near Oxford, IA",complementary,11.67,,,,nitrate+water_temp+spec_cond+turbidity_unknown+diss_oxy+ph+fchl,discharge
14,USGS:05568703,USGS:401934089541701,merge,isaac,,"MASON TAZEWELL DRAINAGE D NR NURSERY NR TOPEKA, IL",22N7W-29.1d1 (DP-1),complementary,12.67,,,,gage_height,nitrate
15,IWQIS:WQS0023,USGS:05422000,merge,isaac,,Wapsipinicon River at De Witt (23WRDW),"Wapsipinicon River near De Witt, IA",complementary,14.4,,,,nitrate+water_temp+spec_cond+turbidity_unknown+diss_oxy+ph+fchl,discharge
16,IWQIS:WQS0006,USGS:05455700,merge,isaac,,Iowa River at Lone Tree (6IALT),"Iowa River near Lone Tree, IA",complementary,14.5,,,,nitrate+water_temp+spec_cond+turbidity_unknown+diss_oxy+ph+fchl,discharge
17,USGS:05568703,USGS:401934089541702,merge,isaac,,"MASON TAZEWELL DRAINAGE D NR NURSERY NR TOPEKA, IL",22N7W-29.1d2 (SH-1),complementary,15.73,,,,gage_height,nitrate
18,IWQIS:WQS0009,USGS:05411900,merge,isaac,,Otter Creek at Elgin (9OCE),"Otter Creek at Elgin, IA",complementary,18.58,,,,nitrate+water_temp+spec_cond+turbidity_unknown+diss_oxy+ph+fchl,discharge
19,IWQIS:WQS0064,USGS:05388250,merge,isaac,,Upper Iowa River at Dorchester (64UIRD),"Upper Iowa River near Dorchester, IA",complementary,23.81,,,,nitrate+water_temp+spec_cond+turbidity_unknown+diss_oxy+ph+fchl,discharge+gage_height
20,IWQIS:WQS0040,USGS:06609500,merge,isaac,,Boyer River at Logan (40),"Boyer River at Logan, IA",complementary,25.01,,,,nitrate+water_temp+turbidity_unknown,discharge
21,IWQIS:WQS0044,USGS:06809900,merge,isaac,,East Nishnabotna River at Riverton (44ENRR),"East Nishnabotna River at Riverton, IA",complementary,33.51,,,,nitrate+water_temp+spec_cond+turbidity_unknown+diss_oxy+ph+fchl,discharge
22,IWQIS:WQS0005,USGS:05455500,merge,isaac,,English River at Kalona (5ENGK),"English River at Kalona, IA",complementary,38.59,,,,nitrate+water_temp+spec_cond+turbidity_unknown+diss_oxy+ph+orthophosphate,discharge
23,IWQIS:WQS0002,USGS:05454300,merge,isaac,,Clear Creek at Coralville (2CCC),"Clear Creek near Coralville, IA",complementary,44.36,,,,nitrate+water_temp+spec_cond+turbidity_unknown+diss_oxy+ph+fchl,discharge
