Site,site_uid,decision,decided_by,note,question,station_name,site_type,site_type_source,site_type_conflict,ambiguity,FTYPE,WBAreaType,Tidal,snap_dist_m
1,IWQIS:WQS0052,stream,isaac,in a park,DECIDED as stream by review. The evidence that raised it is settled; change it here to revisit.,McLoud Run at Cedar Rapids (52MRCR),stream,human_review,,reviewed,StreamRiver, ,0.0,1993.44
2,USGS:01408500,stream,isaac,,DECIDED as stream by review. The evidence that raised it is settled; change it here to revisit.,Toms River near Toms River NJ,stream,human_review,,reviewed,StreamRiver, ,1.0,23.73
3,USGS:01463500,stream,isaac,,DECIDED as stream by review. The evidence that raised it is settled; change it here to revisit.,Delaware River at Trenton NJ,stream,human_review,,reviewed,ArtificialPath,StreamRiver,1.0,167.46
4,USGS:01467200,stream,isaac,,DECIDED as stream by review. The evidence that raised it is settled; change it here to revisit.,"Delaware River at Penn's Landing, Philadelphia, PA",stream,human_review,,reviewed,ArtificialPath,StreamRiver,1.0,277.54
5,USGS:01474500,stream,isaac,,DECIDED as stream by review. The evidence that raised it is settled; change it here to revisit.,"Schuylkill River at Philadelphia, PA",stream,human_review,,reviewed,ArtificialPath,StreamRiver,1.0,91.49
6,USGS:01477050,stream,isaac,"this one looks weird, like it's capped at 5 mg/L",DECIDED as stream by review. The evidence that raised it is settled; change it here to revisit.,DELAWARE RIVER AT CHESTER PA,stream,human_review,,reviewed,ArtificialPath,StreamRiver,1.0,652.79
7,USGS:01491000,stream,isaac,,DECIDED as stream by review. The evidence that raised it is settled; change it here to revisit.,"CHOPTANK RIVER NEAR GREENSBORO, MD",stream,human_review,,reviewed,StreamRiver, ,1.0,37.23
8,USGS:01576003,stream,isaac,,DECIDED as stream by review. The evidence that raised it is settled; change it here to revisit.,"Susquehanna River at Columbia, PA",stream,human_review,,reviewed,ArtificialPath,LakePond,0.0,92.52
9,USGS:01579550,stream,isaac,,DECIDED as stream by review. The evidence that raised it is settled; change it here to revisit.,"SUSQUEHANNA RIVER NEAR DARLINGTON, MD",stream,human_review,,reviewed,ArtificialPath,StreamRiver,1.0,475.51
10,USGS:01594441,stream,isaac,,DECIDED as stream by review. The evidence that raised it is settled; change it here to revisit.,Patuxent R at Gov Bridge Natural Area nr Bowie MD,stream,human_review,,reviewed,StreamRiver, ,1.0,4.2
11,USGS:04182867,stream,isaac,,DECIDED as stream by review. The evidence that raised it is settled; change it here to revisit.,"MAUMEE RIVER AT TECUMSEH STREET AT FORT WAYNE, IN",stream,human_review,,reviewed,ArtificialPath,LakePond,0.0,8.8
12,USGS:07374000,stream,isaac,,DECIDED as stream by review. The evidence that raised it is settled; change it here to revisit.,"Mississippi River at Baton Rouge, LA",stream,human_review,,reviewed,ArtificialPath,StreamRiver,1.0,431.46
13,USGS:07381600,stream,isaac,,DECIDED as stream by review. The evidence that raised it is settled; change it here to revisit.,"Lower Atchafalaya River at Morgan City, LA",stream,human_review,,reviewed,ArtificialPath,StreamRiver,1.0,50.76
14,USGS:300138090064700,estuary,isaac,salt water estuary,DECIDED as estuary by review. The evidence that raised it is settled; change it here to revisit.,"New Canal Lighthouse at New Orleans, LA",estuary,human_review,,reviewed,ArtificialPath, ,1.0,1562.88
15,USGS:384637075153201,well,isaac,,DECIDED as well by review. The evidence that raised it is settled; change it here to revisit.,Ng45-02,well,human_review,,reviewed,StreamRiver, ,1.0,84.3
16,USGS:411955088280601,stream,isaac,,DECIDED as stream by review. The evidence that raised it is settled; change it here to revisit.,"HANSON GRAVEL PIT AT CULVERT NEAR MORRIS, IL",stream,human_review,,reviewed,StreamRiver, ,0.0,193.93
,IWQIS:WQS0116,lake,isaac,,DECIDED as lake by review. The evidence that raised it is settled; change it here to revisit.,Iowa Great Lakes 1 at Spirit Lake (116IGL1),lake,human_review,,reviewed,ArtificialPath,LakePond,0.0,60.88
,USGS:03318000,stream,isaac,,DECIDED as stream by review. The evidence that raised it is settled; change it here to revisit.,"ROUGH RIVER NEAR FALLS OF ROUGH, KY",stream,human_review,,reviewed,ArtificialPath,LakePond,0.0,106.33
,USGS:04182830,stream,isaac,,DECIDED as stream by review. The evidence that raised it is settled; change it here to revisit.,"MAUMEE RIVER AT COLUMBIA ST AT FORT WAYNE, IN",stream,human_review,,reviewed,ArtificialPath,LakePond,0.0,19.13
,USGS:04182900,stream,isaac,,DECIDED as stream by review. The evidence that raised it is settled; change it here to revisit.,"MAUMEE RIVER AT FORT WAYNE, IN",stream,human_review,,reviewed,ArtificialPath,LakePond,0.0,50.86
,USGS:05560000,stream,isaac,,DECIDED as stream by review. The evidence that raised it is settled; change it here to revisit.,"ILLINOIS RIVER AT PEORIA, IL",stream,human_review,,reviewed,StreamRiver, ,0.0,229.05
,USGS:073802305,stream,isaac,,DECIDED as stream by review. The evidence that raised it is settled; change it here to revisit.,"(COE) Lake Pontchartrain at Frenier, LA",stream,human_review,,reviewed,StreamRiver, ,1.0,662.26
,USGS:3004510895507,atmosphere,isaac,,DECIDED as atmosphere by review. The evidence that raised it is settled; change it here to revisit.,"I-10 Drainge Canal near Little Woods, LA",atmosphere,human_review,,reviewed,ArtificialPath, ,1.0,27.52
,USGS:300830089515000,stream,isaac,,DECIDED as stream by review. The evidence that raised it is settled; change it here to revisit.,"Little Irish Bayou at Hwy 11 near Slidell, LA",stream,human_review,,reviewed,ArtificialPath, ,1.0,56.86
