Basin,site_uid,decision,decided_by,note,auto_method,reason,station_name,site_type,selection_mode,basin0_km2,basin1_km2,basin2_km2,basin3_km2,n_corroborations,corroborated_by,vaa_totda_km2,reach_name,reach_da_km2,alt_name,alt_da_km2,alt_dist_m,snap_dist_m,comid_agree
1,IWQIS:WQP0001,,,,basin1,d8_disagrees,Walnut Creek at Prairie City,stream,auto,,5.117202294066171,5.117202294066171,2.4101154370374274,0,,5.1147, ,5.1147, ,1.0152,1326.2225943459343,12.15,True
2,IWQIS:WQP0003,,,,basin1,"d8_disagrees, not_contained",Blind Inlet at Keota (3BIKC),blind_inlet,auto,,1.9457863532497108,15.526282962563187,0.6454317674887861,0,,1.9476, ,1.9476, ,2.9745,1388.6887016012088,817.97,False
3,IWQIS:WQP0004,,,,basin1,d8_disagrees,Blind Inlet at Walcott (4BISC),blind_inlet,auto,,4.928450664185293,4.928450664185293,2.410086841902276,0,,4.9284, ,4.9284, ,0.9603,1415.8992424795065,363.49,True
4,IWQIS:WQP0009,,,,basin1,d8_disagrees,Alleman Creek at Alleman (Saturated Buffer 2),saturated_buffer,auto,,22.106499229706113,22.106499229706113,7.686037172603829,0,,22.1166,Alleman Creek,22.1166, ,7.2351,748.3926004581023,18.37,True
5,IWQIS:WQS0021,,,,basin1,d8_disagrees,Rapid Creek at Iowa City (21RCIC1),stream,auto,,15.638728338369225,15.638728338369225,35.128436709413606,0,,15.6366, ,15.6366, ,1.539,1144.5906459360137,18.67,True
6,IWQIS:WQS0022,,,,basin1,d8_disagrees,Rapid Creek at Iowa City (22RCIC2),stream,auto,,7.926665882616142,7.926665882616142,16.677344204804513,0,,7.9218, ,7.9218, ,1.5399,1541.6028779684034,28.83,True
7,IWQIS:WQS0026,,,,basin1,d8_disagrees,Catfish Creek at Dubuque (26CFCD2),stream,auto,,34.958674304049076,34.958674304049076,13.633228617894863,0,,34.9614,Middle Fork Catfish Creek,34.9614, ,0.8883,1700.6867137054403,13.74,True
8,IWQIS:WQS0047,,,,basin1,d8_disagrees,Walnut Creek at Prairie City (47ARSWC2),stream,auto,,19.13818517645751,19.13818517645751,9.803859894824559,0,,19.1394,Walnut Creek,19.1394, ,1.1502,1517.7796650793027,4.2,True
9,IWQIS:WQS0052,,,,basin1,not_contained,McLoud Run at Cedar Rapids (52MRCR),stream,auto,,70.37789624390808,16830.480884220153,60.27649842053488,1,basin3,70.3809,Dry Creek,70.3809,,,,1993.44,False
10,IWQIS:WQS0053,,,,basin1,d8_disagrees,Walnut Creek at Kelley (53ARSWC3),stream,auto,,20.00545934248572,20.00545934248572,12.787581056668914,0,,20.0061,Walnut Creek,20.0061, ,2.2779,437.0558428271162,11.94,True
11,IWQIS:WQS0054,,,,basin1,d8_disagrees,"Drainage tile, Walnut Creek at Ames (54ARSWC3T)",tile_outlet,auto,,16.65251172555781,16.65251172555781,5.593752724420194,0,,16.6518,Walnut Creek,16.6518, ,13.1751,2914.2529466049527,631.47,True
12,IWQIS:WQS0058,,,,basin1,d8_disagrees,"Willow Creek at Kellogg (Willow Creek near Kellogg, IA)",stream,auto,,1.4322525684621308,1.4322525684621308,0.6422031218558444,0,,1.4301, ,1.4301, ,1.1673,1388.9716815953195,19.06,True
13,IWQIS:WQS0059,,,,basin1,d8_disagrees,"Perry Pond at Kellogg (Perry Pond near Kellogg, IA)",pond,auto,,3.0320507771284237,3.0320507771284237,1.4449367936502084,0,,3.0339, ,3.0339, ,1.1673,2093.9749320776396,11.56,True
14,IWQIS:WQS0061,,,,basin1,not_contained,Soldier River at Pisgah (61SRP),stream,auto,,1057.3845522492702,15.57974458676981,1047.7109888401774,1,basin3,1057.3884,Soldier River,1057.3884, ,2.2167,1390.4902357077183,4.75,False
15,IWQIS:WQS0065,,,,basin1,not_contained,Little Sioux River at Little Sioux (65LSRLS),stream,auto,,9220.461466465986,765616.5559450187,11476.607484349546,1,basin3,9220.4631,Little Sioux River,9220.4631,Monona Harrison Ditch,2358.8073,1834.0166725276906,37.39,False
16,IWQIS:WQS0066,,,,basin1,"d8_disagrees, not_contained",Monona-Harrison Ditch at Little Sioux (66MHDLS),ditch,auto,,2358.8515079679914,763230.9001088421,11477.729065045653,0,,2358.8073,Monona Harrison Ditch,2358.8073,Monona Harrison Ditch,2358.8073,80.29098830569409,4.2,False
17,IWQIS:WQS0076,,,,basin1,d8_disagrees,Drainage Ditch at Coralville (76CDD),ditch,auto,,3.8044427856542957,3.8044427856542957,2.408635554468547,0,,3.8034, ,3.8034, ,1.5813,1128.9080859211788,17.2,True
18,IWQIS:WQS0077,,,,basin1,d8_disagrees,"Effluent, Wastewater Treatment Plant at Iowa City (77ICWWTP)",stream,auto,,5.16696338649482,5.16696338649482,10.129422563431497,0,,5.1687, ,5.1687, ,1.2006,1869.0017623955202,256.16,True
19,IWQIS:WQS0086,,,,basin1,d8_disagrees,South Raccoon River at Redfield (86SRRR),stream,auto,,11.575577035919403,11.575577035919403,5.78508159861196,0,,11.5785, ,11.5785, ,0.7974,1260.6685983447182,24.56,True
20,IWQIS:WQS0091,,,,basin1,d8_disagrees,Waterloo Creek at Dorchester (91WCD),stream,auto,,123.92308904136259,123.92308904136259,299.7344363751609,0,,123.9183,Waterloo Creek,123.9183, ,2.6919,1205.6998755477703,29.86,True
21,IWQIS:WQS0094,,,,basin1,d8_disagrees,Mud Creek at Bondurant (WQS 94MCB),stream,auto,,22.41661698036483,22.41661698036483,8.026860252488051,0,,22.4172,Mud Creek,22.4172, ,1.6101,499.9910417550079,13.67,True
22,IWQIS:WQS0101,,,,basin1,d8_disagrees,Mud Creek at Benton County (101MCBC1),stream,auto,,5.472571223866282,5.472571223866282,3.031453434557162,0,,5.4729, ,5.4729, ,1.3059,637.3009394846326,7.02,True
23,IWQIS:WQS0109,,,,basin1,d8_disagrees,Johnson County Poor Farm at Iowa City (109JCPF),stream,auto,,4.013528675250217,4.013528675250217,1.4455484835307517,0,,4.0158, ,4.0158, ,1.5426,592.0860380181078,169.29,True
24,IWQIS:WQS0113,,,,basin1,d8_disagrees,Decorah Fish Hatchery at Decorah (113DFH),stream,auto,,0.040459570021670374,0.040459570021670374,0.15657733561385737,0,,0.0414, ,0.0414, ,0.7794,160.46583323761652,64.85,True
25,IWQIS:WQS0114,,,,basin1,d8_disagrees,Bloody Run Creek Headwaters at Monona (WQS 114BRCH),stream,auto,,14.065623284915636,14.065623284915636,6.916050743247105,0,,14.0598,Bloody Run,14.0598, ,1.6407,1379.0390481077657,4.11,True
26,MPCA:15031001,,,,basin1,d8_disagrees,"Little Rock Creek nr Rice, CSAH12",stream,auto,,179.2503885106528,179.2503885106528,246.89020402054598,0,,179.2611,Little Rock Creek,179.2611,,,,15.41,True
27,MPCA:28063001,,,,basin1,d8_disagrees,"Seven Mile Creek nr St. Peter, 0.3mi us of US169",stream,auto,,94.14784566843785,94.14784566843785,44.35236662348182,0,,94.1562,Sevenmile Creek,94.1562, ,4.7295,391.03429794096263,30.93,True
28,MPCA:32073001,,,,basin1,d8_disagrees,"Little Beauford Ditch nr Beauford, MN22",ditch,auto,,22.030218810397297,22.030218810397297,8.350391287145225,0,,22.0275, ,22.0275,Cobb River,719.1342,2014.6656085308725,2.77,True
29,USGS:01081000,,,,basin0,"area_vs_vaa, basin0_disagrees","WINNIPESAUKEE RIVER AT TILTON, NH",stream,auto,1217.7995506386374,252.01673689826194,252.01673689826194,,0,,1218.5316,Winnipesaukee River,1218.5316, ,1.7028,481.62898374362516,13.49,True
30,USGS:01081500,,,,basin0,"area_vs_vaa, basin0_disagrees","MERRIMACK RIVER AT FRANKLIN JUNCTION, NH",stream,auto,3911.091079412391,497.23200378062865,497.23200378062865,,0,,3911.0868,Merrimack River,3911.0868, ,2.0295,157.58703062214835,63.08,True
31,USGS:01088400,,,,basin0,"area_vs_vaa, basin0_disagrees","MERRIMACK RIVER AT CONCORD, NH",stream,auto,6181.935103005332,2768.4234919800397,2768.4234919800397,,0,,6182.2845,Merrimack River,6182.2845, ,0.0279,1409.5107321462688,0.53,True
