site_uid,n_samples,lifespan_yr,mean,std,vmax,pct_out,ac1,noise,spike_rate,flatline_frac,longest_flat_days,seg_noise,seg_flat,n_scrubbed,seasonal_strength,seasonal_coherence,range_violation,dead_autocorr,extreme_noise,noisy,scale_outlier,flatline_heavy,seg_bad,aseasonal,score,flagged,signals,station_name,n_nitrate_days
MPCA:41043001,132760,5.287,114.991,311.468,999.99,0.0,0.9998,0.0175,0.008,11.49,97.96,0.4627,4.7025,0,0.4266189481255924,0.9321887136420238,False,False,False,False,True,False,True,False,37.04,True,"scale_outlier, seg_bad","Zumbro River at Kellogg, US61",1404
IWQIS:WQS0063,471787,9.018,6.035,3.566,25.97,0.0,0.9978,0.0662,0.108,3.45,34.01,1.0358,4.5065,0,0.038134920654121385,-0.012156292003547208,False,False,False,False,False,False,True,True,33.91,True,"seg_bad, aseasonal",Yellow River at Ion,1872
IWQIS:WQS0044,308938,9.625,4.609,2.477,28.84,0.0,0.9742,0.2273,0.865,6.2,22.77,1.491,3.2645,0,0.028891031319736027,0.18419953977410897,False,False,False,True,False,False,True,True,29.89,True,"noisy, seg_bad, aseasonal",East Nishnabotna River at Riverton,1188
IWQIS:WQS0008,439551,10.467,5.331,5.335,32.74,0.0,0.9979,0.0655,0.207,6.34,24.94,1.4203,3.5915,0,0.0120859093132476,0.016614786735854727,False,False,False,False,False,False,True,True,28.47,True,"seg_bad, aseasonal",Slough Creek at Orchard,1790
USGS:06796500,195160,10.347,0.752,0.514,5.42,0.0,0.9968,0.0802,0.0,62.83,50.48,1.4152,2.419,0,0.09824246151865035,0.5153599181873322,False,False,False,False,False,True,True,False,26.67,True,"flatline_heavy, seg_bad","Platte River near Leshara, Nebr.",2124
USGS:03340900,36649,1.046,1.635,1.218,4.67,0.0,0.9995,0.0309,0.0,71.45,50.8,0.8374,2.4365,0,0.6858560989482704,0.28415287645356974,False,False,False,False,False,True,True,False,24.91,True,"flatline_heavy, seg_bad","BIG RACCOON CREEK AT FERNDALE, IN",383
IWQIS:WQS0024,749916,15.305,10.135,7.435,32.5,0.0,0.9999,0.0142,0.021,6.78,23.12,0.6377,3.283,0,0.13004804979375306,-0.22960979128847445,False,False,False,False,False,False,True,False,23.82,True,seg_bad,South Fork Iowa River at New Providence,2968
USGS:06801000,103561,3.351,2.156,1.114,6.37,0.0,0.9994,0.0354,0.0,15.69,62.2,0.3041,2.9855,0,0.376467640783131,0.6060220461746004,False,False,False,False,False,False,True,False,21.56,True,seg_bad,"Platte River near Ashland, Nebr.",1130
USGS:06800500,192861,10.347,3.072,1.739,11.3,0.0,0.9989,0.0459,0.002,14.84,51.99,0.3495,2.492,0,0.09228515735965115,0.7332366174114451,False,False,False,False,False,False,True,False,18.51,True,seg_bad,"Elkhorn River at Waterloo, Nebr.",2165
USGS:06476000,111383,5.321,0.547,0.276,5.5,0.0,0.9958,0.0913,0.0,84.29,19.11,1.1567,0.918,0,0.12067780062873801,0.10219789312067759,False,False,False,False,False,True,True,False,18.01,True,"flatline_heavy, seg_bad","JAMES RIVER AT HURON, SD",1176
USGS:06481000,107167,6.279,1.359,1.023,6.5,0.0,0.9995,0.031,0.0,75.76,27.01,0.4403,1.297,0,0.11095472262642592,0.4700498342758859,False,False,False,False,False,True,True,False,17.32,True,"flatline_heavy, seg_bad","BIG SIOUX RIVER NEAR DELL RAPIDS, SD",1136
IWQIS:WQS0111,320989,4.881,6.295,2.557,25.97,0.0,0.9963,0.0862,0.03,3.32,14.14,1.2515,2.034,0,0.08172404900361652,0.08351951133371917,False,False,False,False,False,False,True,False,17.12,True,seg_bad,Bloody Run Creek at Marquette,1402
USGS:03336890,346948,13.218,4.216,3.723,27.2,0.0,0.9998,0.0194,0.005,29.32,40.93,1.0337,1.965,483,0.45742211835982394,0.02065218684634243,False,False,False,False,False,False,True,False,16.89,True,seg_bad,"SPOON RIVER NEAR ST. JOSEPH, IL",3655
IWQIS:WQS0032,817746,16.059,6.031,5.106,25.97,0.0,0.9994,0.0354,0.014,6.33,14.46,1.4128,2.0825,0,0.13194328045078307,-0.1849171914169997,False,False,False,False,False,False,True,False,16.73,True,seg_bad,Middle Raccoon River at Panora,4008
