Gauge,site_uid,decision,decided_by,note,signals,score,station_name,n_samples,lifespan_yr,n_nitrate_days,mean,std,ac1,noise,spike_rate,flatline_frac,longest_flat_days,seg_noise,seg_flat,seasonal_coherence,n_scrubbed
1,MPCA:41043001,,,,"scale_outlier, seg_bad",37.04,"Zumbro River at Kellogg, US61",132760,5.287,1404,114.991,311.468,0.9998,0.0175,0.008,11.49,97.96,0.4627,4.7025,0.9321887136420238,0
2,IWQIS:WQS0063,,,,"seg_bad, aseasonal",33.91,Yellow River at Ion,471787,9.018,1872,6.035,3.566,0.9978,0.0662,0.108,3.45,34.01,1.0358,4.5065,-0.012156292003547208,0
3,IWQIS:WQS0044,,,,"noisy, seg_bad, aseasonal",29.89,East Nishnabotna River at Riverton,308938,9.625,1188,4.609,2.477,0.9742,0.2273,0.865,6.2,22.77,1.491,3.2645,0.18419953977410897,0
4,IWQIS:WQS0008,,,,"seg_bad, aseasonal",28.47,Slough Creek at Orchard,439551,10.467,1790,5.331,5.335,0.9979,0.0655,0.207,6.34,24.94,1.4203,3.5915,0.016614786735854727,0
5,USGS:06796500,,,,"flatline_heavy, seg_bad",26.67,"Platte River near Leshara, Nebr.",195160,10.347,2124,0.752,0.514,0.9968,0.0802,0.0,62.83,50.48,1.4152,2.419,0.5153599181873322,0
6,USGS:03340900,,,,"flatline_heavy, seg_bad",24.91,"BIG RACCOON CREEK AT FERNDALE, IN",36649,1.046,383,1.635,1.218,0.9995,0.0309,0.0,71.45,50.8,0.8374,2.4365,0.28415287645356974,0
7,IWQIS:WQS0024,,,,seg_bad,23.82,South Fork Iowa River at New Providence,749916,15.305,2968,10.135,7.435,0.9999,0.0142,0.021,6.78,23.12,0.6377,3.283,-0.22960979128847445,0
8,USGS:06801000,,,,seg_bad,21.56,"Platte River near Ashland, Nebr.",103561,3.351,1130,2.156,1.114,0.9994,0.0354,0.0,15.69,62.2,0.3041,2.9855,0.6060220461746004,0
9,USGS:06800500,,,,seg_bad,18.51,"Elkhorn River at Waterloo, Nebr.",192861,10.347,2165,3.072,1.739,0.9989,0.0459,0.002,14.84,51.99,0.3495,2.492,0.7332366174114451,0
10,USGS:06476000,,,,"flatline_heavy, seg_bad",18.01,"JAMES RIVER AT HURON, SD",111383,5.321,1176,0.547,0.276,0.9958,0.0913,0.0,84.29,19.11,1.1567,0.918,0.10219789312067759,0
11,USGS:06481000,,,,"flatline_heavy, seg_bad",17.32,"BIG SIOUX RIVER NEAR DELL RAPIDS, SD",107167,6.279,1136,1.359,1.023,0.9995,0.031,0.0,75.76,27.01,0.4403,1.297,0.4700498342758859,0
12,IWQIS:WQS0111,,,,seg_bad,17.12,Bloody Run Creek at Marquette,320989,4.881,1402,6.295,2.557,0.9963,0.0862,0.03,3.32,14.14,1.2515,2.034,0.08351951133371917,0
13,USGS:03336890,,,,seg_bad,16.89,"SPOON RIVER NEAR ST. JOSEPH, IL",346948,13.218,3655,4.216,3.723,0.9998,0.0194,0.005,29.32,40.93,1.0337,1.965,0.02065218684634243,483
14,IWQIS:WQS0032,,,,seg_bad,16.73,Middle Raccoon River at Panora,817746,16.059,4008,6.031,5.106,0.9994,0.0354,0.014,6.33,14.46,1.4128,2.0825,-0.1849171914169997,0
15,USGS:03230427,,,,"flatline_heavy, seg_bad",16.56,Clover Groff Ditch below Alton OH,92911,3.313,990,0.448,0.386,0.9977,0.0675,0.0,78.54,24.09,0.465,1.156,0.14041250834922725,0
