Row,members,decision,decided_by,note,site_id,station_name,auto_method,selection_mode,flagged,basin_km2,basin0_km2,basin1_km2,basin2_km2,basin3_km2,vaa_totda_km2,dist_to_basin_km,n_corroborations,corroborated_by,flag_area_vs_vaa,flag_basin0_disagrees,flag_d8_disagrees,flag_not_contained,flag_oversized,flag_river_capture,reach_name,alt_name,alt_da_km2,alt_dist_m
1,MPCA:32073001,,,,S10595950-03977,"Little Beauford Ditch nr Beauford, MN22",basin1,auto,True,22.030199848927424,,22.030199848927424,22.030199848927424,8.350383548772795,22.0275,0.0,0,,False,False,True,False,False,False, ,Cobb River,719.1342,2014.6694951691388
2,IWQIS:WQS0047,,,,S22248959-00126,Walnut Creek at Prairie City (47ARSWC2),basin1,auto,True,19.138030760195107,,19.138030760195107,19.138030760195107,9.803782100411853,19.1394,0.0,0,,False,False,True,False,False,False,Walnut Creek, ,1.1502,1517.778624496034
3,IWQIS:WQS0101,,,,S22476413-00675,Mud Creek at Benton County (101MCBC1),basin1,auto,True,5.47261339417415,,5.47261339417415,5.47261339417415,3.0314767548707877,5.4729,0.0,0,,False,False,True,False,False,False, , ,1.3059,637.3033767751923
4,MPCA:20113002,,,,S1104206-00865,"Mississippi River at Minneapolis, 3rd Ave SE",basin1,auto,False,50508.234993720085,,50508.234993720085,50508.234993720085,51024.36437190652,50508.2763,0.0,1,basin3,False,False,False,False,False,False,Mississippi River,Bassett Creek,109.8378,911.2246889000756
5,IWQIS:WQS0115,,,,S4995471-01297,Des Moines River at Ottumwa (115OWW),basin1,auto,False,34597.33509044021,,34597.33509044021,34597.33509044021,34888.46048544639,34597.3554,0.0,1,basin3,False,False,False,False,False,False,Des Moines River,Harrows Branch,4.5603,1911.9163684698187
6,IWQIS:WQS0023,,,,S14796117-00327,Wapsipinicon River at De Witt (23WRDW),basin1,auto,False,6091.117558428854,,6091.117558428854,9.376262265016786,6062.215793223551,6091.1082,0.0,1,basin3,False,False,False,False,False,False,Wapsipinicon River, ,1.4355,1093.084716958522
7,MPCA:41043001,,,,S2442556-00068,"Zumbro River at Kellogg, US61",basin1,auto,False,3677.8898558577425,,3677.8898558577425,3677.8898558577425,3724.233837055757,3677.8914,0.0,1,basin3,False,False,False,False,False,False,Zumbro River, ,2.385,1506.9923715624325
8,IWQIS:WQS0069,,,,S6950888-00675,Wapsipinicon River at Central City (69WRCC),basin1,auto,False,3319.907816326915,,3319.907816326915,3319.907816326915,3330.9274023362746,3319.911,0.0,1,basin3,False,False,False,False,False,False,Wapsipinicon River, ,3.7917,714.4532406501181
9,MPCA:19001001,,,,S2349256-01765,"South Fork Crow River at Delano, Bridge Ave",basin1,auto,False,3295.687120298595,,3295.687120298595,3295.687120298595,3528.3975174495963,3295.6749,0.0,1,basin3,False,False,False,False,False,False,South Fork Crow River, ,1.9656,1604.5512522142128
10,IWQIS:WQS0081,,,,S6603910-01440,Boone River at Webster City (81BRWC),basin1,auto,False,2187.429845388773,,2187.429845388773,2187.429845388773,2151.8782173510403,2187.414,0.0,1,basin3,False,False,False,False,False,False,Boone River, ,2.1294,1354.7107607972018
