Row,source,snapshot_pair,diff_id,decision,decided_by,note,class
1,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk0.csv,accept,,,removed
2,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk1.csv,accept,,,removed
3,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk10.csv,accept,,,removed
4,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk11.csv,accept,,,removed
5,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk12.csv,accept,,,removed
6,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk13.csv,accept,,,removed
7,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk14.csv,accept,,,removed
8,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk15.csv,accept,,,removed
9,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk16.csv,accept,,,removed
10,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk17.csv,accept,,,removed
11,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk18.csv,accept,,,removed
12,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk19.csv,accept,,,removed
13,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk2.csv,accept,,,removed
14,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk20.csv,accept,,,removed
15,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk21.csv,accept,,,removed
16,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk22.csv,accept,,,removed
17,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk23.csv,accept,,,removed
18,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk24.csv,accept,,,removed
19,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk25.csv,accept,,,removed
20,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk26.csv,accept,,,removed
21,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk27.csv,accept,,,removed
22,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk28.csv,accept,,,removed
23,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk29.csv,accept,,,removed
24,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk3.csv,accept,,,removed
25,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk30.csv,accept,,,removed
26,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk31.csv,accept,,,removed
27,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk32.csv,accept,,,removed
28,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk33.csv,accept,,,removed
29,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk34.csv,accept,,,removed
30,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk35.csv,accept,,,removed
31,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk36.csv,accept,,,removed
32,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk37.csv,accept,,,removed
33,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk38.csv,accept,,,removed
34,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk39.csv,accept,,,removed
35,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk4.csv,accept,,,removed
36,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk40.csv,accept,,,removed
37,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk41.csv,accept,,,removed
38,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk42.csv,accept,,,removed
39,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk43.csv,accept,,,removed
40,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk44.csv,accept,,,removed
41,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk45.csv,accept,,,removed
42,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk46.csv,accept,,,removed
43,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk47.csv,accept,,,removed
44,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk48.csv,accept,,,removed
45,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk49.csv,accept,,,removed
46,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk5.csv,accept,,,removed
47,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk50.csv,accept,,,removed
48,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk51.csv,accept,,,removed
49,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk52.csv,accept,,,removed
50,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk53.csv,accept,,,removed
51,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk54.csv,accept,,,removed
52,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk55.csv,accept,,,removed
53,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk56.csv,accept,,,removed
54,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk57.csv,accept,,,removed
55,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk58.csv,accept,,,removed
56,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk59.csv,accept,,,removed
57,water,snap-20260824..snap-20260824a,raw/water/chunks/iwqis_alldata_chunk6.csv,accept,,,removed
