Row,members,decision,decided_by,note,n_members,canonical_uid,rule,comid,nitrate_days_by_member,channels,station_names
1,IWQIS:WQS0079+USGS:06810000,,,,2,USGS:06810000,complementary,659674,IWQIS:WQS0079:0; USGS:06810000:0,discharge+gage_height+turbidity_unknown+water_temp,"Nishnabotna River at Hamburg (79NR | Nishnabotna River above Hamburg, I"
2,IWQIS:WQS0093+USGS:05481950,,,,2,USGS:05481950,complementary,6597304,IWQIS:WQS0093:0; USGS:05481950:0,discharge+turbidity_unknown+water_temp,"Beaver Creek at Johnston (93BCJ) | Beaver Creek near Grimes, IA"
3,IWQIS:WQS0096+USGS:05485605,,,,2,USGS:05485605,complementary,22248777,IWQIS:WQS0096:0; USGS:05485605:0,discharge+turbidity_unknown+water_temp,"Fourmile Creek at Ankeny (96FCA) | Fourmile Creek near Ankeny, IA DS1"
4,IWQIS:WQS0100+USGS:05484800,,,,2,USGS:05484800,complementary,6609844,IWQIS:WQS0100:0; USGS:05484800:0,discharge+turbidity_unknown+water_temp,"Walnut Creek at Des Moines (100WCD | Walnut Creek at Des Moines, IA"
5,USGS:0135749950+USGS:01357500,,,,2,USGS:01357500,dual_registration,22751957,USGS:0135749950:0; USGS:01357500:0,discharge+diss_oxy+fchl+fdom+fpc+gage_height+ph+spec_cond+turbidity_fnu+water_temp,MOHAWK RIVER DIVERSION TO POWER PL | MOHAWK RIVER AT COHOES NY
6,USGS:01359133+USGS:01359135,,,,2,USGS:01359135,distinct,6186206,USGS:01359133:0; USGS:01359135:0,discharge,PATROON CR AT NORTHERN BLVD AT ALB | PATROON CREEK AT ALBANY NY
7,USGS:01362192+USGS:0136219503,,,,2,USGS:0136219503,sequential,6189668,USGS:01362192:0; USGS:0136219503:0,discharge+gage_height+turbidity_fnu+water_temp,PANTHER MTN TRIB TO ESOPUS CR NR O | ESOPUS CREEK BELOW LOST CLOVE RD A
8,USGS:01362350+USGS:01362352,,,,2,USGS:01362350,distinct,6189746,USGS:01362350:0; USGS:01362352:0,turbidity_fnu,STONY CLOVE CREEK AT CHICHESTER NY | STONY CLOVE CR ABV WARNER CR AT CH
9,USGS:01362354+USGS:0136235585+USGS:01362357+USGS:01362358,,,,4,USGS:01362357,sequential,6189748,USGS:01362354:0; USGS:0136235585:0; USGS:01362357:0; USGS:01362358:0,discharge+gage_height+turbidity_fnu,WARNER CR BLW SILVER HOLLOW NOTCH  | WARNER CREEK IN SILVER HOLLOW NEAR | WARNER CREEK NEAR CHICHESTER NY | WARNER CREEK AT CHICHESTER NY
10,USGS:01362465+USGS:01362487,,,,2,USGS:01362487,sequential,6189750,USGS:01362465:0; USGS:01362487:0,discharge+gage_height+turbidity_fnu,BEAVER KILL TRIBUTARY ABOVE LAKE H | BEAVER KILL AT MOUNT TREMPER NY
11,USGS:01407639+USGS:401330074001201+USGS:401347074003501+USGS:401349074000601+USGS:401350073595201+USGS:401352074002701,,,,6,USGS:401330074001201,distinct+sequential,6261966,USGS:01407639:0; USGS:401330074001201:0; USGS:401347074003501:0; USGS:401349074000601:0; USGS:401350073595201:0; USGS:401352074002701:0,diss_oxy+ph+spec_cond+turbidity_fnu+water_temp,Harvey Brook US Corlies Av at Alle | Sunset Lake east of Heck St at Asb | Deal lake at Railroad Bridge at As | Deal lake DS of Park Ave at Asbury | Deal Lake at Flume House at Asbury | Deal Lake 150 ft east of Main St a
12,USGS:01460378+USGS:01460380,,,,2,USGS:01460380,complementary,2590249,USGS:01460378:0; USGS:01460380:0,discharge+water_temp,D&R Ca feeder US of gate at Washin | Del and Rar Ca feeder at Washingto
13,USGS:0205491522+USGS:0205492550,,,,2,USGS:0205491522,sequential,8625065,USGS:0205491522:0; USGS:0205492550:0,ph+spec_cond+turbidity_fnu+water_temp,ROANOKE RIVER AT BRIDGE STREET BR  | ROANOKE RIVER AT MEMORIAL AVE BR A
14,USGS:02074556+USGS:02074557,,,,2,USGS:02074557,dual_registration,8672141,USGS:02074556:0; USGS:02074557:0,diss_oxy+gage_height+ph+spec_cond+turbidity_fnu+water_temp,SANDY CREEK ABOVE NEAR MOUNT HERMA | SANDY CREEK BELOW NEAR MOUNT HERMA
15,USGS:02076295+USGS:02076296,,,,2,USGS:02076296,dual_registration,8712619,USGS:02076295:0; USGS:02076296:0,diss_oxy+gage_height+ph+spec_cond+turbidity_fnu+water_temp,WHITE OAK CREEK ABOVE NEAR CHATHAM | WHITE OAK CREEK BELOW NEAR CHATHAM
16,USGS:0207635082+USGS:0207635085,,,,2,USGS:0207635085,dual_registration,8712295,USGS:0207635082:0; USGS:0207635085:0,diss_oxy+gage_height+ph+spec_cond+turbidity_fnu+water_temp,CHERRYSTONE CK ABOVE NR CO RD 1444 | CHERRYSTONE CK BELOW NR CO RD 1444
17,USGS:02485600+USGS:02485601,,,,2,USGS:02485600,complementary,15758240,USGS:02485600:0; USGS:02485601:0,gage_height,"ROSS BARNETT RESERVOIR NR JACKSON, | PEARL RIVER AT ROSS BARNETT RESERV"
18,USGS:03039040+USGS:03039041,,,,2,USGS:03039041,sequential,11049952,USGS:03039040:0; USGS:03039041:0,diss_oxy+gage_height+spec_cond+water_temp,Allegheny River at Lock & Dam 5 ne | Allegheny River bl Lock & Dam 5 ne
19,USGS:03063000+USGS:394337079544201,,,,2,USGS:394337079544201,complementary,3768822,USGS:03063000:0; USGS:394337079544201:0,gage_height+ph+spec_cond+water_temp,"Monongahela R L&D8 (Lower Pool) @  | Monongahela R at Lock & Dam 8, at "
20,USGS:03071590+USGS:03071600,,,,2,USGS:03071600,complementary,3773975,USGS:03071590:0; USGS:03071600:0,diss_oxy+gage_height+ph+spec_cond+water_temp,"CHEAT LAKE NEAR STEWARTSTOWN, WV | CHEAT RIVER AT LAKE LYNN, PA"
21,USGS:03072655+USGS:03072656,,,,2,USGS:03072656,sequential,3788105,USGS:03072655:0; USGS:03072656:0,discharge+gage_height,"Monongahela River near Masontown,  | Monongahela River (lower pool) nea"
22,USGS:03146402+USGS:03146405,,,,2,USGS:03146402,sequential,15363451,USGS:03146402:0; USGS:03146405:0,discharge+gage_height,N. Fk. Licking River at E. Main St | North Fork Licking River at Ohio S
23,USGS:03284530+USGS:03284533,,,,2,USGS:03284533,sequential,1826988,USGS:03284530:0; USGS:03284533:0,discharge+diss_oxy+gage_height+ph+spec_cond+water_temp,EAST HICKMAN CR AT DELONG RD NR EA | EAST HICKMAN CR AT TATES CR RD NR 
24,USGS:03288180+USGS:03288190+USGS:03288200,,,,3,USGS:03288190,sequential,1825494,USGS:03288180:0; USGS:03288190:0; USGS:03288200:0,discharge+diss_oxy+gage_height+ph+spec_cond+water_temp,CANE RUN CREEK AT CITATION BLVD NR | TRIB TO CANE RUN CR AT NEWTOWN PK  | CANE RUN AT BEREA ROAD NEAR DONERA
25,USGS:03311500+USGS:03311505,,,,2,USGS:03311500,sequential,4005122,USGS:03311500:0; USGS:03311505:0,water_temp,GREEN RIVER AT LOCK 6 AT BROWNSVIL | GREEN RIVER AT WATER PLANT AT BROW
26,USGS:03400798+USGS:03400800,,,,2,USGS:03400798,sequential,10190044,USGS:03400798:0; USGS:03400800:0,discharge+diss_oxy+gage_height+ph+spec_cond+water_temp,"MARTINS FORK LK AT MARTINS FK DAM  | MARTINS FORK NEAR SMITH, KY"
27,USGS:03520967+USGS:03520968,,,,2,USGS:03520967,dual_registration,14637575,USGS:03520967:0; USGS:03520968:0,ph+spec_cond+turbidity_fnu+water_temp,INDIAN CR ALONG N & W RAILROAD NR  | INDIAN CREEK ABOVE RT 631 NEAR CED
28,USGS:03520980+USGS:03520981,,,,2,USGS:03520980,dual_registration,14637577,USGS:03520980:0; USGS:03520981:0,spec_cond+turbidity_fnu+water_temp,INDIAN CREEK TRIB ALONG RT 631 NR  | INDIAN CREEK TRIBUTARY AB MOUTH NR
29,USGS:04037400+USGS:04037500,,,,2,USGS:04037500,complementary,11952111,USGS:04037400:0; USGS:04037500:0,discharge+gage_height,"CISCO LAKE NEAR WATERSMEET, MI | CISCO BRANCH ONTONAGON R AT CISCO "
30,USGS:04057811+USGS:04057812,,,,2,USGS:04057812,distinct,11959926,USGS:04057811:0; USGS:04057812:0,gage_height,"GREENWOOD RESERVOIR NEAR GREENWOOD | GREENWOOD AFTERBAY NEAR GREENWOOD,"
31,USGS:04073468+USGS:434928088553601,,,,2,USGS:04073468,complementary,6866237,USGS:04073468:0; USGS:434928088553601:0,discharge+gage_height,GREEN LAKE INLET AT CT HIGHWAY A N | GREEN LAKE AT COUNTY TRUNK HWY A N
32,USGS:04087440+USGS:05536121,,,,2,USGS:05536121,complementary,12171405,USGS:04087440:0; USGS:05536121:0,gage_height,LAKE MICHIGAN AT CHICAGO LOCK AT C | CHICAGO RIVER AT CHICAGO LOCK AT C
33,USGS:04170490+USGS:04170500,,,,2,USGS:04170500,complementary,13173829,USGS:04170490:0; USGS:04170500:0,discharge+gage_height,"KENT LAKE NEAR NEW HUDSON, MI | HURON RIVER NEAR NEW HUDSON, MI"
34,USGS:05357205+USGS:05357206,,,,2,USGS:05357206,sequential,13344872,USGS:05357205:0; USGS:05357206:0,discharge+diss_oxy+gage_height+ph+spec_cond+turbidity_fnu+water_temp,"ALLEQUASH CREEK NEAR SAYNER, WI | ALLEQUASH CREEK SITE NO. 3 NR BOUL"
35,USGS:05429485+USGS:05429500,,,,2,USGS:05429500,complementary,13293970,USGS:05429485:0; USGS:05429500:0,discharge+gage_height,"LAKE WAUBESA AT MC FARLAND, WI | YAHARA RIVER AT MC FARLAND, WI"
36,USGS:05531044+USGS:05531045,,,,2,USGS:05531045,sequential,14785333,USGS:05531044:0; USGS:05531045:0,discharge+gage_height,"SALT CREEK NEAR ELK GROVE VILLAGE, | SALT CREEK AT ELK GROVE VILLAGE, I"
37,USGS:05532600+USGS:414757087490401,,,,2,USGS:05532600,distinct,14786231,USGS:05532600:0; USGS:414757087490401:0,discharge+gage_height,"DES PLAINES RIVER AT LYONS, IL | SUMMIT CONDUIT AT SUMMIT, IL"
38,USGS:05536085+USGS:05536105,,,,2,USGS:05536105,sequential,13463903,USGS:05536085:0; USGS:05536105:0,discharge+gage_height,NB CHICAGO RIVER AT N PULASKI ROAD | NB CHICAGO RIVER AT ALBANY AVENUE 
39,USGS:055451345+USGS:423525088260400,,,,2,USGS:423525088260400,complementary,14768740,USGS:055451345:0; USGS:423525088260400:0,discharge+gage_height,"WHITE RIVER AT CENTER STREET AT LA | GENEVA LAKE AT LAKE GENEVA, WI"
40,USGS:05549500+USGS:05549501,,,,2,USGS:05549500,complementary,14771660,USGS:05549500:0; USGS:05549501:0,diss_oxy+fchl+fpc+gage_height+ph+spec_cond+turbidity_fnu+water_temp,"FOX RIVER NEAR MCHENRY, IL | FOX RIVER (TAILWATER) NEAR MCHENRY"
41,USGS:05551000+USGS:05551001,,,,2,USGS:05551000,complementary,14762931,USGS:05551000:0; USGS:05551001:0,discharge+gage_height,"FOX RIVER AT SOUTH ELGIN, IL | FOX RIVER AT SOUTH ELGIN, IL (TAIL"
42,USGS:05551580+USGS:05551581+USGS:05551582,,,,3,USGS:05551580,complementary,14763017,USGS:05551580:0; USGS:05551581:0; USGS:05551582:0,discharge+gage_height+spec_cond,"FOX RIVER AT YORKVILLE, IL | FOX RIVER TAILWATER AT YORKVILLE,  | FOX RIVER BYPASS AT YORKVILLE, IL"
43,USGS:06470590+USGS:06470595,,,,2,USGS:06470590,sequential,11468856,USGS:06470590:0; USGS:06470595:0,gage_height,"LAKE LAMOURE SOUTH OF LAMOURE, ND | COTTONWOOD CREEK BELOW LAKE LAMOUR"
44,USGS:06610685+USGS:410704095524301,,,,2,USGS:06610685,complementary,940230021,USGS:06610685:0; USGS:410704095524301:0,gage_height,Offutt Ditch (Bellevue Drain) nr O | Base Lake at Offutt AFB nr Bellevu
45,USGS:06714360+USGS:394839104570300,,,,2,USGS:394839104570300,dual_registration,229677,USGS:06714360:0; USGS:394839104570300:0,discharge,SAND CRK ABV BURLINGTON DITCH NR C | SAND CREEK AT MOUTH NR COMMERCE CI
46,USGS:06893619+USGS:06893620,,,,2,USGS:06893620,sequential,4390605,USGS:06893619:0; USGS:06893620:0,discharge+diss_oxy+gage_height+ph+spec_cond+turbidity_fnu+water_temp,Rock Creek at E Wilson Road in Ind | Rock Creek at Kentucky Road in Ind
47,USGS:07099969+USGS:07099970+USGS:07099971,,,,3,USGS:07099970,distinct,951131,USGS:07099969:0; USGS:07099970:0; USGS:07099971:0,discharge+gage_height+spec_cond+water_temp,ARKANSAS R. AT ST CHARLES MESA DIV | ARKANSAS RIVER AT MOFFAT STREET AT | ARKANSAS RIVER BELOW MOFFAT STREET
48,USGS:07311782+USGS:07311783,,,,2,USGS:07311782,complementary,13520211,USGS:07311782:0; USGS:07311783:0,discharge+spec_cond+water_temp,S Wichita Rv at Low Flow Dam nr Gu | S Wichita Rv bl Low Flow Dam nr Gu
49,USGS:07385700+USGS:07385702,,,,2,USGS:07385700,complementary,15150946,USGS:07385700:0; USGS:07385702:0,discharge+gage_height,Bayou Teche at Keystone L&D nr St. | Bayou Teche below Keystone L&D nr 
