Row,site_uid,decision,decided_by,note,question,station_name,site_type,site_type_source,site_type_conflict,ambiguity,snap_status,snap_dist_m,source
1,USGS:01104480,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","STONY BROOK RESERVOIR AT DAM NEAR WALTHAM, MA",stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,24.16,USGS
2,USGS:01124149,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?",W Thompson Lake at Old W Thompson Rd nr W Thompson,stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,80.56,USGS
3,USGS:01131500,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","CONNECTICUT RIVER NEAR DALTON, NH",stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,43.32,USGS
4,USGS:01304057,,,,"KEPT as estuary (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?",FLAX POND AT OLD FIELD NY,estuary,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,8.22,USGS
5,USGS:01576980,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","Susquehanna River at Holtwood Dam at Holtwood, PA",stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,457.89,USGS
6,USGS:01577505,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","Susquehanna River near Peach Bottom, PA",stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,7.71,USGS
7,USGS:01578310,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","SUSQUEHANNA RIVER AT CONOWINGO, MD",stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,236.03,USGS
8,USGS:03234000,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?",Paint Creek near Bourneville OH,stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,31.19,USGS
9,USGS:03426310,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","CUMBERLAND RIVER AT OLD HICKORY DAM (TW), TN",stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,70.79,USGS
10,USGS:03430320,,,,"KEPT as stream (usgs site type), but the sensor falls inside a waterbody polygon. Which is right?","CUMBERLAND RIVER AT BRILEY PKWY NR INGLEWOOD, TN",stream,usgs_site_type,nhd_waterbody,conflict_waterbody,ok,19.69,USGS
