site_uid,basin_name,basin_type,dist_to_1,dist_to_2,dist_to_3,area1,area2,area3,selection_mode,reviewed,flag_area,flag_river,flag_not_contained,flag_basin1_over_basin2
WQS0003,WQS0003_basin1.parquet,1,0.0,0.0212604355666441,0.307265369503303,165.12492016623017,157.22078670118003,157.0980318121271,manual,True,False,False,False,True
WQS0054,WQS0054_basin1.parquet,1,0.0,,0.6628517504445081,16.88411199842259,,4.156262508157746,manual,True,False,False,False,False
WQS0115,WQS0115_basin2.parquet,2,0.0,0.0,0.0,34597.91538509592,34738.9852366377,33912.8037434811,manual,True,False,False,False,True
USGS-06808500,USGS-06808500_basin2.parquet,2,0.0,0.0,0.2478496345748829,3447.4009028737196,3447.4009028737196,3409.40604528735,manual,True,False,False,False,False
WQS0035,WQS0035_basin1.parquet,1,0.0,,1.8337969453916172,133.72135167361623,,1.5880898199739288,manual,True,False,False,False,False
USGS-05464475,USGS-05464475_basin2.parquet,2,0.0,0.0,3.383738944690534,45.31867288389545,45.31867288389545,472.3198380935986,manual,True,False,False,False,False
WQS0010,WQS0010_basin2.parquet,2,0.0178619909897125,0.0636486300141401,0.1247646918176386,11165.66320529172,11212.413899078794,11204.719177988554,manual,True,False,False,True,True
WQS0081,WQS0081_basin2.parquet,2,0.0,0.0408788004896433,1.9887229776598288,2187.277185591921,2173.605793261499,2074.25794667021,manual,True,False,False,False,True
WQS0083,WQS0083_basin2.parquet,2,0.0,0.0114000341620913,0.1956283480384084,4484.966741669463,4427.942418714189,4351.027077155498,manual,True,False,False,False,True
WQS0050,WQS0050_basin1.parquet,1,0.0,0.0,0.1929014963729546,246.83525715651965,243.52446503184217,251.8336528570292,manual,True,False,False,False,True
WQS0005,WQS0005_basin1.parquet,1,0.0,,1.233608175078907,1488.2290165602055,,3.5452014614413,manual,True,False,False,False,False
WQS0061,WQS0061_basin1.parquet,1,0.0,0.0,0.1431602438718414,15.640090696762206,1040.8142977525238,1050.380842881436,manual,True,False,False,False,True
USGS-05418110,USGS-05418110_basin2.parquet,2,0.0,0.0,0.0031050677270226,317.90440285615034,317.90440285615034,312.5892204155032,manual,True,False,False,False,False
WQS0001,WQS0001_basin1.parquet,1,0.0,1.695849271972995,1.601550835435065,8145.067880175257,21.491624303405036,78.3097100675027,manual,True,False,False,False,True
WQS0038,WQS0038_basin1.parquet,1,0.0,0.0,0.035458196221397,504.3349615237652,551.6618787354843,534.071176142092,manual,True,False,False,False,True
WQS0013,WQS0013_basin2.parquet,2,0.0,0.0,0.0417535635271788,44.786502799410776,756.7296037778424,764.2153433985096,manual,True,False,False,False,True
WQS0014,WQS0014_basin2.parquet,2,0.0,0.0,0.0,21.933879610727605,18.88818440509533,17.100578215422107,manual,True,False,False,False,True
WQS0021,WQS0021_basin1.parquet,1,0.0,,0.0,15.669470807341694,,12.676841834564032,manual,True,False,False,False,False
WQS0114,WQS0114_basin1.parquet,1,0.0,,0.5880539790002851,14.046322832065483,,5.187119850312108,manual,True,False,False,False,False
WQS0076,WQS0076_basin2.parquet,2,0.0,0.0,0.0,3.7069348008468177,254.3324202803819,260.46846593403785,manual,True,False,False,False,True
WQS0043,WQS0043_basin1.parquet,1,0.0,0.0946417916241794,0.4842547047462263,2297.954355516145,2300.6560930749756,2297.7478608445417,manual,True,False,False,False,True
WQS0024,WQS0024_basin2.parquet,2,0.0,0.0,0.2432655183974972,582.8925401049739,582.6402705284407,393.1743748882254,manual,True,False,False,False,True
WQS0040,WQS0040_basin2.parquet,2,0.0,0.0702845618954081,4.412984102750061,2259.4361037413028,2221.7716125503475,299.0093084905651,manual,True,False,False,False,True
WQS0044,WQS0044_basin2.parquet,2,0.0,0.0,0.0,2869.0685435587043,2867.7103151233364,2865.7053113560614,manual,True,False,False,False,True
WQS0048,WQS0048_basin2.parquet,2,0.0,0.0,0.0,197.7596007941089,191.8508276117713,185.6564933551767,manual,True,False,False,False,True
