site_uid,basin_name,basin_type,dist_to_0,dist_to_1,dist_to_2,dist_to_3,area0,area1,area2,area3,selection_mode,reviewed,river_da_km2,river_name,flag_area,flag_river,flag_not_contained,flag_basin1_over_basin0,flag_area_mismatch_v2,flag_area_mismatch_v3
USGS-05412500,USGS-05412500_basin0.parquet,0,0.0,0.0,0.0,0.0,4023.991523552605,4023.991523552605,4023.991523552605,18.804092371307306,manual,True,4051.8045,Turkey River,False,False,False,False,False,True
USGS-05418110,USGS-05418110_basin0.parquet,0,0.0,0.0,0.0,0.0031050677270226,317.90440285615034,317.90440285615034,317.90440285615034,312.5892204155032,auto,False,327.2301,North Fork Maquoketa River,False,False,False,False,False,False
USGS-05418400,USGS-05418400_basin0.parquet,0,0.0,0.0,0.0,0.0,1303.0906980969312,1308.528213160592,1303.0906980969312,388.4603229504488,manual,True,1322.6814,North Fork Maquoketa River,False,False,False,False,False,True
USGS-05418720,USGS-05418720_basin0.parquet,0,0.0882539592837842,0.0,0.0,0.1536131679008159,4828.655529152968,4835.088728393596,4835.088728393596,4798.219749964521,auto,False,4835.3373,Maquoketa River,False,False,False,False,False,False
USGS-05451210,USGS-05451210_basin0.parquet,0,0.0,0.0,0.0,0.218441744769121,582.8925401049739,582.8925401049739,582.8925401049739,393.1743748882254,manual,True,783.9594,South Fork Iowa River,False,False,False,False,False,True
USGS-05455100,USGS-05455100_basin0.parquet,0,0.0,0.0670763733853432,0.0,0.232420875363037,523.3522090888915,520.1240106597228,523.3522090888915,519.0797837051773,auto,False,532.1439,Old Mans Creek,False,False,False,False,False,False
USGS-05464420,USGS-05464420_basin0.parquet,0,0.0,0.0,0.0,0.0,16420.07262052134,16420.07262052134,16420.07262052134,16357.81717081405,manual,True,16672.7826,,False,True,False,False,False,False
USGS-05464475,USGS-05464475_basin0.parquet,0,0.0,0.0290036804539894,0.0,3.383738944690534,45.31867288389545,42.17898907501244,45.31867288389545,472.3198380935986,manual,True,16785.8631,Cedar River,False,True,False,False,True,True
USGS-05464500,USGS-05464500_basin0.parquet,0,0.0,0.0,0.0,0.0,16860.52947945805,16860.52947945805,16860.52947945805,3.517083651542545,manual,True,16864.6671,Cedar River,False,True,False,False,False,True
USGS-05465500,USGS-05465500_basin0.parquet,0,0.0,0.0,0.0,0.5999809090924184,32340.568128878353,32340.568128878353,32340.568128878353,32165.152136862904,manual,True,32341.6755,,False,True,False,False,False,False
USGS-05480603,USGS-05480603_basin0.parquet,0,0.0,0.0,0.0,0.2004977036427364,88.62908770778651,88.62908770778651,88.62908770778651,107.98349488902272,manual,True,11047.905,Des Moines River,False,True,False,False,False,True
