year,min_surplus_kgha,max_surplus_kgha,min_total_kg_N,max_total_kg_N
2000,3.28,250.8,1567.5,1567.5
2001,3.22,237.35,1483.4375,1483.4375
2002,3.35,250.12,1563.25,1563.25
2003,2.84,239.94,1499.625,1499.625
2004,2.83,333.06,2081.625,2081.625
2005,3.06,257.25,1607.8125,1607.8125
2006,2.67,291.73,1823.3126,1823.3126
2007,2.79,338.82,2117.625,2117.625
2008,2.43,324.84,2030.25,2030.25
2009,2.15,313.03,1956.4375,1956.4375
2010,2.61,315.44,1971.5,1971.5
2011,2.38,351.25,2195.3125,2195.3125
2012,2.45,401.19,2507.4375,2507.4375
2013,2.42,403.29,2520.5625,2520.5625
2014,2.16,412.42,2577.625,2577.625
2015,2.1,388.61,2428.8125,2428.8125
2016,2.44,406.8,2542.5,2542.5
2017,2.33,394.29,2464.3125,2464.3125
