uid,editor_uid,site_uid,method_uid,param_uid,enabled,begin_datetime,end_datetime
194,iihr,WQS0005,nitratax,r_exc,t,,
176,iihr,WQS0005,nitratax,m_exc,t,,
85505,iihr,WQS0002,nitratax,r_exc,t,,
85506,iihr,WQS0002,nitratax,m_exc,t,,
85508,iihr,WQS0003,nitratax,r_exc,t,,
85509,iihr,WQS0003,nitratax,m_exc,t,,
85514,iihr,WQS0007,nitratax,r_exc,t,,
85515,iihr,WQS0007,nitratax,m_exc,t,,
85517,iihr,WQS0008,nitratax,r_exc,t,,
85518,iihr,WQS0008,nitratax,m_exc,t,,
85520,iihr,WQS0009,nitratax,r_exc,t,,
85521,iihr,WQS0009,nitratax,m_exc,t,,
85729,iihr,WQS0012,nitratax,r_exc,t,,
85730,iihr,WQS0012,nitratax,m_exc,t,,
85739,iihr,WQS0013,nitratax,r_exc,t,,
85740,iihr,WQS0013,nitratax,m_exc,t,,
85749,iihr,WQS0014,nitratax,r_exc,t,,
85750,iihr,WQS0014,nitratax,m_exc,t,,
85769,iihr,WQS0016,nitratax,r_exc,t,,
85770,iihr,WQS0016,nitratax,m_exc,t,,
85719,iihr,WQS0011,nitratax,r_exc,t,,
85720,iihr,WQS0011,nitratax,m_exc,t,,
85799,iihr,WQS0020,nitratax,r_exc,t,,
85800,iihr,WQS0020,nitratax,m_exc,t,,
85809,iihr,WQS0021,nitratax,r_exc,t,,
85810,iihr,WQS0021,nitratax,m_exc,t,,
85891,iihr,WQS0022,nitratax,r_exc,t,,
85892,iihr,WQS0022,nitratax,m_exc,t,,
85922,iihr,WQS0027,nitratax,r_exc,t,,
85923,iihr,WQS0027,nitratax,m_exc,t,,
85925,iihr,WQS0024,nitratax,r_exc,t,,
85942,iihr,WQS0026,nitratax,r_exc,t,,
85943,iihr,WQS0026,nitratax,m_exc,t,,
177,iihr,WQS0006,nitratax,m_exc,t,,
180,iihr,WQS0023,nitratax,m_exc,t,,
181,iihr,WQS0030,nitratax,m_exc,t,,
182,iihr,WQS0031,nitratax,m_exc,t,,
195,iihr,WQS0006,nitratax,r_exc,t,,
198,iihr,WQS0023,nitratax,r_exc,t,,
199,iihr,WQS0030,nitratax,r_exc,t,,
200,iihr,WQS0031,nitratax,r_exc,t,,
210,iihr,WQS0006,dts12,turbi_bes,t,,
214,iihr,WQS0006,dts12,turbi_max,t,,
222,iihr,WQS0006,dts12,turbi_med,t,,
226,iihr,WQS0006,dts12,turbi_min,t,,
230,iihr,WQS0006,dts12,turbi_var,t,,
175,iihr,WQS0001,nitratax,m_exc,f,,
193,iihr,WQS0001,nitratax,r_exc,f,,
206,iihr,WQS0006,dts12,temp_water,t,2012-06-03 16:40:00-05,2015-11-04 14:05:00-06
85779,iihr,WQS0017,nitratax,r_exc,f,,
85512,iihr,WQS0004,nitratax,m_exc,f,,
85511,iihr,WQS0004,nitratax,r_exc,f,,
168,iihr,WQS0023,ds5x,chloro_con,f,,
170,iihr,WQS0023,ds5x,chloro_v,f,,
172,iihr,WQS0023,ds5x,diss_oxy_con,f,2015-04-20 11:50:00-05,2015-12-08 16:55:00-06
174,iihr,WQS0023,ds5x,diss_oxy_sat,f,,
204,iihr,WQS0023,ds5x,temp_water,f,2015-04-20 11:50:00-05,2015-12-08 16:55:00-06
167,iihr,WQS0019,ds5x,chloro_con,f,2014-04-10 17:45:00-05,2014-12-04 11:20:00-06
