monitoring_location_id,monitoring_location_name,monitoring_location_number,agency_code,site_type,state_code,state_name,county_name,hydrologic_unit_code,drainage_area,altitude,vertical_datum,latitude,longitude
USGS-05412500,"Turkey River at Garber, IA",05412500,USGS,Stream,19,Iowa,Clayton County,070600040902,1545.0,638.88,NAVD88,42.7399884281497,-91.2617990802579
USGS-05418110,"NF Maquoketa River below Bear Cr at Dyersville, IA",05418110,USGS,Stream,19,Iowa,Dubuque County,0706000603,122.0,924.95,NAVD88,42.470333,-91.124556
USGS-05418400,"North Fork Maquoketa River near Fulton, IA",05418400,USGS,Stream,19,Iowa,Jackson County,070600060803,505.0,678.58,NAVD88,42.1643333333333,-90.7293333333333
USGS-05418720,"Maquoketa River near Green Island, IA",05418720,USGS,Stream,19,Iowa,Jackson County,070600061007,1869.0,582.12,NAVD88,42.1638611111111,-90.3350833333333
USGS-05420500,"Mississippi River at Clinton, IA",05420500,USGS,Stream,19,Iowa,Clinton County,070801010204,85600.0,562.54,NAVD88,41.7805863501123,-90.2520730305021
USGS-05451210,"South Fork Iowa River NE of New Providence, IA",05451210,USGS,Stream,19,Iowa,Hardin County,070802070604,224.0,944.03,NAVD88,42.3153055555556,-93.1521944444444
USGS-05455100,"Old Mans Creek near Iowa City, IA",05455100,USGS,Stream,19,Iowa,Johnson County,070802090207,201.0,637.32,NAVD88,41.6064055555556,-91.6157222222222
USGS-05464420,"Cedar River at Blairs Ferry Road at Palo, IA",05464420,USGS,Stream,19,Iowa,Linn County,070802051507,6342.0,725.47,NAVD88,42.0691638888889,-91.7851805555556
USGS-05464475,"Morgan Creek near Covington, IA",05464475,USGS,Stream,19,Iowa,Linn County,070802051506,16.7,725.98,NAVD88,41.9894159694734,-91.7595985412444
USGS-05464500,"Cedar River at Cedar Rapids, IA",05464500,USGS,Stream,19,Iowa,Linn County,070802051507,6510.0,700.08,NAVD88,41.9719454904984,-91.6671239375737
USGS-05465500,"Iowa River at Wapello, IA",05465500,USGS,Stream,19,Iowa,Louisa County,070802091104,12500.0,538.08,NAVD88,41.1780861111111,-91.1820916666667
USGS-05474500,"Mississippi River at Keokuk, IA",05474500,USGS,Stream,19,Iowa,Lee County,070801041806,119000.0,477.41,NGVD29,40.3936553481252,-91.3743179848803
USGS-05480603,"Prairie Creek at Otho, IA (S3)",05480603,USGS,Stream,19,Iowa,Webster County,071000040603,28.0,,,42.4108888888889,-94.1413055555556
USGS-05480986,"Lyons Creek near Webster City, IA (L3)",05480986,USGS,Stream,19,Iowa,Hamilton County,071000050701,7.82,,,42.49325,-93.7668055555555
USGS-05481000,"Boone River near Webster City, IA",05481000,USGS,Stream,19,Iowa,Hamilton County,071000050704,844.0,989.38,NAVD88,42.4319722222222,-93.8059444444444
USGS-05482000,"Des Moines River at 2nd Avenue at Des Moines, IA",05482000,USGS,Stream,19,Iowa,Polk County,071000041003,6245.0,773.26,NAVD88,41.6119444444444,-93.6197222222222
USGS-05482300,"North Raccoon River near Sac City, IA",05482300,USGS,Stream,19,Iowa,Sac County,071000060801,700.0,1146.13,NAVD88,42.3545555555556,-94.9910277777778
USGS-05482500,"North Raccoon River near Jefferson, IA",05482500,USGS,Stream,19,Iowa,Greene County,071000061405,1619.0,967.01,NAVD88,41.9878611111111,-94.3770833333333
USGS-05483600,"Middle Raccoon River at Panora, IA",05483600,USGS,Stream,19,Iowa,Guthrie County,071000070603,440.0,991.38,NAVD88,41.6874166666667,-94.3710555555555
USGS-05484000,"South Raccoon River at Redfield, IA",05484000,USGS,Stream,19,Iowa,Dallas County,071000070902,994.0,888.59,NAVD88,41.5904166666667,-94.1511666666667
USGS-05484500,"Raccoon River at Van Meter, IA",05484500,USGS,Stream,19,Iowa,Dallas County,071000061702,3441.0,836.49,NAVD88,41.5340277777778,-93.9497777777778
USGS-06603750,"WB Little Sioux Riv abv Silver Lk at Lake Park, IA",06603750,USGS,Stream,19,Iowa,Dickinson County,102300030104,16.7,,,43.4586944444444,-95.3435833333333
USGS-06604440,"Little Sioux River at 300th St near Spencer, IA",06604440,USGS,Stream,19,Iowa,Clay County,102300030802,523.0,1319.11,NAVD88,43.21277777777778,-95.23916666666666
USGS-06808500,"West Nishnabotna River at Randolph, IA",06808500,USGS,Stream,19,Iowa,Fremont County,102400020805,1326.0,933.78,NAVD88,40.8732777777778,-95.5814444444444
USGS-06817000,"Nodaway River at Clarinda, IA",06817000,USGS,Stream,19,Iowa,Page County,102400090703,762.0,956.01,NAVD88,40.7432222222222,-95.0145277777778
USGS-415959091441301,083N08W14DAA 2023USGS CRM-104,415959091441301,USGS,Well,19,Iowa,Linn County,070802051507,,721.91,NAVD88,41.999611111111115,-91.73691666666669
