config,searched,delta_vs_default,seed,lofo_prauc,loso_auc,lofo_auc,lofo_prauc_lift,lofo_between_rate_r2,best_k,ceiling,k_frac,ceiling_bound,at_ceiling,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,random_state,n_estimators,ax_depth,ax_lr,ax_lam,ax_mcw,ax_subsample,ax_colsample
"depth=3, lr=0.02","depth,lr",0.0009,42,0.6752604123818103,0.8890155679427327,0.8688216023842797,2.904539134904166,0.3780467398711548,1200,1500,0.8,False,0.6748,0.02,3,4.395976,0.7,0.5,659.396334,0.0,42,1200,3.0,0.02,,,,
DEFAULT (inherited),"depth,lam",0.0,42,0.6752604123818103,0.8890155679427327,0.8688216023842797,2.904539134904166,0.3780467398711548,1200,1500,0.8,False,0.6748,0.02,3,4.395976,0.7,0.5,659.396334,0.0,42,1200,,,,,,
"depth=3, lr=0.02, mcw=0.002(4)",mcw,0.0,42,0.6752604123818103,,0.8688216023842797,2.904539134904166,0.3780467398711548,1200,1500,0.8,False,0.6748,0.02,3,4.395975561478181,0.7,0.5,659.396334,0.0,42,1200,3.0,0.02,,0.002,,
"depth=3, lr=0.02, subsample=0.7",subsample,0.0,42,0.6752604123818103,,0.8688216023842797,2.904539134904166,0.3780467398711548,1200,1500,0.8,False,0.6748,0.02,3,4.395976,0.7,0.5,659.396334,0.0,42,1200,3.0,0.02,,,0.7,
DEFAULT (inherited),subsample,0.0,42,0.6752604123818103,0.8890155679427327,0.8688216023842797,2.904539134904166,0.3780467398711548,1200,1500,0.8,False,0.6748,0.02,3,4.395976,0.7,0.5,659.396334,0.0,42,1200,,,,,,
DEFAULT (inherited),none,0.0,42,0.6752604123818103,0.8890155679427327,0.8688216023842797,2.9045391349041654,0.3780467398711548,1200,1500,0.8,False,0.6748,0.02,3,4.395976,0.7,0.5,659.396334,0.0,42,1200,,,,,,
DEFAULT (inherited),colsample,0.0,42,0.6752604123818103,0.8890155679427327,0.8688216023842797,2.904539134904166,0.3780467398711548,1200,1500,0.8,False,0.6748,0.02,3,4.395976,0.7,0.5,659.396334,0.0,42,1200,,,,,,
"lr=0.02, depth=3, lam=0.3(659)","depth,lam",0.0,42,0.6752604123818103,,0.8688216023842797,2.904539134904166,0.3780467398711548,1200,1500,0.8,False,0.6748,0.02,3,4.395976,0.7,0.5,659.3963342217272,0.0,42,1200,3.0,0.02,0.3,,,
"depth=3, lr=0.02, colsample=0.5",colsample,0.0,42,0.6752604123818103,,0.8688216023842797,2.904539134904166,0.3780467398711548,1200,1500,0.8,False,0.6748,0.02,3,4.395976,0.7,0.5,659.396334,0.0,42,1200,3.0,0.02,,,,0.5
DEFAULT (inherited),mcw,0.0,42,0.6752604123818103,0.8890155679427327,0.8688216023842797,2.904539134904166,0.3780467398711548,1200,1500,0.8,False,0.6748,0.02,3,4.395976,0.7,0.5,659.396334,0.0,42,1200,,,,,,
"depth=3, lr=0.02, mcw=0.3(659)",mcw,-0.0005,42,0.6747578768415748,,0.8702199926584233,2.9023775478830256,0.3731513385828477,1500,1500,1.0,True,0.6748,0.02,3,659.3963342217272,0.7,0.5,659.396334,0.0,42,1500,3.0,0.02,,0.3,,
"depth=5, lr=0.02","depth,lr",0.0003,42,0.6746791354763287,,0.8672833794260146,2.9020388528067267,0.4087651203557155,720,1500,0.48,False,0.6707,0.02,5,4.395976,0.7,0.5,659.396334,0.0,42,720,5.0,0.02,,,,
"depth=6, lr=0.01","depth,lr",0.0003,42,0.6746650134218422,,0.8659724809843748,2.9019781087453698,0.4078599416957359,1300,1500,0.867,False,0.6745,0.01,6,4.395976,0.7,0.5,659.396334,0.0,42,1300,6.0,0.01,,,,
