config,searched,delta_vs_default,seed,lofo_r2,lofo_between_r2,lofo_within_r2,loso_r2,lofo_rmse,best_k,ceiling,k_frac,ceiling_bound,at_ceiling,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,random_state,n_estimators,ax_depth,ax_lr,ax_lam,ax_mcw,ax_subsample,ax_colsample
"depth=6, lr=0.01, lam=0.3(330), mcw=0.002(2), subsample=0.5",subsample,0.0004,42,0.4554445041990549,0.4708297507425981,0.4177266984277099,0.5265477265218244,4.0090187775772455,2700,3050,0.885,False,0.4553,0.01,6,2.1996625,0.5,0.5,329.949375,0.0,42,2700,6.0,0.01,0.3,0.002,0.5,
DEFAULT (inherited),colsample,0.0,42,0.4554445041990549,0.4708297507425981,0.4177266984277099,0.5265477265218244,4.0090187775772455,2700,3050,0.885,False,0.4553,0.01,6,2.1996625,0.5,0.5,329.949375,0.0,42,2700,,,,,,
DEFAULT (inherited),none,0.0,42,0.4554445041990549,0.47082975074259814,0.41772669842770993,0.5265477265218244,4.0090187775772455,2700,3050,0.885,False,0.4553,0.01,6,2.1996625,0.5,0.5,329.949375,0.0,42,2700,,,,,,
"depth=6, lr=0.01, lam=0.3(330), mcw=0.002(2), subsample=0.5, colsample=0.5",colsample,0.0,42,0.4554445041990549,0.4708297507425981,0.4177266984277099,,4.0090187775772455,2700,3050,0.885,False,0.4553,0.01,6,2.1996625,0.5,0.5,329.949375,0.0,42,2700,6.0,0.01,0.3,0.002,0.5,0.5
"depth=6, lr=0.01, lam=0.3(462), mcw=0.002(3)",mcw,0.0016,42,0.4550289225237972,0.4694855788999104,0.4167159566367722,0.5292001918552884,4.010548242438399,2440,3050,0.8,False,0.4541,0.01,6,3.0795275,0.7,0.5,461.92912499999994,0.0,42,2440,6.0,0.01,0.3,0.002,,
DEFAULT (inherited),subsample,0.0,42,0.4550289225237972,0.4694855788999104,0.4167159566367722,,4.010548242438399,2440,3050,0.8,False,0.4541,0.01,6,3.0795275,0.7,0.5,461.92912499999994,0.0,42,2440,,,,,,
"depth=6, lr=0.01, lam=0.3(462), mcw=0.002(3), subsample=0.7",subsample,0.0,42,0.4550289225237972,0.4694855788999104,0.4167159566367722,,4.010548242438399,2440,3050,0.8,False,0.4541,0.01,6,3.0795275,0.7,0.5,461.92912499999994,0.0,42,2440,6.0,0.01,0.3,0.002,0.7,
"depth=6, lr=0.01, lam=0.3(594), mcw=0.002(4), subsample=0.9",subsample,-0.0005,42,0.4544912689961973,0.4681955595269227,0.4133281930108873,,4.012526103217089,1920,3050,0.63,False,0.4538,0.01,6,3.9593925,0.9,0.5,593.908875,0.0,42,1920,6.0,0.01,0.3,0.002,0.9,
"lr=0.01, depth=6, lam=0.3(462)","depth,lam",0.0007,42,0.4534011119264534,0.4677508602047177,0.4156535838345637,0.5286355923296575,4.016533463882831,2070,3050,0.679,False,0.4526,0.01,6,10.0,0.7,0.5,461.92912499999994,0.0,42,2070,6.0,0.01,0.3,,,
DEFAULT (inherited),mcw,0.0,42,0.4534011119264534,0.4677508602047177,0.4156535838345637,,4.016533463882831,2070,3050,0.679,False,0.4526,0.01,6,10.0,0.7,0.5,461.92912499999994,0.0,42,2070,,,,,,
"depth=6, lr=0.01, lam=0.3(462), mcw=0.02(31)",mcw,-0.0,42,0.4533895000109725,0.4659075400975641,0.4146704707373814,,4.016576127159711,1950,3050,0.639,False,0.4524,0.01,6,30.795274999999997,0.7,0.5,461.92912499999994,0.0,42,1950,6.0,0.01,0.3,0.02,,
"lr=0.01, depth=6, lam=0.3(462)","depth,lam",0.0007,42,0.4533386345541893,0.4676350207609926,0.4154872218850031,0.5283823400850503,4.016763006323832,1970,2050,0.961,True,0.4532,0.01,6,10.0,0.7,0.5,461.92912499999994,0.0,42,1970,6.0,0.01,0.3,,,
"depth=6, lr=0.01","depth,lr",0.0034,42,0.4532173698885677,0.4673673139764764,0.4122874927478985,0.5246895021166453,4.017208496387724,1710,2250,0.76,False,0.4531,0.01,6,10.0,0.7,0.5,307.95275,0.0,42,1710,6.0,0.01,,,,
"lr=0.01, depth=5, lam=0.3(924)","depth,lam",0.0003,42,0.4530059770667727,0.4656348134307482,0.4127250578219845,,4.017984972203023,2860,3050,0.938,True,0.4529,0.01,5,10.0,0.7,0.5,923.85825,0.0,42,2860,5.0,0.01,0.3,,,
"lr=0.01, depth=5, lam=0.3(924)","depth,lam",0.0002,42,0.4528267056380619,0.4765303985588813,0.4068804604247219,,4.018643344020186,1460,2050,0.712,False,0.4525,0.01,5,10.0,0.7,0.5,923.85825,0.0,42,1460,5.0,0.01,0.3,,,
DEFAULT (inherited),"depth,lam",0.0,42,0.4527446168924196,0.4541133468160654,0.4121721556690322,,4.018944777791715,2610,3050,0.856,False,0.4524,0.01,5,10.0,0.7,0.5,307.95275,0.0,42,2610,,,,,,
"lr=0.01, depth=5, lam=0.1(308)","depth,lam",0.0,42,0.4527446168924196,0.4541133468160654,0.4121721556690322,,4.018944777791715,2610,3050,0.856,False,0.4524,0.01,5,10.0,0.7,0.5,307.95275,0.0,42,2610,5.0,0.01,0.1,,,
"depth=5, lr=0.01","depth,lr",0.0028,42,0.4525898058183103,0.4567722437140714,0.4106871044141238,,4.019513189891355,2030,2250,0.902,True,0.4522,0.01,5,10.0,0.7,0.5,307.95275,0.0,42,2030,5.0,0.01,,,,
